"","date","FTI"
"1","2007-01-03",14.7625
"2","2007-01-04",14.175
"3","2007-01-05",14.0725
"4","2007-01-08",14.3475
"5","2007-01-09",14.08
"6","2007-01-10",14.09
"7","2007-01-11",13.8775
"8","2007-01-12",14.4375
"9","2007-01-16",14.135
"10","2007-01-17",14.315
"11","2007-01-18",14.2225
"12","2007-01-19",14.715
"13","2007-01-22",14.7
"14","2007-01-23",15.0975
"15","2007-01-24",15.185
"16","2007-01-25",14.8775
"17","2007-01-26",14.95
"18","2007-01-29",14.8125
"19","2007-01-30",15.29
"20","2007-01-31",15.4825
"21","2007-02-01",15.6325
"22","2007-02-02",15.67
"23","2007-02-05",15.46
"24","2007-02-06",15.5075
"25","2007-02-07",15.2825
"26","2007-02-08",15.75
"27","2007-02-09",15.725
"28","2007-02-12",15.765
"29","2007-02-13",16.16
"30","2007-02-14",16.0875
"31","2007-02-15",16.442499
"32","2007-02-16",16.530001
"33","2007-02-20",16.375
"34","2007-02-21",16.530001
"35","2007-02-22",17.012501
"36","2007-02-23",16.887501
"37","2007-02-26",17.0275
"38","2007-02-27",16.440001
"39","2007-02-28",16.445
"40","2007-03-01",16.639999
"41","2007-03-02",16.35
"42","2007-03-05",16.147499
"43","2007-03-06",16.59
"44","2007-03-07",16.879999
"45","2007-03-08",16.852501
"46","2007-03-09",16.74
"47","2007-03-12",16.75
"48","2007-03-13",16.682501
"49","2007-03-14",16.875
"50","2007-03-15",16.7425
"51","2007-03-16",16.6425
"52","2007-03-19",17
"53","2007-03-20",16.965
"54","2007-03-21",17.372499
"55","2007-03-22",17.315001
"56","2007-03-23",17.227501
"57","2007-03-26",17.495001
"58","2007-03-27",17.49
"59","2007-03-28",17.375
"60","2007-03-29",17.67
"61","2007-03-30",17.440001
"62","2007-04-02",17.7075
"63","2007-04-03",17.547501
"64","2007-04-04",17.73
"65","2007-04-05",17.745001
"66","2007-04-09",17.75
"67","2007-04-10",18.0825
"68","2007-04-11",17.719999
"69","2007-04-12",18.0425
"70","2007-04-13",18.014999
"71","2007-04-16",18.08
"72","2007-04-17",18.0725
"73","2007-04-18",17.432501
"74","2007-04-19",17.3125
"75","2007-04-20",17.317499
"76","2007-04-23",17.477501
"77","2007-04-24",17.4825
"78","2007-04-25",18.040001
"79","2007-04-26",18.075001
"80","2007-04-27",18.1525
"81","2007-04-30",17.719999
"82","2007-05-01",17.6775
"83","2007-05-02",17.7925
"84","2007-05-03",18.200001
"85","2007-05-04",18.24
"86","2007-05-07",18.155001
"87","2007-05-08",17.7675
"88","2007-05-09",18.295
"89","2007-05-10",17.684999
"90","2007-05-11",18.360001
"91","2007-05-14",18.467501
"92","2007-05-15",18.6875
"93","2007-05-16",18.42
"94","2007-05-17",18.6775
"95","2007-05-18",18.785
"96","2007-05-21",19.0825
"97","2007-05-22",18.775
"98","2007-05-23",18.885
"99","2007-05-24",18.352501
"100","2007-05-25",18.702499
"101","2007-05-29",18.6625
"102","2007-05-30",18.940001
"103","2007-05-31",18.9
"104","2007-06-01",18.907499
"105","2007-06-04",19.5
"106","2007-06-05",19.285
"107","2007-06-06",18.8225
"108","2007-06-07",18.375
"109","2007-06-08",18.4725
"110","2007-06-11",18.67
"111","2007-06-12",18.4925
"112","2007-06-13",18.8925
"113","2007-06-14",19.125
"114","2007-06-15",19.200001
"115","2007-06-18",19.2425
"116","2007-06-19",19.309999
"117","2007-06-20",18.887501
"118","2007-06-21",19.6625
"119","2007-06-22",19.809999
"120","2007-06-25",19.387501
"121","2007-06-26",19.192499
"122","2007-06-27",19.5
"123","2007-06-28",19.639999
"124","2007-06-29",19.805
"125","2007-07-02",20.4125
"126","2007-07-03",20.424999
"127","2007-07-05",20.540001
