"","date","AMH"
"1","2013-08-01",15.6
"2","2013-08-02",15.83
"3","2013-08-05",15.66
"4","2013-08-06",15.78
"5","2013-08-07",15.65
"6","2013-08-08",16.120001
"7","2013-08-09",16.1
"8","2013-08-12",16.15
"9","2013-08-13",16.049999
"10","2013-08-14",16.040001
"11","2013-08-15",16
"12","2013-08-16",16.059999
"13","2013-08-19",16.01
"14","2013-08-20",16.01
"15","2013-08-21",16.049999
"16","2013-08-22",16.07
"17","2013-08-23",16.02
"18","2013-08-26",15.85
"19","2013-08-27",15.93
"20","2013-08-28",15.91
"21","2013-08-29",15.9
"22","2013-08-30",15.88
"23","2013-09-03",16
"24","2013-09-04",16.049999
"25","2013-09-05",15.84
"26","2013-09-06",15.92
"27","2013-09-09",16.059999
"28","2013-09-10",15.62
"29","2013-09-11",15.53
"30","2013-09-12",15.35
"31","2013-09-13",15.85
"32","2013-09-16",15.91
"33","2013-09-17",15.93
"34","2013-09-18",15.95
"35","2013-09-19",16.040001
"36","2013-09-20",16.299999
"37","2013-09-23",16.799999
"38","2013-09-24",16.9
"39","2013-09-25",16.610001
"40","2013-09-26",16.719999
"41","2013-09-27",16.4
"42","2013-09-30",16.15
"43","2013-10-01",16.02
"44","2013-10-02",15.82
"45","2013-10-03",15.6
"46","2013-10-04",15.8
"47","2013-10-07",15.6
"48","2013-10-08",15.45
"49","2013-10-09",15.22
"50","2013-10-10",15.32
"51","2013-10-11",15.35
"52","2013-10-14",15.46
"53","2013-10-15",15.42
"54","2013-10-16",15.68
"55","2013-10-17",15.82
"56","2013-10-18",15.86
"57","2013-10-21",16
"58","2013-10-22",16.059999
"59","2013-10-23",15.99
"60","2013-10-24",16.02
"61","2013-10-25",16.07
"62","2013-10-28",16.110001
"63","2013-10-29",15.92
"64","2013-10-30",15.65
"65","2013-10-31",15.48
"66","2013-11-01",15.66
"67","2013-11-04",15.75
"68","2013-11-05",15.77
"69","2013-11-06",16.049999
"70","2013-11-07",16.030001
"71","2013-11-08",16.17
"72","2013-11-11",16.1
"73","2013-11-12",16.24
"74","2013-11-13",16.629999
"75","2013-11-14",16.549999
"76","2013-11-15",16.860001
"77","2013-11-18",16.76
"78","2013-11-19",16.540001
"79","2013-11-20",16.42
"80","2013-11-21",16.450001
"81","2013-11-22",16.49
"82","2013-11-25",16.42
"83","2013-11-26",16.48
"84","2013-11-27",16.450001
"85","2013-11-29",16.4
"86","2013-12-02",16.459999
"87","2013-12-03",16.450001
"88","2013-12-04",16.190001
"89","2013-12-05",15.95
"90","2013-12-06",16.5
"91","2013-12-09",16.5
"92","2013-12-10",16.389999
"93","2013-12-11",16.139999
"94","2013-12-12",16.09
"95","2013-12-13",16.120001
"96","2013-12-16",16.09
"97","2013-12-17",15.99
"98","2013-12-18",16.200001
"99","2013-12-19",16.209999
"100","2013-12-20",16.200001
"101","2013-12-23",16.1
"102","2013-12-24",16.190001
"103","2013-12-26",16.07
"104","2013-12-27",16.15
"105","2013-12-30",16.190001
"106","2013-12-31",16.200001
"107","2014-01-02",16.139999
"108","2014-01-03",16.25
"109","2014-01-06",16.379999
"110","2014-01-07",16.540001
"111","2014-01-08",16.57
"112","2014-01-09",16.709999
"113","2014-01-10",16.889999
"114","2014-01-13",16.83
"115","2014-01-14",16.969999
"116","2014-01-15",17.030001
"117","2014-01-16",16.98
"118","2014-01-17",17.09
"119","2014-01-21",16.950001
"120","2014-01-22",16.9
"121","2014-01-23",16.85
"122","2014-01-24",16.66
"123","2014-01-27",16.23
"124","2014-01-28",16.41
"125","2014-01-29",16.25
"126","2014-01-30",16.52
"127","2014-01-31",16.68
"128","2014-02-03",16.559999
"129","2014-02-04",16.549999
"130","2014-02-05",16.610001
