"","date","LYRA"
"1","2020-05-01",18.559999
"2","2020-05-04",17.780001
"3","2020-05-05",16.65
"4","2020-05-06",15.79
"5","2020-05-07",15
"6","2020-05-08",15.21
"7","2020-05-11",16
"8","2020-05-12",16.25
"9","2020-05-13",15.06
"10","2020-05-14",14.7
"11","2020-05-15",14.68
"12","2020-05-18",12.88
"13","2020-05-19",14.44
"14","2020-05-20",15.04
"15","2020-05-21",14.9
"16","2020-05-22",14.43
"17","2020-05-26",15.69
"18","2020-05-27",15.95
"19","2020-05-28",15.65
"20","2020-05-29",15.87
"21","2020-06-01",16.1
"22","2020-06-02",15.96
"23","2020-06-03",15.95
"24","2020-06-04",16
"25","2020-06-05",15.95
"26","2020-06-08",15.94
"27","2020-06-09",15.59
"28","2020-06-10",15.76
"29","2020-06-11",15.01
"30","2020-06-12",14
"31","2020-06-15",13.99
"32","2020-06-16",13.19
"33","2020-06-17",12.75
"34","2020-06-18",13.43
"35","2020-06-19",12.87
"36","2020-06-22",11.64
"37","2020-06-23",11.12
"38","2020-06-24",12.33
"39","2020-06-25",12.58
"40","2020-06-26",10.91
"41","2020-06-29",11.13
"42","2020-06-30",11.34
"43","2020-07-01",11.26
"44","2020-07-02",11.11
"45","2020-07-06",10.83
"46","2020-07-07",11.32
"47","2020-07-08",12.07
"48","2020-07-09",12.14
"49","2020-07-10",12.57
"50","2020-07-13",11.51
"51","2020-07-14",11.16
"52","2020-07-15",11.82
"53","2020-07-16",11.61
"54","2020-07-17",11.33
"55","2020-07-20",11.03
"56","2020-07-21",10.61
"57","2020-07-22",11.45
"58","2020-07-23",12.17
"59","2020-07-24",12.65
"60","2020-07-27",12.99
"61","2020-07-28",12.89
"62","2020-07-29",13.37
"63","2020-07-30",13.59
"64","2020-07-31",13.4
"65","2020-08-03",13.68
"66","2020-08-04",13.73
"67","2020-08-05",13.96
"68","2020-08-06",13.61
"69","2020-08-07",13.5
"70","2020-08-10",13.86
"71","2020-08-11",13.28
"72","2020-08-12",13.46
"73","2020-08-13",13.25
"74","2020-08-14",13.83
"75","2020-08-17",13.73
"76","2020-08-18",13.78
"77","2020-08-19",13.9
"78","2020-08-20",13.75
"79","2020-08-21",13.58
"80","2020-08-24",13.12
"81","2020-08-25",13.73
"82","2020-08-26",13.56
"83","2020-08-27",13.34
"84","2020-08-28",13.15
"85","2020-08-31",13.07
"86","2020-09-01",12.87
"87","2020-09-02",12.61
"88","2020-09-03",11.86
"89","2020-09-04",11.28
"90","2020-09-08",12.51
"91","2020-09-09",12.47
"92","2020-09-10",11.82
"93","2020-09-11",11.62
"94","2020-09-14",11.82
"95","2020-09-15",11.51
"96","2020-09-16",11.59
"97","2020-09-17",11.69
"98","2020-09-18",11.93
"99","2020-09-21",11.69
"100","2020-09-22",11.97
"101","2020-09-23",11.44
"102","2020-09-24",11.45
"103","2020-09-25",11.62
"104","2020-09-28",11.73
"105","2020-09-29",11.51
"106","2020-09-30",11.18
"107","2020-10-01",11.24
"108","2020-10-02",10.7
"109","2020-10-05",10.95
"110","2020-10-06",11.26
"111","2020-10-07",11.1
"112","2020-10-08",11.43
"113","2020-10-09",11.88
"114","2020-10-12",12.8
"115","2020-10-13",12.43
"116","2020-10-14",12.46
"117","2020-10-15",12.44
"118","2020-10-16",13.14
"119","2020-10-19",12.63
"120","2020-10-20",12.34
"121","2020-10-21",12.12
"122","2020-10-22",12.19
"123","2020-10-23",12.24
"124","2020-10-26",12.13
"125","2020-10-27",11.76
"126","2020-10-28",11.5
"127","2020-10-29",11
"128","2020-10-30",10.7
"129","2020-11-02",10.95
"130","2020-11-03",10.95
"131","2020-11-04",10.68
"132","2020-11-05",11.24
"133","2020-11-06",11
"134","2020-11-09",10.77
"135","2020-11-10",10.87
"136","2020-11-11",10.88
"137","2020-11-12",10.85
"138","2020-11-13",10.58
"139","2020-11-16",10.9
"140","2020-11-17",10.97
"141","2020-11-18",10.9
"142","2020-11-19",10.98
"143","2020-11-20",10.81
"144","2020-11-23",11.13
"145","2020-11-24",13.88
"146","2020-11-25",12.96
"147","2020-11-27",12.9
