"","date","EXPI"
"1","2018-02-07",11.76
"2","2018-02-08",12.17
"3","2018-02-09",12.15
"4","2018-02-12",12.45
"5","2018-02-13",12.37
"6","2018-02-14",12.28
"7","2018-02-15",12.1
"8","2018-02-16",12.3
"9","2018-02-20",12.85
"10","2018-02-21",12.52
"11","2018-02-22",12.8
"12","2018-02-23",12.8
"13","2018-02-26",12.75
"14","2018-02-27",12.7
"15","2018-02-28",12.89
"16","2018-03-01",12.79
"17","2018-03-02",12.88
"18","2018-03-05",12.804
"19","2018-03-06",12.76
"20","2018-03-07",12.8
"21","2018-03-08",12.8
"22","2018-03-09",12.84
"23","2018-03-12",12.65
"24","2018-03-13",12.18
"25","2018-03-14",12.2
"26","2018-03-15",12.1
"27","2018-03-16",12.145
"28","2018-03-19",11.82
"29","2018-03-20",11.2
"30","2018-03-21",10.6
"31","2018-03-22",10.27
"32","2018-03-23",10.08
"33","2018-03-26",10.4
"34","2018-03-27",11.75
"35","2018-03-28",11.42
"36","2018-03-29",11.04
"37","2018-04-02",11.22
"38","2018-04-03",11.27
"39","2018-04-04",12.15
"40","2018-04-05",12.68
"41","2018-04-06",13
"42","2018-04-09",13.02
"43","2018-04-10",13.02
"44","2018-04-11",13
"45","2018-04-12",12.88
"46","2018-04-13",12.11
"47","2018-04-16",11.85
"48","2018-04-17",11.75
"49","2018-04-18",12.99
"50","2018-04-19",14
"51","2018-04-20",13.8
"52","2018-04-23",13.61
"53","2018-04-24",13.38
"54","2018-04-25",13.73
"55","2018-04-26",14
"56","2018-04-27",13.95
"57","2018-04-30",13.69
"58","2018-05-01",13.76
"59","2018-05-02",13.7
"60","2018-05-03",13.5
"61","2018-05-04",13.45
"62","2018-05-07",13.3
"63","2018-05-08",13.03
"64","2018-05-09",12.75
"65","2018-05-10",13.01
"66","2018-05-11",13.4
"67","2018-05-14",13.2
"68","2018-05-15",14.76
"69","2018-05-16",17.09
"70","2018-05-17",17.360001
"71","2018-05-18",18
"72","2018-05-21",18.549999
"73","2018-05-22",15.39
"74","2018-05-23",17.700001
"75","2018-05-24",17.540001
"76","2018-05-25",17.23
"77","2018-05-29",15.95
"78","2018-05-30",16.68
"79","2018-05-31",16.959999
"80","2018-06-01",16.940001
"81","2018-06-04",15.77
"82","2018-06-05",15.6
"83","2018-06-06",15.75
"84","2018-06-07",15.765
"85","2018-06-08",15.33
"86","2018-06-11",14.22
"87","2018-06-12",14.56
"88","2018-06-13",14.48
"89","2018-06-14",14.19
"90","2018-06-15",14.375
"91","2018-06-18",13.17
"92","2018-06-19",13.16
"93","2018-06-20",13.14
"94","2018-06-21",12.61
"95","2018-06-22",12.79
"96","2018-06-25",12.61
"97","2018-06-26",12.571
"98","2018-06-27",12.17
"99","2018-06-28",11.6
"100","2018-06-29",11.32
"101","2018-07-02",11.53
"102","2018-07-03",11.78
"103","2018-07-05",11.52
"104","2018-07-06",10.97
"105","2018-07-09",10.9
"106","2018-07-10",10.98
"107","2018-07-11",10.9
"108","2018-07-12",11.11
"109","2018-07-13",11.117
"110","2018-07-16",11.14
"111","2018-07-17",11.15
"112","2018-07-18",12.15
"113","2018-07-19",13.1
"114","2018-07-20",13.89
"115","2018-07-23",14.64
"116","2018-07-24",14.28
"117","2018-07-25",14.55
"118","2018-07-26",14.59
"119","2018-07-27",14.75
"120","2018-07-30",13.31
"121","2018-07-31",14.17
"122","2018-08-01",14.3
"123","2018-08-02",14.35
"124","2018-08-03",14.44
"125","2018-08-06",15
"126","2018-08-07",15.9
"127","2018-08-08",16.129999
"128","2018-08-09",16.65
"129","2018-08-10",17.059999
"130","2018-08-13",17.07
"131","2018-08-14",17
"132","2018-08-15",16.049999
"133","2018-08-16",16.290001
"134","2018-08-17",15.9
"135","2018-08-20",15.8
"136","2018-08-21",15.65
"137","2018-08-22",15.95
"138","2018-08-23",15.98
"139","2018-08-24",15.85
"140","2018-08-27",16.08
"141","2018-08-28",15.58
"142","2018-08-29",15.48
"143","2018-08-30",15.96
"144","2018-08-31",16.219999
"145","2018-09-04",15.61
"146","2018-09-05",15.93
"147","2018-09-06",15.51
"148","2018-09-07",15.41
"149","2018-09-10",16.15
"150","2018-09-11",16.16
"151","2018-09-12",16.42
"152","2018-09-13",17.08
"153","2018-09-14",17.370001
"154","2018-09-17",17.77
"155","2018-09-18",17.969999
"156","2018-09-19",18.52
"157","2018-09-20",19.059999
"158","2018-09-21",19.110001
"159","2018-09-24",18.389999
"160","2018-09-25",18.389999
"161","2018-09-26",18.139999
"162","2018-09-27",18.389999
"163","2018-09-28",18.389999
"164","2018-10-01",15.87
"165","2018-10-02",16.85
"166","2018-10-03",16
"167","2018-10-04",16.1
"168","2018-10-05",15.39
"169","2018-10-08",15.31
"170","2018-10-09",14.75
"171","2018-10-10",14.1
"172","2018-10-11",13.28
"173","2018-10-12",12.77
"174","2018-10-15",12.1
"175","2018-10-16",13.46
"176","2018-10-17",12.83
"177","2018-10-18",12.12
"178","2018-10-19",12.16
"179","2018-10-22",12.5
"180","2018-10-23",12.1
"181","2018-10-24",11.91
"182","2018-10-25",11.2
"183","2018-10-26",10.65
"184","2018-10-29",10
"185","2018-10-30",10
"186","2018-10-31",10.4
"187","2018-11-01",11.65
"188","2018-11-02",11.65
"189","2018-11-05",11.83
"190","2018-11-06",12.19
"191","2018-11-07",12.23
"192","2018-11-08",11.5
"193","2018-11-09",11.75
"194","2018-11-12",11.84
"195","2018-11-13",12.17
"196","2018-11-14",11.23
"197","2018-11-15",11.45
"198","2018-11-16",11.74
"199","2018-11-19",10.95
"200","2018-11-20",10.39
"201","2018-11-21",11.15
"202","2018-11-23",11.16
"203","2018-11-26",10.66
"204","2018-11-27",10.02
"205","2018-11-28",10.27
"206","2018-11-29",10.66
"207","2018-11-30",10.85
"208","2018-12-03",10.95
"209","2018-12-04",10.12
"210","2018-12-06",10.02
"211","2018-12-07",9.61
"212","2018-12-10",10.05
"213","2018-12-11",10.66
"214","2018-12-12",10.25
"215","2018-12-13",9.56
"216","2018-12-14",9.32
"217","2018-12-17",8.98
"218","2018-12-18",8.82
