"","date","KZR"
"1","2018-06-21",17.75
"2","2018-06-22",17.790001
"3","2018-06-25",17.15
"4","2018-06-26",17.709999
"5","2018-06-27",17.23
"6","2018-06-28",17.200001
"7","2018-06-29",17.299999
"8","2018-07-02",17.26
"9","2018-07-03",17.209999
"10","2018-07-05",17.25
"11","2018-07-06",17.200001
"12","2018-07-09",17.209999
"13","2018-07-10",17.440001
"14","2018-07-11",17.129999
"15","2018-07-12",16.5
"16","2018-07-13",15.8
"17","2018-07-16",16.15
"18","2018-07-17",15.92
"19","2018-07-18",16.66
"20","2018-07-19",16.5
"21","2018-07-20",16.129999
"22","2018-07-23",16.049999
"23","2018-07-24",16
"24","2018-07-25",16
"25","2018-07-26",15.56
"26","2018-07-27",15.5
"27","2018-07-30",15.5
"28","2018-07-31",16.309999
"29","2018-08-01",15.62
"30","2018-08-02",16.219999
"31","2018-08-03",16.299999
"32","2018-08-06",16.290001
"33","2018-08-07",15.99
"34","2018-08-08",16.49
"35","2018-08-09",16.4
"36","2018-08-10",16.700001
"37","2018-08-13",16.110001
"38","2018-08-14",16.700001
"39","2018-08-15",16.549999
"40","2018-08-16",16.700001
"41","2018-08-17",16.799999
"42","2018-08-20",16.5
"43","2018-08-21",16.85
"44","2018-08-22",16.27
"45","2018-08-23",16.700001
"46","2018-08-24",17.299999
"47","2018-08-27",17.200001
"48","2018-08-28",17.15
"49","2018-08-29",17.18
"50","2018-08-30",17.549999
"51","2018-08-31",17.27
"52","2018-09-04",17.040001
"53","2018-09-05",17
"54","2018-09-06",18.299999
"55","2018-09-07",18.76
"56","2018-09-10",18.41
"57","2018-09-11",19.25
"58","2018-09-12",20.66
"59","2018-09-13",19.799999
"60","2018-09-14",20.49
"61","2018-09-17",19.84
"62","2018-09-18",20.030001
"63","2018-09-19",19.34
"64","2018-09-20",20.030001
"65","2018-09-21",19.639999
"66","2018-09-24",20.41
"67","2018-09-25",20.48
"68","2018-09-26",19.92
"69","2018-09-27",20.65
"70","2018-09-28",21.41
"71","2018-10-01",21.18
"72","2018-10-02",20.549999
"73","2018-10-03",20.209999
"74","2018-10-04",20.6
"75","2018-10-05",20.9
"76","2018-10-08",21.74
"77","2018-10-09",22.83
"78","2018-10-10",23.26
"79","2018-10-11",21.9
"80","2018-10-12",22.370001
"81","2018-10-15",23.48
"82","2018-10-16",22.709999
"83","2018-10-17",23.379999
"84","2018-10-18",25.129999
"85","2018-10-19",25.5
"86","2018-10-22",25.76
"87","2018-10-23",24.67
"88","2018-10-24",23.379999
"89","2018-10-25",24.24
"90","2018-10-26",25.08
"91","2018-10-29",24.110001
"92","2018-10-30",25.440001
"93","2018-10-31",24.73
"94","2018-11-01",24
"95","2018-11-02",24.959999
"96","2018-11-05",23.58
"97","2018-11-06",22.99
"98","2018-11-07",23
"99","2018-11-08",24
"100","2018-11-09",24.58
"101","2018-11-12",26.190001
"102","2018-11-13",24.99
"103","2018-11-14",25.73
"104","2018-11-15",24.879999
"105","2018-11-16",25.9
"106","2018-11-19",23.790001
"107","2018-11-20",24.459999
"108","2018-11-21",25.02
"109","2018-11-23",25.75
"110","2018-11-26",24.23
