"","date","GHL"
"1","2007-01-03",74.370003
"2","2007-01-04",74.07
"3","2007-01-05",73.209999
"4","2007-01-08",74.080002
"5","2007-01-09",73.699997
"6","2007-01-10",75.199997
"7","2007-01-11",75.57
"8","2007-01-12",75.650002
"9","2007-01-16",75.440002
"10","2007-01-17",75.209999
"11","2007-01-18",74.290001
"12","2007-01-19",73.919998
"13","2007-01-22",73.449997
"14","2007-01-23",73.480003
"15","2007-01-24",74.970001
"16","2007-01-25",74.449997
"17","2007-01-26",74.540001
"18","2007-01-29",74.349998
"19","2007-01-30",74.410004
"20","2007-01-31",74.93
"21","2007-02-01",72.620003
"22","2007-02-02",73.57
"23","2007-02-05",74.120003
"24","2007-02-06",74.809998
"25","2007-02-07",74.800003
"26","2007-02-08",74
"27","2007-02-09",71.900002
"28","2007-02-12",71
"29","2007-02-13",71.129997
"30","2007-02-14",72.019997
"31","2007-02-15",71.940002
"32","2007-02-16",71.790001
"33","2007-02-20",72.419998
"34","2007-02-21",72.650002
"35","2007-02-22",71.949997
"36","2007-02-23",71
"37","2007-02-26",70.040001
"38","2007-02-27",67.300003
"39","2007-02-28",67.379997
"40","2007-03-01",66.800003
"41","2007-03-02",65.82
"42","2007-03-05",63.220001
"43","2007-03-06",65.989998
"44","2007-03-07",65.209999
"45","2007-03-08",64.550003
"46","2007-03-09",65.199997
"47","2007-03-12",65.379997
"48","2007-03-13",63.139999
"49","2007-03-14",64.800003
"50","2007-03-15",65.150002
"51","2007-03-16",64.650002
"52","2007-03-19",64.5
"53","2007-03-20",64.099998
"54","2007-03-21",64.269997
"55","2007-03-22",62.41
"56","2007-03-23",62.630001
"57","2007-03-26",62.799999
"58","2007-03-27",61.040001
"59","2007-03-28",59.68
"60","2007-03-29",60.200001
"61","2007-03-30",61.389999
"62","2007-04-02",60.16
"63","2007-04-03",61.220001
"64","2007-04-04",61.380001
"65","2007-04-05",60.880001
"66","2007-04-09",60.669998
"67","2007-04-10",60.23
"68","2007-04-11",59.889999
"69","2007-04-12",60.240002
"70","2007-04-13",60.48
"71","2007-04-16",64.269997
"72","2007-04-17",62.950001
"73","2007-04-18",63.419998
"74","2007-04-19",63.34
"75","2007-04-20",64.190002
"76","2007-04-23",63.959999
"77","2007-04-24",63.119999
"78","2007-04-25",63.860001
"79","2007-04-26",65.379997
"80","2007-04-27",64.510002
"81","2007-04-30",63.25
"82","2007-05-01",63.119999
"83","2007-05-02",64.510002
"84","2007-05-03",65.599998
"85","2007-05-04",66.57
"86","2007-05-07",66.010002
"87","2007-05-08",65.879997
"88","2007-05-09",67.019997
"89","2007-05-10",65.550003
"90","2007-05-11",65.190002
"91","2007-05-14",66.25
"92","2007-05-15",64.849998
"93","2007-05-16",64.5
"94","2007-05-17",64.209999
"95","2007-05-18",63.75
"96","2007-05-21",64.989998
"97","2007-05-22",67.050003
"98","2007-05-23",69.709999
"99","2007-05-24",68.449997
"100","2007-05-25",69.400002
"101","2007-05-29",71.300003
"102","2007-05-30",70.809998
"103","2007-05-31",72
"104","2007-06-01",73.730003
"105","2007-06-04",72.379997
"106","2007-06-05",71.260002
"107","2007-06-06",70.220001
"108","2007-06-07",68.470001
"109","2007-06-08",69.660004
"110","2007-06-11",70.300003
"111","2007-06-12",67.400002
"112","2007-06-13",69.099998
"113","2007-06-14",68.129997
"114","2007-06-15",67.870003
"115","2007-06-18",67.139999
"116","2007-06-19",66.75
"117","2007-06-20",65.080002
"118","2007-06-21",65.400002
"119","2007-06-22",68.480003
"120","2007-06-25",66.540001
"121","2007-06-26",67.260002
"122","2007-06-27",69.25
"123","2007-06-28",70.870003
"124","2007-06-29",68.709999
"125","2007-07-02",67.800003
"126","2007-07-03",68.690002
"127","2007-07-05",68.870003
"128","2007-07-06",68.459999
"129","2007-07-09",67.5
