"","date","GDYN"
"1","2018-10-30",9.5
"2","2018-10-31",9.55
"3","2018-11-01",9.55
"4","2018-11-02",9.6
"5","2018-11-05",9.6
"6","2018-11-06",9.6
"7","2018-11-07",9.6
"8","2018-11-08",9.6
"9","2018-11-09",9.6
"10","2018-11-12",9.6
"11","2018-11-13",9.6
"12","2018-11-14",9.6
"13","2018-11-15",10
"14","2018-11-16",9.55
"15","2018-11-19",9.55
"16","2018-11-20",9.55
"17","2018-11-21",9.56
"18","2018-11-23",9.56
"19","2018-11-26",9.56
"20","2018-11-27",9.56
"21","2018-11-28",9.56
"22","2018-11-29",9.62
"23","2018-11-30",9.63
"24","2018-12-03",9.63
"25","2018-12-04",9.63
"26","2018-12-06",9.65
"27","2018-12-07",9.65
"28","2018-12-10",9.65
"29","2018-12-11",9.65
"30","2018-12-12",9.65
"31","2018-12-13",9.68
"32","2018-12-14",9.68
"33","2018-12-17",9.68
"34","2018-12-18",9.68
"35","2018-12-19",9.65
"36","2018-12-20",9.65
"37","2018-12-21",9.68
"38","2018-12-24",9.68
"39","2018-12-26",9.66
"40","2018-12-27",9.66
"41","2018-12-28",9.68
"42","2018-12-31",9.68
"43","2019-01-02",9.65
"44","2019-01-03",9.65
"45","2019-01-04",9.65
"46","2019-01-07",9.65
"47","2019-01-08",9.65
"48","2019-01-09",9.68
"49","2019-01-10",9.68
"50","2019-01-11",9.68
"51","2019-01-14",9.66
"52","2019-01-15",9.67
"53","2019-01-16",9.67
"54","2019-01-17",9.66
"55","2019-01-18",9.66
"56","2019-01-22",9.69
"57","2019-01-23",9.75
"58","2019-01-24",9.66
"59","2019-01-25",9.66
"60","2019-01-28",9.71
"61","2019-01-29",9.75
"62","2019-01-30",9.71
"63","2019-01-31",9.71
"64","2019-02-01",9.71
"65","2019-02-04",9.77
"66","2019-02-05",9.77
"67","2019-02-06",9.82
"68","2019-02-07",9.8
"69","2019-02-08",9.8
"70","2019-02-11",9.8
"71","2019-02-12",9.79
"72","2019-02-13",9.79
"73","2019-02-14",9.8
"74","2019-02-15",9.8
"75","2019-02-19",9.8
"76","2019-02-20",9.85
"77","2019-02-21",9.77
"78","2019-02-22",9.77
"79","2019-02-25",9.79
"80","2019-02-26",9.79
"81","2019-02-27",9.79
