"","date","USAK"
"1","2007-01-03",16.41
"2","2007-01-04",16.450001
"3","2007-01-05",16.049999
"4","2007-01-08",15.8
"5","2007-01-09",15.89
"6","2007-01-10",16.459999
"7","2007-01-11",16.200001
"8","2007-01-12",16.190001
"9","2007-01-16",15.97
"10","2007-01-17",15.81
"11","2007-01-18",15.8
"12","2007-01-19",15.7
"13","2007-01-22",15.75
"14","2007-01-23",16.01
"15","2007-01-24",15.92
"16","2007-01-25",15.74
"17","2007-01-26",15.61
"18","2007-01-29",15.64
"19","2007-01-30",15.65
"20","2007-01-31",16.01
"21","2007-02-01",15.91
"22","2007-02-02",16.26
"23","2007-02-05",16.299999
"24","2007-02-06",16.73
"25","2007-02-07",16.34
"26","2007-02-08",16.620001
"27","2007-02-09",16.48
"28","2007-02-12",16.6
"29","2007-02-13",17.32
"30","2007-02-14",17.35
"31","2007-02-15",17.35
"32","2007-02-16",17.469999
"33","2007-02-20",17.290001
"34","2007-02-21",17.09
"35","2007-02-22",17.01
"36","2007-02-23",17.02
"37","2007-02-26",16.92
"38","2007-02-27",16.32
"39","2007-02-28",16.23
"40","2007-03-01",16.059999
"41","2007-03-02",15.83
"42","2007-03-05",15.56
"43","2007-03-06",16.01
"44","2007-03-07",16.139999
"45","2007-03-08",16.02
"46","2007-03-09",16.219999
"47","2007-03-12",16.16
"48","2007-03-13",15.81
"49","2007-03-14",15.93
"50","2007-03-15",16.07
"51","2007-03-16",15.9
"52","2007-03-19",15.95
"53","2007-03-20",15.93
"54","2007-03-21",16.299999
"55","2007-03-22",16.459999
"56","2007-03-23",16.17
"57","2007-03-26",15.96
"58","2007-03-27",15.81
"59","2007-03-28",15.7
"60","2007-03-29",15.6
"61","2007-03-30",15.54
"62","2007-04-02",15.66
"63","2007-04-03",15.86
"64","2007-04-04",15.95
"65","2007-04-05",15.96
"66","2007-04-09",16.299999
"67","2007-04-10",16.32
"68","2007-04-11",16.129999
"69","2007-04-12",16.030001
"70","2007-04-13",15.9
"71","2007-04-16",15.99
"72","2007-04-17",15.76
"73","2007-04-18",15.75
"74","2007-04-19",15.8
"75","2007-04-20",15.99
"76","2007-04-23",16.09
"77","2007-04-24",16.209999
"78","2007-04-25",16.690001
"79","2007-04-26",16.25
"80","2007-04-27",15.85
"81","2007-04-30",15.56
"82","2007-05-01",15.62
"83","2007-05-02",16.040001
"84","2007-05-03",16.129999
"85","2007-05-04",16.18
"86","2007-05-07",16.450001
"87","2007-05-08",16.059999
"88","2007-05-09",15.97
"89","2007-05-10",15.8
"90","2007-05-11",15.77
"91","2007-05-14",15.84
"92","2007-05-15",15.9
"93","2007-05-16",16.049999
"94","2007-05-17",16.23
"95","2007-05-18",16.25
"96","2007-05-21",16.360001
"97","2007-05-22",16.07
"98","2007-05-23",16.18
"99","2007-05-24",15.99
"100","2007-05-25",16.200001
"101","2007-05-29",16.4
"102","2007-05-30",16.35
"103","2007-05-31",16.75
"104","2007-06-01",16.84
"105","2007-06-04",16.9
"106","2007-06-05",16.57
"107","2007-06-06",16.629999
"108","2007-06-07",16.6
"109","2007-06-08",16.6
"110","2007-06-11",16.23
"111","2007-06-12",15.95
"112","2007-06-13",16.129999
"113","2007-06-14",16.15
"114","2007-06-15",16.209999
"115","2007-06-18",16.24
"116","2007-06-19",16
"117","2007-06-20",15.84
"118","2007-06-21",15.85
"119","2007-06-22",15.76
"120","2007-06-25",16.23
"121","2007-06-26",16.66
"122","2007-06-27",17.1
"123","2007-06-28",16.950001
"124","2007-06-29",16.6
"125","2007-07-02",16.450001
"126","2007-07-03",16.469999
