"","date","SMMC"
"1","2019-08-06",9.65
"2","2019-08-07",9.72
"3","2019-08-08",9.72
"4","2019-08-09",9.72
"5","2019-08-12",9.72
"6","2019-08-13",9.7
"7","2019-08-14",9.7
"8","2019-08-15",9.76
"9","2019-08-16",9.97
"10","2019-08-19",9.9
"11","2019-08-20",9.89
"12","2019-08-21",9.89
"13","2019-08-22",9.89
"14","2019-08-23",10.04
"15","2019-08-26",10.04
"16","2019-08-27",10.02
"17","2019-08-28",9.8
"18","2019-08-29",9.8
"19","2019-08-30",10.03
"20","2019-09-03",9.9
"21","2019-09-04",9.9
"22","2019-09-05",9.9
"23","2019-09-06",9.9
"24","2019-09-09",9.9
"25","2019-09-10",9.9
"26","2019-09-11",9.78
"27","2019-09-12",9.78
"28","2019-09-13",9.78
"29","2019-09-16",9.78
"30","2019-09-17",9.75
"31","2019-09-18",9.76
"32","2019-09-19",9.76
"33","2019-09-20",9.76
"34","2019-09-23",9.76
"35","2019-09-24",9.8
"36","2019-09-25",9.8
"37","2019-09-26",9.8
"38","2019-09-27",9.78
"39","2019-09-30",9.8
"40","2019-10-01",9.77
"41","2019-10-02",9.77
"42","2019-10-03",9.87
"43","2019-10-04",9.87
"44","2019-10-07",9.77
"45","2019-10-08",9.8
"46","2019-10-09",9.8
"47","2019-10-10",9.77
"48","2019-10-11",9.9
"49","2019-10-14",9.9
"50","2019-10-15",9.9
"51","2019-10-16",9.9
"52","2019-10-17",9.9
"53","2019-10-18",9.9
"54","2019-10-21",9.89
"55","2019-10-22",9.89
"56","2019-10-23",9.89
"57","2019-10-24",9.89
"58","2019-10-25",9.89
"59","2019-10-28",9.89
"60","2019-10-29",9.9
"61","2019-10-30",9.9
"62","2019-10-31",9.9
"63","2019-11-01",9.9
"64","2019-11-04",9.9
"65","2019-11-05",9.9
"66","2019-11-06",9.9
"67","2019-11-07",9.9
"68","2019-11-08",9.9
"69","2019-11-11",9.9
"70","2019-11-12",9.9
"71","2019-11-13",9.9
"72","2019-11-14",9.9
"73","2019-11-15",9.9
"74","2019-11-18",9.9
"75","2019-11-19",9.9
"76","2019-11-20",9.9
"77","2019-11-21",9.9
"78","2019-11-22",9.88
"79","2019-11-25",9.88
"80","2019-11-26",9.75
"81","2019-11-27",9.84
"82","2019-11-29",9.87
"83","2019-12-02",9.87
"84","2019-12-03",9.87
"85","2019-12-04",9.85
"86","2019-12-05",9.85
"87","2019-12-06",9.84
"88","2019-12-09",9.84
"89","2019-12-10",9.84
"90","2019-12-11",9.84
"91","2019-12-12",9.85
"92","2019-12-13",9.87
"93","2019-12-16",9.87
"94","2019-12-17",9.85
"95","2019-12-18",9.86
"96","2019-12-19",9.87
"97","2019-12-20",9.87
"98","2019-12-23",9.87
"99","2019-12-24",9.87
"100","2019-12-26",9.89
"101","2019-12-27",9.86
"102","2019-12-30",9.86
"103","2019-12-31",9.87
"104","2020-01-02",9.87
"105","2020-01-03",9.88
"106","2020-01-06",9.88
"107","2020-01-07",9.88
"108","2020-01-08",9.92
"109","2020-01-09",9.99
"110","2020-01-10",9.99
"111","2020-01-13",9.91
"112","2020-01-14",9.96
"113","2020-01-15",9.95
"114","2020-01-16",10
"115","2020-01-17",10
"116","2020-01-21",10.015
"117","2020-01-22",9.99
"118","2020-01-23",10
"119","2020-01-24",10
"120","2020-01-27",9.99
"121","2020-01-28",10
"122","2020-01-29",10.05
"123","2020-01-30",10.06
"124","2020-01-31",10.06
"125","2020-02-03",10.03
"126","2020-02-04",10.05
"127","2020-02-05",10.05
"128","2020-02-06",10.06
"129","2020-02-07",10.08
"130","2020-02-10",10.08
"131","2020-02-11",10.09
"132","2020-02-12",10.09
"133","2020-02-13",10.1
"134","2020-02-14",10.1
"135","2020-02-18",10.14
"136","2020-02-19",10.14
"137","2020-02-20",10.14
"138","2020-02-21",10.11
"139","2020-02-24",10.11
"140","2020-02-25",10.11
"141","2020-02-26",10.13
"142","2020-02-27",10.13
"143","2020-02-28",10.13
"144","2020-03-02",10.15
"145","2020-03-03",10.15
"146","2020-03-04",10.15
"147","2020-03-05",10.137
"148","2020-03-06",10.137
"149","2020-03-09",10.137
"150","2020-03-10",10.137
"151","2020-03-11",10.137
"152","2020-03-12",10.03
"153","2020-03-13",10
"154","2020-03-16",9.97
"155","2020-03-17",9.71
"156","2020-03-18",9.71
"157","2020-03-19",9.6
"158","2020-03-20",9.6
"159","2020-03-23",9.5
"160","2020-03-24",9.5
"161","2020-03-25",9.6
"162","2020-03-26",9.71
"163","2020-03-27",9.69
"164","2020-03-30",9.69
"165","2020-03-31",9.7
"166","2020-04-01",9.75
"167","2020-04-02",9.75
"168","2020-04-03",9.72
"169","2020-04-06",9.75
"170","2020-04-07",9.75
"171","2020-04-08",9.79
"172","2020-04-09",9.71
"173","2020-04-13",9.76
"174","2020-04-14",9.76
"175","2020-04-15",9.76
"176","2020-04-16",9.76
"177","2020-04-17",9.8
"178","2020-04-20",9.8
"179","2020-04-21",9.82
"180","2020-04-22",9.82
"181","2020-04-23",9.79
"182","2020-04-24",9.85
"183","2020-04-27",9.8
"184","2020-04-28",9.9
"185","2020-04-29",9.826
"186","2020-04-30",9.826
"187","2020-05-01",9.826
"188","2020-05-04",9.8
"189","2020-05-05",9.8
"190","2020-05-06",9.91
"191","2020-05-07",9.91
"192","2020-05-08",9.8
"193","2020-05-11",9.8
"194","2020-05-12",9.8
"195","2020-05-13",9.8
"196","2020-05-14",9.8
"197","2020-05-15",9.92
"198","2020-05-18",9.92
"199","2020-05-19",9.92
"200","2020-05-20",9.92
"201","2020-05-21",9.92
"202","2020-05-22",9.92
"203","2020-05-26",9.92
"204","2020-05-27",9.92
"205","2020-05-28",9.92
"206","2020-05-29",9.92
"207","2020-06-01",9.92
"208","2020-06-02",9.87
"209","2020-06-03",9.87
"210","2020-06-04",9.87
"211","2020-06-05",9.92
"212","2020-06-08",9.92
"213","2020-06-09",9.88
"214","2020-06-10",9.93
"215","2020-06-11",9.94
"216","2020-06-12",9.95
"217","2020-06-15",9.95
"218","2020-06-16",9.99
"219","2020-06-17",10
"220","2020-06-18",10
"221","2020-06-19",10.08
"222","2020-06-22",10.12
"223","2020-06-23",10.13
"224","2020-06-24",10.11
"225","2020-06-25",10.13
"226","2020-06-26",10.08
"227","2020-06-29",10.16
"228","2020-06-30",10.19
"229","2020-07-01",10.23
"230","2020-07-02",10.175
"231","2020-07-06",10.25
"232","2020-07-07",10.25
"233","2020-07-08",10.23
"234","2020-07-09",10.2
"235","2020-07-10",10.2
"236","2020-07-13",10.2
"237","2020-07-14",10.23
