"","date","AGMH"
"1","2018-04-18",6.3
"2","2018-04-19",8.48
"3","2018-04-20",7.788
"4","2018-04-23",8.4
"5","2018-04-24",8.45
"6","2018-04-25",10.61
"7","2018-04-26",9.73
"8","2018-04-27",10.47
"9","2018-04-30",9.6
"10","2018-05-01",8.55
"11","2018-05-02",9.2
"12","2018-05-03",9.23
"13","2018-05-04",8.96
"14","2018-05-07",9.87
"15","2018-05-08",9.48
"16","2018-05-09",10.4
"17","2018-05-10",11.05
"18","2018-05-11",10.3
"19","2018-05-14",9.55
"20","2018-05-15",9.93
"21","2018-05-16",9.59
"22","2018-05-17",8.78
"23","2018-05-18",8.62
"24","2018-05-21",9.11
"25","2018-05-22",8.8
"26","2018-05-23",9.22
"27","2018-05-24",9.85
"28","2018-05-25",9.97
"29","2018-05-29",10.04
"30","2018-05-30",10.07
"31","2018-05-31",9.84
"32","2018-06-01",10.13
"33","2018-06-04",10
"34","2018-06-05",9.81
"35","2018-06-06",10.07
"36","2018-06-07",9.95
"37","2018-06-08",10.28
"38","2018-06-11",10.26
"39","2018-06-12",13.39
"40","2018-06-13",16.219999
"41","2018-06-14",27.799999
"42","2018-06-15",29.41
"43","2018-06-18",28.139999
"44","2018-06-19",25.5
"45","2018-06-20",25.780001
"46","2018-06-21",28.5
"47","2018-06-22",27.16
"48","2018-06-25",25.85
"49","2018-06-26",24.01
"50","2018-06-27",24.5
"51","2018-06-28",24.25
"52","2018-06-29",23.68
"53","2018-07-02",19.4
"54","2018-07-03",20.719999
"55","2018-07-05",21.84
"56","2018-07-06",22.66
"57","2018-07-09",21.245001
"58","2018-07-10",19.41
"59","2018-07-11",17.690001
"60","2018-07-12",16.969999
"61","2018-07-13",17.040001
"62","2018-07-16",16.629999
"63","2018-07-17",17.26
"64","2018-07-18",17.15
"65","2018-07-19",13.84
"66","2018-07-20",12.58
"67","2018-07-23",12.61
"68","2018-07-24",13.501
"69","2018-07-25",13.99
"70","2018-07-26",13.22
"71","2018-07-27",15.69
"72","2018-07-30",15.48
"73","2018-07-31",14.29
"74","2018-08-01",15.29
"75","2018-08-02",14.88
"76","2018-08-03",15.81
"77","2018-08-06",15.6
"78","2018-08-07",15.86
"79","2018-08-08",15.43
"80","2018-08-09",14.32
"81","2018-08-10",14.25
"82","2018-08-13",15
"83","2018-08-14",15.975
"84","2018-08-15",14.55
"85","2018-08-16",14.24
"86","2018-08-17",14.26
"87","2018-08-20",15.61
"88","2018-08-21",18.809999
"89","2018-08-22",20
"90","2018-08-23",19.68
"91","2018-08-24",18.809999
"92","2018-08-27",24.01
"93","2018-08-28",27.26
"94","2018-08-29",26.85
"95","2018-08-30",27.5
"96","2018-08-31",26
"97","2018-09-04",26.719999
