"","date","CYBE"
"1","2007-01-03",12.85
"2","2007-01-04",12.9
"3","2007-01-05",13
"4","2007-01-08",13.2
"5","2007-01-09",13.2
"6","2007-01-10",13.55
"7","2007-01-11",13.56
"8","2007-01-12",13.74
"9","2007-01-16",14
"10","2007-01-17",13.54
"11","2007-01-18",13.75
"12","2007-01-19",13.59
"13","2007-01-22",13.57
"14","2007-01-23",13.51
"15","2007-01-24",13.69
"16","2007-01-25",13.46
"17","2007-01-26",13.46
"18","2007-01-29",13.34
"19","2007-01-30",13.42
"20","2007-01-31",13.53
"21","2007-02-01",13.5
"22","2007-02-02",13.33
"23","2007-02-05",13.43
"24","2007-02-06",13.48
"25","2007-02-07",13.28
"26","2007-02-08",13.39
"27","2007-02-09",13.24
"28","2007-02-12",13.12
"29","2007-02-13",13.06
"30","2007-02-14",13.09
"31","2007-02-15",13.86
"32","2007-02-16",13.9
"33","2007-02-20",13.99
"34","2007-02-21",13.85
"35","2007-02-22",13.89
"36","2007-02-23",13.92
"37","2007-02-26",13.89
"38","2007-02-27",13.76
"39","2007-02-28",13.7
"40","2007-03-01",13.45
"41","2007-03-02",13.5
"42","2007-03-05",13.29
"43","2007-03-06",13.48
"44","2007-03-07",13.33
"45","2007-03-08",13.43
"46","2007-03-09",13.66
"47","2007-03-12",13.84
"48","2007-03-13",13.41
"49","2007-03-14",13.42
"50","2007-03-15",13.5
"51","2007-03-16",13.48
"52","2007-03-19",13.48
"53","2007-03-20",13.66
"54","2007-03-21",13.7
"55","2007-03-22",13.87
"56","2007-03-23",13.97
"57","2007-03-26",13.75
"58","2007-03-27",13.88
"59","2007-03-28",13.75
"60","2007-03-29",13.7
"61","2007-03-30",13.94
"62","2007-04-02",14.14
"63","2007-04-03",14.33
"64","2007-04-04",14.38
"65","2007-04-05",14.54
"66","2007-04-09",14.47
"67","2007-04-10",14.05
"68","2007-04-11",14.07
"69","2007-04-12",14.17
"70","2007-04-13",14.35
"71","2007-04-16",14.22
"72","2007-04-17",14.1
"73","2007-04-18",13.55
"74","2007-04-19",13.45
"75","2007-04-20",13.14
"76","2007-04-23",13.06
"77","2007-04-24",13.58
"78","2007-04-25",13.87
