"","date","MBWM"
"1","2007-01-03",35.580952
"2","2007-01-04",35.400002
"3","2007-01-05",34.866665
"4","2007-01-08",34.42857
"5","2007-01-09",33.971428
"6","2007-01-10",32.771427
"7","2007-01-11",33.333332
"8","2007-01-12",32.819046
"9","2007-01-16",32.866665
"10","2007-01-17",32.476189
"11","2007-01-18",32.276192
"12","2007-01-19",32.019047
"13","2007-01-22",32.019047
"14","2007-01-23",32
"15","2007-01-24",32.142857
"16","2007-01-25",31.990477
"17","2007-01-26",32.104763
"18","2007-01-29",33.028572
"19","2007-01-30",33.400002
"20","2007-01-31",33.238094
"21","2007-02-01",33.171429
"22","2007-02-02",33.24762
"23","2007-02-05",32.923809
"24","2007-02-06",32.533333
"25","2007-02-07",32.961906
"26","2007-02-08",32.990475
"27","2007-02-09",32.42857
"28","2007-02-12",32.742859
"29","2007-02-13",32.561905
"30","2007-02-14",32.857143
"31","2007-02-15",32.857143
"32","2007-02-16",32.952381
"33","2007-02-20",33.438095
"34","2007-02-21",33.628571
"35","2007-02-22",33.304764
"36","2007-02-23",32.847618
"37","2007-02-26",32.971428
"38","2007-02-27",32.619049
"39","2007-02-28",32.342857
"40","2007-03-01",32.476189
"41","2007-03-02",31.380953
"42","2007-03-05",31.409523
"43","2007-03-06",32.171429
"44","2007-03-07",31.695238
"45","2007-03-08",31.514286
"46","2007-03-09",31.72381
"47","2007-03-12",31.495237
"48","2007-03-13",30.466667
"49","2007-03-14",30.028572
"50","2007-03-15",30.714285
"51","2007-03-16",30.095238
"52","2007-03-19",30.476191
"53","2007-03-20",30.476191
"54","2007-03-21",31.628571
"55","2007-03-22",31.790476
"56","2007-03-23",31.571428
"57","2007-03-26",31.866667
"58","2007-03-27",30.523809
"59","2007-03-28",30.714285
"60","2007-03-29",31.114286
"61","2007-03-30",30.933332
"62","2007-04-02",30.647619
"63","2007-04-03",31.228571
"64","2007-04-04",31.190475
"65","2007-04-05",30.761906
"66","2007-04-09",30.504763
"67","2007-04-10",29.904762
"68","2007-04-11",29.638096
"69","2007-04-12",29.476191
"70","2007-04-13",29.380953
"71","2007-04-16",29.866667
"72","2007-04-17",29.371429
"73","2007-04-18",29.190475
"74","2007-04-19",28.75
"75","2007-04-20",28.549999
"76","2007-04-23",27.67
"77","2007-04-24",27.299999
"78","2007-04-25",27.73
"79","2007-04-26",27.549999
"80","2007-04-27",27.370001
"81","2007-04-30",26.959999
"82","2007-05-01",26.59
"83","2007-05-02",27.950001
"84","2007-05-03",27.93
"85","2007-05-04",27.870001
"86","2007-05-07",27.469999
"87","2007-05-08",27.379999
"88","2007-05-09",28.01
"89","2007-05-10",27.85
"90","2007-05-11",27.969999
"91","2007-05-14",27.690001
"92","2007-05-15",27.540001
"93","2007-05-16",27.73
"94","2007-05-17",27.35
"95","2007-05-18",27.469999
"96","2007-05-21",28.110001
"97","2007-05-22",28.5
"98","2007-05-23",28.66
"99","2007-05-24",28.1
"100","2007-05-25",27.290001
"101","2007-05-29",27.940001
"102","2007-05-30",28.129999
"103","2007-05-31",27.49
"104","2007-06-01",27.809999
"105","2007-06-04",27.200001
"106","2007-06-05",27.35
"107","2007-06-06",27.290001
"108","2007-06-07",27.129999
"109","2007-06-08",27.73
"110","2007-06-11",27.75
"111","2007-06-12",27.24
"112","2007-06-13",27.690001
"113","2007-06-14",27.889999
"114","2007-06-15",27.889999
"115","2007-06-18",27.889999
