"","date","CTRM"
"1","2019-02-11",5.05
"2","2019-02-12",5.05
"3","2019-02-13",5.1
"4","2019-02-14",5.2
"5","2019-02-15",5.2
"6","2019-02-19",5.2
"7","2019-02-20",5.2
"8","2019-02-21",5.2
"9","2019-02-22",5.2
"10","2019-02-25",5.23
"11","2019-02-26",5.18
"12","2019-02-27",5.1
"13","2019-02-28",5.13
"14","2019-03-01",5.12
"15","2019-03-04",5.05
"16","2019-03-05",5.05
"17","2019-03-06",5.05
"18","2019-03-07",5.05
"19","2019-03-08",5
"20","2019-03-11",9
"21","2019-03-12",6.25
"22","2019-03-13",5.55
"23","2019-03-14",5.02
"24","2019-03-15",5
"25","2019-03-18",4.5
"26","2019-03-19",4.061
"27","2019-03-20",4.1
"28","2019-03-21",4.75
"29","2019-03-22",4.59
"30","2019-03-25",4.9
"31","2019-03-26",10.15
"32","2019-03-27",9.11
"33","2019-03-28",6.34
"34","2019-03-29",5.47
"35","2019-04-01",5.26
"36","2019-04-02",5.96
"37","2019-04-03",5.57
"38","2019-04-04",5.3
"39","2019-04-05",5.38
"40","2019-04-08",5.12
"41","2019-04-09",5.21
"42","2019-04-10",5.13
"43","2019-04-11",5.05
"44","2019-04-12",5.75
"45","2019-04-15",5.38
"46","2019-04-16",5.59
"47","2019-04-17",5.42
"48","2019-04-18",5.27
"49","2019-04-22",5.2
"50","2019-04-23",5.24
"51","2019-04-24",5.46
"52","2019-04-25",5.69
"53","2019-04-26",6.4
"54","2019-04-29",6.73
"55","2019-04-30",6.47
"56","2019-05-01",6.24
"57","2019-05-02",5.8
"58","2019-05-03",5.9
"59","2019-05-06",5.62
"60","2019-05-07",5.65
"61","2019-05-08",5.7
"62","2019-05-09",5.32
"63","2019-05-10",5.21
"64","2019-05-13",5.13
"65","2019-05-14",5.2
"66","2019-05-15",5.55
"67","2019-05-16",5.49
"68","2019-05-17",5.375
"69","2019-05-20",5.35
"70","2019-05-21",5.28
"71","2019-05-22",5.18
"72","2019-05-23",5.07
"73","2019-05-24",5.03
"74","2019-05-28",4.967
"75","2019-05-29",4.65
"76","2019-05-30",4.87
"77","2019-05-31",4.75
"78","2019-06-03",4.31
"79","2019-06-04",5.86
"80","2019-06-05",4.8
"81","2019-06-06",4.39
"82","2019-06-07",4.46
"83","2019-06-10",4.48
"84","2019-06-11",4.38
"85","2019-06-12",4.34
"86","2019-06-13",4.61
"87","2019-06-14",4.464
"88","2019-06-17",4.48
"89","2019-06-18",4.403
"90","2019-06-19",4.338
"91","2019-06-20",4.25
"92","2019-06-21",4.08
"93","2019-06-24",4.1
"94","2019-06-25",4.17
"95","2019-06-26",4.1
"96","2019-06-27",4.19
"97","2019-06-28",4.27
"98","2019-07-01",4.22
"99","2019-07-02",4.167
"100","2019-07-03",4.151
"101","2019-07-05",4.12
"102","2019-07-08",4.08
"103","2019-07-09",4.34
"104","2019-07-10",4.15
"105","2019-07-11",4.101
"106","2019-07-12",4.01
"107","2019-07-15",4.15
"108","2019-07-16",4.04
"109","2019-07-17",4.14
"110","2019-07-18",4.11
"111","2019-07-19",4.11
"112","2019-07-22",4.19
"113","2019-07-23",4.159
"114","2019-07-24",4.15
"115","2019-07-25",4.05
"116","2019-07-26",4.05
"117","2019-07-29",3.815
"118","2019-07-30",3.27
"119","2019-07-31",3.14
"120","2019-08-01",3.1
"121","2019-08-02",2.966
"122","2019-08-05",2.88
"123","2019-08-06",2.79
"124","2019-08-07",2.85
"125","2019-08-08",3.21
"126","2019-08-09",2.88
"127","2019-08-12",2.93
"128","2019-08-13",2.9
"129","2019-08-14",2.7
"130","2019-08-15",2.665
"131","2019-08-16",2.745
"132","2019-08-19",2.97
"133","2019-08-20",2.88
"134","2019-08-21",3
"135","2019-08-22",3.14
"136","2019-08-23",2.95
"137","2019-08-26",2.94
"138","2019-08-27",2.9
"139","2019-08-28",3.15
"140","2019-08-29",3.056
"141","2019-08-30",3.14
"142","2019-09-03",3
"143","2019-09-04",3.13
"144","2019-09-05",3.06
"145","2019-09-06",2.74
"146","2019-09-09",2.8
"147","2019-09-10",2.8
"148","2019-09-11",2.74
"149","2019-09-12",2.733
"150","2019-09-13",2.77
"151","2019-09-16",2.79
"152","2019-09-17",2.77
"153","2019-09-18",2.77
"154","2019-09-19",2.74
"155","2019-09-20",2.74
"156","2019-09-23",2.83
"157","2019-09-24",2.73
"158","2019-09-25",2.78
"159","2019-09-26",2.76
"160","2019-09-27",2.84
"161","2019-09-30",2.89
"162","2019-10-01",2.9
"163","2019-10-02",2.92
"164","2019-10-03",3.01
"165","2019-10-04",3.12
"166","2019-10-07",3.12
"167","2019-10-08",3.1
"168","2019-10-09",3.22
"169","2019-10-10",3.226
"170","2019-10-11",3.25
"171","2019-10-14",3.72
"172","2019-10-15",3.44
"173","2019-10-16",3.36
"174","2019-10-17",3.84
"175","2019-10-18",3.65
"176","2019-10-21",3.55
"177","2019-10-22",3.33
"178","2019-10-23",3.63
"179","2019-10-24",3.46
"180","2019-10-25",3.65
"181","2019-10-28",3.87
"182","2019-10-29",3.92
"183","2019-10-30",3.77
"184","2019-10-31",3.94
"185","2019-11-01",3.88
"186","2019-11-04",3.83
"187","2019-11-05",3.4
"188","2019-11-06",3.27
"189","2019-11-07",2.65
"190","2019-11-08",2.67
"191","2019-11-11",2.47
"192","2019-11-12",2.44
"193","2019-11-13",2.43
"194","2019-11-14",2.49
"195","2019-11-15",2.62
"196","2019-11-18",2.5
"197","2019-11-19",2.577
"198","2019-11-20",2.56
"199","2019-11-21",2.28
"200","2019-11-22",2.24
"201","2019-11-25",2.26
"202","2019-11-26",2.26
"203","2019-11-27",2.29
"204","2019-11-29",2.38
"205","2019-12-02",2.29
"206","2019-12-03",2.25
"207","2019-12-04",2.23
"208","2019-12-05",2.26
"209","2019-12-06",2.36
"210","2019-12-09",2.27
"211","2019-12-10",2.24
"212","2019-12-11",2.19
"213","2019-12-12",2.27
"214","2019-12-13",2.216
"215","2019-12-16",2.065
"216","2019-12-17",1.9
"217","2019-12-18",1.97
"218","2019-12-19",1.94
"219","2019-12-20",1.95
"220","2019-12-23",1.9
"221","2019-12-24",1.87
"222","2019-12-26",1.88
"223","2019-12-27",1.861
"224","2019-12-30",1.835
"225","2019-12-31",1.85
"226","2020-01-02",1.904
"227","2020-01-03",1.92
"228","2020-01-06",1.94
"229","2020-01-07",1.92
"230","2020-01-08",1.88
"231","2020-01-09",1.84
"232","2020-01-10",1.8
"233","2020-01-13",1.82
"234","2020-01-14",1.87
"235","2020-01-15",1.86
"236","2020-01-16",1.85
"237","2020-01-17",1.86
"238","2020-01-21",1.77
"239","2020-01-22",1.7
"240","2020-01-23",1.693
"241","2020-01-24",1.53
"242","2020-01-27",1.59
"243","2020-01-28",1.47
"244","2020-01-29",1.47
"245","2020-01-30",1.33
"246","2020-01-31",1.38
"247","2020-02-03",1.42
"248","2020-02-04",1.36
"249","2020-02-05",1.407
"250","2020-02-06",1.3
"251","2020-02-07",1.335
"252","2020-02-10",1.29
"253","2020-02-11",1.27
"254","2020-02-12",1.278
"255","2020-02-13",1.25
"256","2020-02-14",1.21
"257","2020-02-18",1.2
"258","2020-02-19",1.185
"259","2020-02-20",1.021
"260","2020-02-21",1.13
"261","2020-02-24",1.05
"262","2020-02-25",1.057
"263","2020-02-26",1.028
"264","2020-02-27",0.94
"265","2020-02-28",0.88
"266","2020-03-02",0.975
"267","2020-03-03",0.955
"268","2020-03-04",0.92
"269","2020-03-05",0.91
"270","2020-03-06",0.83
"271","2020-03-09",0.709
"272","2020-03-10",0.734
"273","2020-03-11",0.71
"274","2020-03-12",0.724
"275","2020-03-13",0.666
"276","2020-03-16",0.603
"277","2020-03-17",0.6
"278","2020-03-18",0.568
"279","2020-03-19",0.542
"280","2020-03-20",0.556
"281","2020-03-23",0.58
"282","2020-03-24",0.596
"283","2020-03-25",0.64
"284","2020-03-26",0.688
"285","2020-03-27",0.777
"286","2020-03-30",0.662
"287","2020-03-31",0.684
"288","2020-04-01",0.606
"289","2020-04-02",0.6
"290","2020-04-03",0.565
"291","2020-04-06",0.62
"292","2020-04-07",0.596
"293","2020-04-08",0.605
"294","2020-04-09",0.61
"295","2020-04-13",0.61
"296","2020-04-14",0.62
"297","2020-04-15",0.61
"298","2020-04-16",0.61
"299","2020-04-17",0.629
"300","2020-04-20",0.7
"301","2020-04-21",0.659
"302","2020-04-22",0.63
"303","2020-04-23",0.65
"304","2020-04-24",0.66
"305","2020-04-27",0.663
"306","2020-04-28",0.71
"307","2020-04-29",0.71
"308","2020-04-30",0.682
"309","2020-05-01",0.68
"310","2020-05-04",0.693
"311","2020-05-05",0.658
"312","2020-05-06",0.66
"313","2020-05-07",0.662
"314","2020-05-08",0.69
"315","2020-05-11",0.7
"316","2020-05-12",0.689
"317","2020-05-13",0.66
"318","2020-05-14",0.647
"319","2020-05-15",0.655
"320","2020-05-18",0.695
"321","2020-05-19",0.659
"322","2020-05-20",0.67
"323","2020-05-21",0.656
"324","2020-05-22",0.668
"325","2020-05-26",0.704
"326","2020-05-27",0.699
"327","2020-05-28",0.67
"328","2020-05-29",0.661
"329","2020-06-01",0.68
"330","2020-06-02",0.677
"331","2020-06-03",0.68
"332","2020-06-04",0.733
"333","2020-06-05",0.768
"334","2020-06-08",0.828
"335","2020-06-09",0.733
"336","2020-06-10",0.73
"337","2020-06-11",0.65
"338","2020-06-12",0.709
"339","2020-06-15",0.72
"340","2020-06-16",0.72
"341","2020-06-17",0.686
"342","2020-06-18",0.74
"343","2020-06-19",0.71
"344","2020-06-22",0.64
"345","2020-06-23",0.63
"346","2020-06-24",0.427
"347","2020-06-25",0.467
"348","2020-06-26",0.412
"349","2020-06-29",0.395
"350","2020-06-30",0.4
"351","2020-07-01",0.368
"352","2020-07-02",0.329
"353","2020-07-06",0.339
"354","2020-07-07",0.329
"355","2020-07-08",0.32
"356","2020-07-09",0.357
"357","2020-07-10",0.346
"358","2020-07-13",0.258
"359","2020-07-14",0.262
"360","2020-07-15",0.255
"361","2020-07-16",0.255
"362","2020-07-17",0.249
"363","2020-07-20",0.228
"364","2020-07-21",0.234
"365","2020-07-22",0.228
"366","2020-07-23",0.22
"367","2020-07-24",0.21
"368","2020-07-27",0.199
"369","2020-07-28",0.204
"370","2020-07-29",0.212
"371","2020-07-30",0.2
"372","2020-07-31",0.204
"373","2020-08-03",0.198
"374","2020-08-04",0.191
"375","2020-08-05",0.198
"376","2020-08-06",0.2
"377","2020-08-07",0.196
"378","2020-08-10",0.191
"379","2020-08-11",0.19
"380","2020-08-12",0.183
"381","2020-08-13",0.173
"382","2020-08-14",0.172
"383","2020-08-17",0.168
"384","2020-08-18",0.151
"385","2020-08-19",0.146
"386","2020-08-20",0.165
"387","2020-08-21",0.154
"388","2020-08-24",0.148
"389","2020-08-25",0.148
"390","2020-08-26",0.19
"391","2020-08-27",0.164
"392","2020-08-28",0.185
"393","2020-08-31",0.176
"394","2020-09-01",0.168
"395","2020-09-02",0.17
"396","2020-09-03",0.16
"397","2020-09-04",0.165
"398","2020-09-08",0.161
"399","2020-09-09",0.151
"400","2020-09-10",0.148
"401","2020-09-11",0.159
"402","2020-09-14",0.155
"403","2020-09-15",0.16
"404","2020-09-16",0.164
"405","2020-09-17",0.159
"406","2020-09-18",0.158
"407","2020-09-21",0.149
"408","2020-09-22",0.155
"409","2020-09-23",0.15
"410","2020-09-24",0.15
"411","2020-09-25",0.148
"412","2020-09-28",0.16
"413","2020-09-29",0.16
"414","2020-09-30",0.154
"415","2020-10-01",0.159
"416","2020-10-02",0.156
"417","2020-10-05",0.155
"418","2020-10-06",0.159
"419","2020-10-07",0.164
"420","2020-10-08",0.158
"421","2020-10-09",0.163
"422","2020-10-12",0.172
"423","2020-10-13",0.163
"424","2020-10-14",0.166
"425","2020-10-15",0.16
"426","2020-10-16",0.155
"427","2020-10-19",0.156
"428","2020-10-20",0.15
"429","2020-10-21",0.15
"430","2020-10-22",0.153
"431","2020-10-23",0.152
"432","2020-10-26",0.143
"433","2020-10-27",0.141
"434","2020-10-28",0.128
"435","2020-10-29",0.132
"436","2020-10-30",0.121
"437","2020-11-02",0.118
"438","2020-11-03",0.122
"439","2020-11-04",0.12
"440","2020-11-05",0.12
"441","2020-11-06",0.119
"442","2020-11-09",0.124
"443","2020-11-10",0.128
"444","2020-11-11",0.135
"445","2020-11-12",0.144
"446","2020-11-13",0.133
"447","2020-11-16",0.138
"448","2020-11-17",0.135
"449","2020-11-18",0.147
"450","2020-11-19",0.155
"451","2020-11-20",0.173
"452","2020-11-23",0.163
"453","2020-11-24",0.153
"454","2020-11-25",0.158
"455","2020-11-27",0.16
