"","date","GLRE"
"1","2007-05-24",24.030001
"2","2007-05-25",24.780001
"3","2007-05-29",24.08
"4","2007-05-30",23.75
"5","2007-05-31",23.700001
"6","2007-06-01",23.879999
"7","2007-06-04",23.639999
"8","2007-06-05",23.639999
"9","2007-06-06",23.700001
"10","2007-06-07",23.98
"11","2007-06-08",23.639999
"12","2007-06-11",23.65
"13","2007-06-12",23.620001
"14","2007-06-13",23.5
"15","2007-06-14",23.360001
"16","2007-06-15",23
"17","2007-06-18",23.26
"18","2007-06-19",23.379999
"19","2007-06-20",23.41
"20","2007-06-21",23.41
"21","2007-06-22",23.4
"22","2007-06-25",23.08
"23","2007-06-26",22.51
"24","2007-06-27",23.219999
"25","2007-06-28",22.98
"26","2007-06-29",22.530001
"27","2007-07-02",22.5
"28","2007-07-03",22.4
"29","2007-07-05",22.23
"30","2007-07-06",22.35
"31","2007-07-09",22.42
"32","2007-07-10",22.09
"33","2007-07-11",22.1
"34","2007-07-12",22.77
"35","2007-07-13",23.870001
"36","2007-07-16",23.33
"37","2007-07-17",23.52
"38","2007-07-18",23.75
"39","2007-07-19",23.27
"40","2007-07-20",23.02
"41","2007-07-23",22.91
"42","2007-07-24",22.389999
"43","2007-07-25",22.049999
"44","2007-07-26",21.469999
"45","2007-07-27",21
"46","2007-07-30",21.15
"47","2007-07-31",21
"48","2007-08-01",21.07
"49","2007-08-02",21
"50","2007-08-03",19.879999
"51","2007-08-06",20.08
"52","2007-08-07",19.16
"53","2007-08-08",20.200001
"54","2007-08-09",19.6
"55","2007-08-10",19.65
"56","2007-08-13",19.52
"57","2007-08-14",19.52
"58","2007-08-15",19.6
"59","2007-08-16",19.82
"60","2007-08-17",19.690001
"61","2007-08-20",20.950001
"62","2007-08-21",20.16
"63","2007-08-22",20.07
"64","2007-08-23",20
"65","2007-08-24",20.389999
"66","2007-08-27",19.98
"67","2007-08-28",20.129999
"68","2007-08-29",20.700001
"69","2007-08-30",20.24
"70","2007-08-31",19.82
"71","2007-09-04",21.059999
"72","2007-09-05",21
"73","2007-09-06",20.66
"74","2007-09-07",20.129999
"75","2007-09-10",20.34
"76","2007-09-11",20.809999
"77","2007-09-12",20.49
"78","2007-09-13",20.16
"79","2007-09-14",20.030001
