"","date","VBIV"
"1","2007-01-03",25.299999
"2","2007-01-04",26.700001
"3","2007-01-05",26.700001
"4","2007-01-08",26.49
"5","2007-01-09",26.200001
"6","2007-01-10",25.985001
"7","2007-01-11",26.65
"8","2007-01-12",25.549999
"9","2007-01-16",26.15
"10","2007-01-17",26.25
"11","2007-01-18",26.1
"12","2007-01-19",4.58529
"13","2007-01-22",26.1
"14","2007-01-23",26.1
"15","2007-01-24",26.5
"16","2007-01-25",26
"17","2007-01-26",25.65
"18","2007-01-29",25.65
"19","2007-01-30",25.65
"20","2007-01-31",25.25
"21","2007-02-01",25.25
"22","2007-02-02",24.9
"23","2007-02-05",3.48386
"24","2007-02-06",25.5
"25","2007-02-07",25.15
"26","2007-02-08",25.15
"27","2007-02-09",25.1
"28","2007-02-12",25.1
"29","2007-02-13",25.200001
"30","2007-02-14",25
"31","2007-02-15",24.5
"32","2007-02-16",24.73
"33","2007-02-20",24.5
"34","2007-02-21",25.25
"35","2007-02-22",4.97201
"36","2007-02-23",26.5
"37","2007-02-26",25.75
"38","2007-02-27",4.48862
"39","2007-02-28",24.85
"40","2007-03-01",24.85
"41","2007-03-02",24.6
"42","2007-03-05",24.85
"43","2007-03-06",24.35
"44","2007-03-07",22.5
"45","2007-03-08",22.950001
"46","2007-03-09",23
"47","2007-03-12",5.43468
"48","2007-03-13",23
"49","2007-03-14",23.450001
"50","2007-03-15",5.35181
"51","2007-03-16",26.200001
"52","2007-03-19",25.5
"53","2007-03-20",25.299999
"54","2007-03-21",25.1
"55","2007-03-22",25.1
"56","2007-03-23",25.1
"57","2007-03-26",24.450001
"58","2007-03-27",23.65
"59","2007-03-28",23.65
"60","2007-03-29",5.17917
"61","2007-03-30",23.65
"62","2007-04-02",23.950001
"63","2007-04-03",24
"64","2007-04-04",25
"65","2007-04-05",25.1
"66","2007-04-09",25.1
"67","2007-04-10",7.23013
"68","2007-04-11",7.42003
"69","2007-04-12",24.5
"70","2007-04-13",7.9414
"71","2007-04-16",24.799999
"72","2007-04-17",24.5
"73","2007-04-18",8.32121
"74","2007-04-19",24
"75","2007-04-20",24
"76","2007-04-23",8.42479
"77","2007-04-24",24
"78","2007-04-25",24.85
"79","2007-04-26",24.85
"80","2007-04-27",24.549999
"81","2007-04-30",24.85
"82","2007-05-01",7.0782
"83","2007-05-02",25.25
"84","2007-05-03",7.25084
"85","2007-05-04",24.5
"86","2007-05-07",25.200001
"87","2007-05-08",25.15
"88","2007-05-09",23
"89","2007-05-10",23.549999
"90","2007-05-11",23.85
"91","2007-05-14",8.42824
"92","2007-05-15",29.25
"93","2007-05-16",31.5
"94","2007-05-17",431.597992
"95","2007-05-18",27.049999
"96","2007-05-21",30.25
"97","2007-05-22",31.25
"98","2007-05-23",29.200001
"99","2007-05-24",29.200001
"100","2007-05-25",28.049999
"101","2007-05-29",28.5
"102","2007-05-30",28
"103","2007-05-31",26.75
"104","2007-06-01",26.75
"105","2007-06-04",26.7495
"106","2007-06-05",27.85
"107","2007-06-06",27.25
"108","2007-06-07",26.75
"109","2007-06-08",27
"110","2007-06-11",26.85
"111","2007-06-12",26.4
"112","2007-06-13",26.5
"113","2007-06-14",7.28537
"114","2007-06-15",26.9995
"115","2007-06-18",27.450001
"116","2007-06-19",26.9
"117","2007-06-20",6.90556
"118","2007-06-21",29.25
"119","2007-06-22",27.15
"120","2007-06-25",26.65
"121","2007-06-26",26.75
"122","2007-06-27",26.25
"123","2007-06-28",26.75
"124","2007-06-29",8.11404
"125","2007-07-02",27.049999
"126","2007-07-03",27.1
"127","2007-07-05",27.1
"128","2007-07-06",27.5
"129","2007-07-09",29.450001
"130","2007-07-10",29.950001
"131","2007-07-11",28.700001
"132","2007-07-12",29.25
"133","2007-07-13",29.5
"134","2007-07-16",28.5
"135","2007-07-17",29.75
"136","2007-07-18",27.799999
"137","2007-07-19",27.9
"138","2007-07-20",28.35
"139","2007-07-23",27.9
"140","2007-07-24",27.5
"141","2007-07-25",27.049999
"142","2007-07-26",27.145
"143","2007-07-27",8.89091
"144","2007-07-30",26.75
"145","2007-07-31",27.75
"146","2007-08-01",27.75
"147","2007-08-02",27
"148","2007-08-03",26.5
"149","2007-08-06",26.25
"150","2007-08-07",26.75
"151","2007-08-08",26.75
"152","2007-08-09",26.35
"153","2007-08-10",27
"154","2007-08-13",27.299999
"155","2007-08-14",6.79853
"156","2007-08-15",23.25
"157","2007-08-16",23.549999
"158","2007-08-17",22.4
"159","2007-08-20",6.92973
"160","2007-08-21",6.92973
"161","2007-08-22",24
"162","2007-08-23",23.4
"163","2007-08-24",24
"164","2007-08-27",23.9
"165","2007-08-28",23.950001
"166","2007-08-29",23.35
"167","2007-08-30",23.75
"168","2007-08-31",25.1
"169","2007-09-04",25
"170","2007-09-05",9.01521
"171","2007-09-06",23.75
"172","2007-09-07",24
"173","2007-09-10",23.950001
"174","2007-09-11",24.1
"175","2007-09-12",24.200001
"176","2007-09-13",24
"177","2007-09-14",9.49515
"178","2007-09-17",23.4
"179","2007-09-18",23.35
"180","2007-09-19",23.799999
"181","2007-09-20",24
"182","2007-09-21",25.9
"183","2007-09-24",30.049999
"184","2007-09-25",10.5172
"185","2007-09-26",10.4516
"186","2007-09-27",29.200001
"187","2007-09-28",8.63196
"188","2007-10-01",28.25
"189","2007-10-02",29.254999
"190","2007-10-03",27.549999
"191","2007-10-04",25.25
"192","2007-10-05",27.15
"193","2007-10-08",25.9
"194","2007-10-09",25.9
"195","2007-10-10",25.799999
"196","2007-10-11",25.6
"197","2007-10-12",8.49384
"198","2007-10-15",27.25
"199","2007-10-16",26.700001
