"","date","GRAY"
"1","2020-09-25",16.5
"2","2020-09-28",16.059999
"3","2020-09-29",14.3
"4","2020-09-30",12.71
"5","2020-10-01",13.48
"6","2020-10-02",13.05
"7","2020-10-05",13.15
"8","2020-10-06",13.3
"9","2020-10-07",14.29
"10","2020-10-08",14.48
"11","2020-10-09",14.5
"12","2020-10-12",14.55
"13","2020-10-13",15.47
"14","2020-10-14",16.17
"15","2020-10-15",15.81
"16","2020-10-16",15.38
"17","2020-10-19",15.9
"18","2020-10-20",16.309999
"19","2020-10-21",15.75
"20","2020-10-22",14.51
"21","2020-10-23",14.75
"22","2020-10-26",14.95
"23","2020-10-27",15.32
"24","2020-10-28",14.5
"25","2020-10-29",14.09
"26","2020-10-30",13.16
"27","2020-11-02",14.7
"28","2020-11-03",14.97
"29","2020-11-04",16.299999
"30","2020-11-05",19.26
"31","2020-11-06",19.790001
"32","2020-11-09",19.299999
"33","2020-11-10",20.299999
"34","2020-11-11",27.459999
"35","2020-11-12",24.610001
"36","2020-11-13",25.73
"37","2020-11-16",27.01
"38","2020-11-17",27.75
"39","2020-11-18",27.34
"40","2020-11-19",26.76
"41","2020-11-20",27.610001
"42","2020-11-23",33.93
"43","2020-11-24",24.84
"44","2020-11-25",25.370001
"45","2020-11-27",23.5
