"","date","HASI"
"229","2014-03-14",14.58
"230","2014-03-17",14.6
"231","2014-03-18",14.71
"232","2014-03-19",14.82
"233","2014-03-20",14.97
"234","2014-03-21",14.89
"235","2014-03-24",14.67
"236","2014-03-25",14.66
"237","2014-03-26",14.35
"238","2014-03-27",14.41
"239","2014-03-28",14.04
"240","2014-03-31",14.35
"241","2014-04-01",14.5
"242","2014-04-02",14.68
"243","2014-04-03",14.56
"244","2014-04-04",14.17
"245","2014-04-07",14.02
"246","2014-04-08",14.27
"247","2014-04-09",14.2
"248","2014-04-10",14.14
"249","2014-04-11",13.75
"250","2014-04-14",13.91
"251","2014-04-15",13.53
"252","2014-04-16",13.45
"253","2014-04-17",13.34
"254","2014-04-21",13.54
"255","2014-04-22",13.97
"256","2014-04-23",13.18
"257","2014-04-24",13.15
"258","2014-04-25",13.15
"259","2014-04-28",13.13
"260","2014-04-29",13.25
"261","2014-04-30",13.22
"262","2014-05-01",13.35
"263","2014-05-02",13.15
"264","2014-05-05",13.31
"265","2014-05-06",13.71
"266","2014-05-07",13.27
"267","2014-05-08",13.26
"268","2014-05-09",13.36
"269","2014-05-12",13.5
"270","2014-05-13",13.57
"271","2014-05-14",13.43
"272","2014-05-15",13.5
"273","2014-05-16",13.47
"274","2014-05-19",13.3
"275","2014-05-20",13.25
"276","2014-05-21",13.28
"277","2014-05-22",13.41
"278","2014-05-23",13.59
"279","2014-05-27",13.92
"280","2014-05-28",14.14
"281","2014-05-29",14.01
"282","2014-05-30",14.09
"283","2014-06-02",14.03
"284","2014-06-03",13.89
"285","2014-06-04",14.17
"286","2014-06-05",14.49
"287","2014-06-06",14.61
"288","2014-06-09",14.81
"289","2014-06-10",14.51
"290","2014-06-11",14.52
"291","2014-06-12",14.75
"292","2014-06-13",14.65
"293","2014-06-16",14.58
"294","2014-06-17",14.65
"295","2014-06-18",14.56
"296","2014-06-19",14.43
"297","2014-06-20",14.51
"298","2014-06-23",14.4
"299","2014-06-24",14.31
"300","2014-06-25",14.07
"301","2014-06-26",14.05
"302","2014-06-27",14.31
"303","2014-06-30",14.34
"304","2014-07-01",14.54
"305","2014-07-02",14.7
"306","2014-07-03",14.59
"307","2014-07-07",14.53
"308","2014-07-08",14.35
"309","2014-07-09",14.53
"310","2014-07-10",14.46
"311","2014-07-11",14.56
"312","2014-07-14",14.72
"313","2014-07-15",14.68
"314","2014-07-16",14.79
"315","2014-07-17",14.43
"316","2014-07-18",14.45
"317","2014-07-21",14.4
"318","2014-07-22",14.5
"319","2014-07-23",14.45
"320","2014-07-24",14.31
"321","2014-07-25",14.28
"322","2014-07-28",14.2
"323","2014-07-29",14.05
"324","2014-07-30",14
"325","2014-07-31",13.71
"326","2014-08-01",13.67
"327","2014-08-04",13.67
"328","2014-08-05",13.57
"329","2014-08-06",13.54
"330","2014-08-07",13.38
"331","2014-08-08",13.36
"332","2014-08-11",13.7
"333","2014-08-12",14.21
"334","2014-08-13",14.13
"335","2014-08-14",14.18
"336","2014-08-15",14.44
"337","2014-08-18",14.51
"338","2014-08-19",14.5
"339","2014-08-20",14.42
"340","2014-08-21",14.46
"341","2014-08-22",14.63
"342","2014-08-25",14.56
"343","2014-08-26",14.53
"344","2014-08-27",14.38
"345","2014-08-28",14.36
"346","2014-08-29",14.49
"347","2014-09-02",14.5
"348","2014-09-03",14.17
"349","2014-09-04",14.19
"350","2014-09-05",14.31
"351","2014-09-08",14.31
"352","2014-09-09",14.17
"353","2014-09-10",14.11
"354","2014-09-11",14.22
"355","2014-09-12",14.09
"356","2014-09-15",13.99
"357","2014-09-16",14.21
"358","2014-09-17",14.12
"359","2014-09-18",14.05
"360","2014-09-19",14.12
"361","2014-09-22",14.07
"362","2014-09-23",13.92
"363","2014-09-24",13.64
"364","2014-09-25",13.65
"365","2014-09-26",13.81
"366","2014-09-29",13.91
"367","2014-09-30",13.82
"368","2014-10-01",13.8
"369","2014-10-02",13.71
"370","2014-10-03",13.77
"371","2014-10-06",13.8
"372","2014-10-07",13.67
"373","2014-10-08",13.95
"374","2014-10-09",13.7
"375","2014-10-10",13.54
"376","2014-10-13",13.26
"377","2014-10-14",13.22
"378","2014-10-15",13.2
"379","2014-10-16",13.67
"380","2014-10-17",13.69
"381","2014-10-20",13.88
"382","2014-10-21",14.21
"383","2014-10-22",14.14
"384","2014-10-23",14.22
"385","2014-10-24",14.25
"386","2014-10-27",14.29
"387","2014-10-28",14
"388","2014-10-29",13.67
"389","2014-10-30",13.84
"390","2014-10-31",13.98
"391","2014-11-03",13.96
"392","2014-11-04",14.12
"393","2014-11-05",13.8
"394","2014-11-06",13.95
"395","2014-11-07",13.63
"396","2014-11-10",13.76
"397","2014-11-11",13.68
"398","2014-11-12",13.98
"399","2014-11-13",13.72
"400","2014-11-14",13.6
"401","2014-11-17",13.75
"402","2014-11-18",14.03
"403","2014-11-19",13.74
"404","2014-11-20",13.63
"405","2014-11-21",13.52
"406","2014-11-24",13.65
"407","2014-11-25",13.85
"408","2014-11-26",14.4
"409","2014-11-28",14.09
"410","2014-12-01",13.63
"411","2014-12-02",13.7
"412","2014-12-03",13.64
"413","2014-12-04",13.61
"414","2014-12-05",13.63
"415","2014-12-08",13.51
"416","2014-12-09",13.94
"417","2014-12-10",13.69
"418","2014-12-11",13.98
"419","2014-12-12",13.97
"420","2014-12-15",13.7
"421","2014-12-16",13.73
"422","2014-12-17",14
"423","2014-12-18",14.19
"424","2014-12-19",14.34
"425","2014-12-22",14.12
"426","2014-12-23",14.26
"427","2014-12-24",14.11
"428","2014-12-26",14.35
"429","2014-12-29",14.43
"430","2014-12-30",14.18
"431","2014-12-31",14.23
"432","2015-01-02",14.41
"433","2015-01-05",14.35
"434","2015-01-06",14.1
"435","2015-01-07",14.3
"436","2015-01-08",14.37
"437","2015-01-09",14.18
"438","2015-01-12",14.18
"439","2015-01-13",14.14
"440","2015-01-14",14.11
"441","2015-01-15",13.97
"442","2015-01-16",14.17
"443","2015-01-20",14.05
"444","2015-01-21",13.95
"445","2015-01-22",14.27
"446","2015-01-23",14.15
"447","2015-01-26",14
"448","2015-01-27",13.86
"449","2015-01-28",13.69
"450","2015-01-29",13.93
"451","2015-01-30",13.7
"452","2015-02-02",13.93
"453","2015-02-03",14.04
"454","2015-02-04",14.09
"455","2015-02-05",14.26
"456","2015-02-06",14.16
"457","2015-02-09",14.3
"458","2015-02-10",14.44
"459","2015-02-11",14.57
"460","2015-02-12",14.73
"461","2015-02-13",15.28
"462","2015-02-17",15.49
"463","2015-02-18",15.67
"464","2015-02-19",15.88
"465","2015-02-20",16.24
"466","2015-02-23",16.370001
"467","2015-02-24",16.49
"468","2015-02-25",16.4
"469","2015-02-26",16.51
"470","2015-02-27",16.629999
"471","2015-03-02",16.790001
"472","2015-03-03",16.42
"473","2015-03-04",17.540001
"474","2015-03-05",17.77
"475","2015-03-06",17.59
"476","2015-03-09",17.780001
"477","2015-03-10",17.85
"478","2015-03-11",18.049999
"479","2015-03-12",18.17
"480","2015-03-13",17.91
"481","2015-03-16",18.02
"482","2015-03-17",18.280001
"483","2015-03-18",18.030001
"484","2015-03-19",18.4
"485","2015-03-20",18.93
"486","2015-03-23",18.98
"487","2015-03-24",19.01
"488","2015-03-25",18.870001
"489","2015-03-26",18.780001
"490","2015-03-27",18.530001
"491","2015-03-30",18.27
"492","2015-03-31",18.280001
"493","2015-04-01",18.110001
"494","2015-04-02",18.43
"495","2015-04-06",18.51
"496","2015-04-07",18.59
"497","2015-04-08",18.629999
"498","2015-04-09",18.48
"499","2015-04-10",18.65
"500","2015-04-13",18.49
"501","2015-04-14",18.82
"502","2015-04-15",18.870001
"503","2015-04-16",18.959999
"504","2015-04-17",18.77
"505","2015-04-20",18.959999
"506","2015-04-21",19
"507","2015-04-22",19
"508","2015-04-23",19.02
"509","2015-04-24",19
"510","2015-04-27",19.049999
"511","2015-04-28",19.33
"512","2015-04-29",19.120001
"513","2015-04-30",19
"514","2015-05-01",19.16
"515","2015-05-04",19.290001
"516","2015-05-05",19.02
"517","2015-05-06",18.77
"518","2015-05-07",19.01
"519","2015-05-08",18.83
