"","date","SNDL"
"1","2019-08-01",8.48
"2","2019-08-02",10.45
"3","2019-08-05",11.7
"4","2019-08-06",13
"5","2019-08-07",12.85
"6","2019-08-08",12.3
"7","2019-08-09",11.5
"8","2019-08-12",10.44
"9","2019-08-13",10.39
"10","2019-08-14",11.08
"11","2019-08-15",11.08
"12","2019-08-16",10.54
"13","2019-08-19",10.45
"14","2019-08-20",10
"15","2019-08-21",10.01
"16","2019-08-22",9.62
"17","2019-08-23",9.64
"18","2019-08-26",9.53
"19","2019-08-27",8.95
"20","2019-08-28",8.75
"21","2019-08-29",7.86
"22","2019-08-30",7.96
"23","2019-09-03",8.21
"24","2019-09-04",7.85
"25","2019-09-05",8.03
"26","2019-09-06",7.7
"27","2019-09-09",7.71
"28","2019-09-10",8.02
"29","2019-09-11",8.67
"30","2019-09-12",8.65
"31","2019-09-13",8.75
"32","2019-09-16",8.79
"33","2019-09-17",8.77
"34","2019-09-18",8.52
"35","2019-09-19",7.5
"36","2019-09-20",7.07
"37","2019-09-23",6.7
"38","2019-09-24",6.19
"39","2019-09-25",5.61
"40","2019-09-26",4.45
"41","2019-09-27",4.11
"42","2019-09-30",4.795
"43","2019-10-01",4.88
"44","2019-10-02",4.66
"45","2019-10-03",4.97
"46","2019-10-04",4.67
"47","2019-10-07",4.52
"48","2019-10-08",4.4
"49","2019-10-09",5.22
"50","2019-10-10",4.54
"51","2019-10-11",4.46
"52","2019-10-14",4.41
"53","2019-10-15",4.48
"54","2019-10-16",4.1
"55","2019-10-17",4.2
"56","2019-10-18",4.1
"57","2019-10-21",3.91
"58","2019-10-22",3.82
"59","2019-10-23",4.08
"60","2019-10-24",3.9
"61","2019-10-25",3.94
"62","2019-10-28",3.8
"63","2019-10-29",3.53
"64","2019-10-30",3.37
"65","2019-10-31",3.25
"66","2019-11-01",3.19
"67","2019-11-04",2.97
"68","2019-11-05",2.93
"69","2019-11-06",3.21
"70","2019-11-07",3.51
"71","2019-11-08",3.8
"72","2019-11-11",3.88
"73","2019-11-12",3.81
"74","2019-11-13",3.61
"75","2019-11-14",3.26
"76","2019-11-15",3.13
"77","2019-11-18",2.81
"78","2019-11-19",2.88
"79","2019-11-20",2.78
"80","2019-11-21",3.22
"81","2019-11-22",2.98
"82","2019-11-25",2.74
"83","2019-11-26",2.65
"84","2019-11-27",2.55
"85","2019-11-29",2.42
"86","2019-12-02",2.37
"87","2019-12-03",2.3
"88","2019-12-04",2.16
"89","2019-12-05",2.09
"90","2019-12-06",1.95
"91","2019-12-09",2.29
"92","2019-12-10",2.08
"93","2019-12-11",2.23
"94","2019-12-12",2.43
"95","2019-12-13",2.52
"96","2019-12-16",2.53
"97","2019-12-17",2.55
"98","2019-12-18",2.29
"99","2019-12-19",2.4
"100","2019-12-20",2.32
"101","2019-12-23",2.37
"102","2019-12-24",2.39
"103","2019-12-26",2.39
"104","2019-12-27",2.27
"105","2019-12-30",2.48
"106","2019-12-31",3.01
"107","2020-01-02",3.03
"108","2020-01-03",2.89
"109","2020-01-06",2.97
"110","2020-01-07",2.84
"111","2020-01-08",2.71
"112","2020-01-09",3
"113","2020-01-10",2.75
"114","2020-01-13",2.9
"115","2020-01-14",2.87
"116","2020-01-15",3.37
"117","2020-01-16",3.27
"118","2020-01-17",3.46
"119","2020-01-21",3.35
"120","2020-01-22",3.09
"121","2020-01-23",2.83
"122","2020-01-24",2.63
"123","2020-01-27",2.52
"124","2020-01-28",2.64
"125","2020-01-29",2.58
"126","2020-01-30",1.51
"127","2020-01-31",1.2
"128","2020-02-03",1.35
"129","2020-02-04",1.45
"130","2020-02-05",1.31
"131","2020-02-06",1.29
"132","2020-02-07",1.21
"133","2020-02-10",1.14
"134","2020-02-11",1.19
"135","2020-02-12",1.17
"136","2020-02-13",1.18
"137","2020-02-14",1.35
"138","2020-02-18",1.34
"139","2020-02-19",1.35
"140","2020-02-20",1.4
"141","2020-02-21",1.53
"142","2020-02-24",1.57
"143","2020-02-25",1.49
"144","2020-02-26",1.46
"145","2020-02-27",1.43
"146","2020-02-28",1.42
"147","2020-03-02",1.48
"148","2020-03-03",1.48
"149","2020-03-04",1.65
"150","2020-03-05",1.45
"151","2020-03-06",1.33
"152","2020-03-09",1.22
"153","2020-03-10",1.06
"154","2020-03-11",0.911
"155","2020-03-12",0.81
"156","2020-03-13",0.744
"157","2020-03-16",0.68
"158","2020-03-17",0.67
"159","2020-03-18",0.61
"160","2020-03-19",0.699
"161","2020-03-20",0.79
"162","2020-03-23",0.75
"163","2020-03-24",0.794
"164","2020-03-25",0.82
"165","2020-03-26",1.05
"166","2020-03-27",1.04
"167","2020-03-30",0.95
"168","2020-03-31",0.64
"169","2020-04-01",0.57
"170","2020-04-02",0.494
"171","2020-04-03",0.471
"172","2020-04-06",0.529
"173","2020-04-07",0.518
"174","2020-04-08",0.56
"175","2020-04-09",0.62
"176","2020-04-13",0.59
"177","2020-04-14",0.589
"178","2020-04-15",0.58
"179","2020-04-16",0.531
"180","2020-04-17",0.56
"181","2020-04-20",0.58
"182","2020-04-21",0.54
"183","2020-04-22",0.52
"184","2020-04-23",0.527
"185","2020-04-24",0.5
"186","2020-04-27",0.493
"187","2020-04-28",0.495
"188","2020-04-29",0.499
"189","2020-04-30",0.57
"190","2020-05-01",0.635
"191","2020-05-04",0.578
"192","2020-05-05",0.55
"193","2020-05-06",0.56
"194","2020-05-07",0.515
"195","2020-05-08",0.509
"196","2020-05-11",0.502
"197","2020-05-12",0.493
"198","2020-05-13",0.39
"199","2020-05-14",0.387
"200","2020-05-15",0.55
"201","2020-05-18",0.61
"202","2020-05-19",0.579
"203","2020-05-20",0.554
"204","2020-05-21",0.605
"205","2020-05-22",0.845
"206","2020-05-26",0.915
"207","2020-05-27",0.86
"208","2020-05-28",0.88
"209","2020-05-29",0.851
"210","2020-06-01",0.857
"211","2020-06-02",0.83
"212","2020-06-03",0.82
"213","2020-06-04",0.812
"214","2020-06-05",0.82
"215","2020-06-08",1.09
"216","2020-06-09",1.1
"217","2020-06-10",1.1
"218","2020-06-11",0.91
"219","2020-06-12",0.97
"220","2020-06-15",0.995
"221","2020-06-16",1.01
"222","2020-06-17",0.924
"223","2020-06-18",0.91
"224","2020-06-19",0.87
"225","2020-06-22",0.852
"226","2020-06-23",0.91
