"","date","HKIB"
"1","2019-08-05",10.09
"2","2019-08-06",9.88
"3","2019-08-07",9.9
"4","2019-08-08",9.92
"5","2019-08-09",9.9
"6","2019-08-12",9.72
"7","2019-08-13",9.16
"8","2019-08-14",9.4
"9","2019-08-15",9.06
"10","2019-08-16",9.19
"11","2019-08-19",9.24
"12","2019-08-20",9.3
"13","2019-08-21",9.23
"14","2019-08-22",8.95
"15","2019-08-23",8.8
"16","2019-08-26",9
"17","2019-08-27",9.05
"18","2019-08-28",9.05
"19","2019-08-29",8.38
"20","2019-08-30",9
"21","2019-09-03",9.05
"22","2019-09-04",9.06
"23","2019-09-05",9.07
"24","2019-09-06",9.08
"25","2019-09-09",9.08
"26","2019-09-10",9.08
"27","2019-09-11",9.08
"28","2019-09-12",9.04
"29","2019-09-13",9.05
"30","2019-09-16",9.08
"31","2019-09-17",8.8
"32","2019-09-18",8.95
"33","2019-09-19",9
"34","2019-09-20",9.02
"35","2019-09-23",8.96
"36","2019-09-24",8.95
"37","2019-09-25",8.95
"38","2019-09-26",8.96
"39","2019-09-27",8.97
"40","2019-09-30",9
"41","2019-10-01",9
"42","2019-10-02",8.93
"43","2019-10-03",8.8
"44","2019-10-04",8.11
"45","2019-10-07",8
"46","2019-10-08",8.11
"47","2019-10-09",8.39
"48","2019-10-10",8.48
"49","2019-10-11",8.75
"50","2019-10-14",8.5
"51","2019-10-15",8.73
"52","2019-10-16",8.5
"53","2019-10-17",8.2
"54","2019-10-18",8
"55","2019-10-21",8.35
"56","2019-10-22",8.35
"57","2019-10-23",8.37
"58","2019-10-24",8
"59","2019-10-25",8.05
"60","2019-10-28",8.03
"61","2019-10-29",8
"62","2019-10-30",8
"63","2019-10-31",7.98
"64","2019-11-01",8
"65","2019-11-04",8.4
"66","2019-11-05",8.3
"67","2019-11-06",8.3
"68","2019-11-07",8.35
"69","2019-11-08",8.5
"70","2019-11-11",8.42
"71","2019-11-12",8.08
"72","2019-11-13",7.94
"73","2019-11-14",7.98
"74","2019-11-15",8
"75","2019-11-18",7.82
"76","2019-11-19",8
"77","2019-11-20",8
"78","2019-11-21",8.2
"79","2019-11-22",8
"80","2019-11-25",8
"81","2019-11-26",8
"82","2019-11-27",8
"83","2019-11-29",7.6
"84","2019-12-02",8.05
"85","2019-12-03",8.04
"86","2019-12-04",8.2
"87","2019-12-05",8.35
"88","2019-12-06",8.5
"89","2019-12-09",8.5
"90","2019-12-10",8.5
"91","2019-12-11",8.5
"92","2019-12-12",8.5
"93","2019-12-13",8.5
"94","2019-12-16",8.5
"95","2019-12-17",8.51
"96","2019-12-18",8.5
"97","2019-12-19",8.94
"98","2019-12-20",8.7
"99","2019-12-23",8.5
"100","2019-12-24",8.88
"101","2019-12-26",8.86
"102","2019-12-27",8.5
"103","2019-12-30",8.49
"104","2019-12-31",8.86
"105","2020-01-02",8.75
"106","2020-01-03",8.46
"107","2020-01-06",8.73
"108","2020-01-07",8.77
"109","2020-01-08",8.5
"110","2020-01-09",8.5
"111","2020-01-10",8.55
"112","2020-01-13",8.73
"113","2020-01-14",8.75
"114","2020-01-15",8.61
"115","2020-01-16",8.5
"116","2020-01-17",8.53
"117","2020-01-21",8.5
"118","2020-01-22",8.5
"119","2020-01-23",8.5
"120","2020-01-24",8.5
"121","2020-01-27",8.48
"122","2020-01-28",8.5
"123","2020-01-29",8.32
"124","2020-01-30",8.5
"125","2020-01-31",8.16
"126","2020-02-03",8.28
"127","2020-02-04",8.5
"128","2020-02-05",8.44
"129","2020-02-06",8.39
"130","2020-02-07",8.5
"131","2020-02-10",8.45
"132","2020-02-11",8.45
"133","2020-02-12",8.45
"134","2020-02-13",8.45
"135","2020-02-14",8.45
"136","2020-02-18",8.45
"137","2020-02-19",8.45
"138","2020-02-20",8.42
"139","2020-02-21",8.45
"140","2020-02-24",8.5
"141","2020-02-25",8.5
"142","2020-02-26",8.5
"143","2020-02-27",8.5
"144","2020-02-28",8.5
"145","2020-03-02",8.5
"146","2020-03-03",8.5
"147","2020-03-04",8.5
"148","2020-03-05",8.5
"149","2020-03-06",8.5
"150","2020-03-09",8.5
"151","2020-03-10",8.5
"152","2020-03-11",8.5
"153","2020-03-12",8.5
"154","2020-03-13",8
"155","2020-03-16",7
"156","2020-03-17",6.97
"157","2020-03-18",7.65
"158","2020-03-19",7.8
"159","2020-03-20",7.41
"160","2020-03-23",7.04
"161","2020-03-24",7
"162","2020-03-25",7.1
"163","2020-03-26",7.1
"164","2020-03-27",7.5
"165","2020-03-30",8.5
"166","2020-03-31",7.7
"167","2020-04-01",8.46
"168","2020-04-02",8.5
"169","2020-04-03",8.5
"170","2020-04-06",8.5
"171","2020-04-07",9
"172","2020-04-08",9
"173","2020-04-09",8.8
"174","2020-04-13",8.25
"175","2020-04-14",8.49
"176","2020-04-15",7.99
"177","2020-04-16",8
"178","2020-04-17",8
"179","2020-04-20",8
"180","2020-04-21",8
"181","2020-04-22",7.89
"182","2020-04-23",7.9
"183","2020-04-24",7.9
"184","2020-04-27",7.9
"185","2020-04-28",7.9
"186","2020-04-29",7.8
"187","2020-04-30",8.2
"188","2020-05-01",7.8
"189","2020-05-04",7.5
"190","2020-05-05",7.37
"191","2020-05-06",6.97
"192","2020-05-07",7.19
"193","2020-05-08",7.3
"194","2020-05-11",7
"195","2020-05-12",7
"196","2020-05-13",6.9
"197","2020-05-14",6.86
"198","2020-05-15",6.8
"199","2020-05-18",6.42
"200","2020-05-19",6.4
"201","2020-05-20",6.3
"202","2020-05-21",6.2
"203","2020-05-22",7
"204","2020-05-26",6.8
"205","2020-05-27",6.6
"206","2020-05-28",6.5
"207","2020-05-29",6.5
"208","2020-06-01",6.5
"209","2020-06-02",6.5
"210","2020-06-03",6.5
"211","2020-06-04",6.5
"212","2020-06-05",6.5
"213","2020-06-08",6.43
"214","2020-06-09",6.5
"215","2020-06-10",6.5
"216","2020-06-11",6.5
"217","2020-06-12",6.5
"218","2020-06-15",6.5
"219","2020-06-16",6.5
"220","2020-06-17",6.5
"221","2020-06-18",6.5
"222","2020-06-19",6.5
"223","2020-06-22",6.5
"224","2020-06-23",6.5
"225","2020-06-24",6.5
"226","2020-06-25",7.7
"227","2020-06-26",7.3
"228","2020-06-29",7.4
"229","2020-06-30",7.2
"230","2020-07-01",6.98
"231","2020-07-02",7.5
"232","2020-07-06",6.96
"233","2020-07-07",6.8
"234","2020-07-08",6.8
"235","2020-07-09",6.7
"236","2020-07-10",6.7
"237","2020-07-13",6.7
"238","2020-07-14",6.6
"239","2020-07-15",6.6
"240","2020-07-16",6.6
"241","2020-07-17",6.6
"242","2020-07-20",6.6
"243","2020-07-21",6.6
"244","2020-07-22",6.6
"245","2020-07-23",6.6
"246","2020-07-24",6.6
"247","2020-07-27",6.6
"248","2020-07-28",6.6
"249","2020-07-29",6.6
"250","2020-07-30",6.6
"251","2020-07-31",6.8
"252","2020-08-03",6.9
"253","2020-08-04",7
"254","2020-08-05",7
"255","2020-08-06",7
"256","2020-08-07",6.8
"257","2020-08-10",6.8
"258","2020-08-11",6.6
"259","2020-08-12",6.6
"260","2020-08-13",6.6
"261","2020-08-14",6.6
"262","2020-08-17",6.6
"263","2020-08-18",6.6
"264","2020-08-19",6.6
"265","2020-08-20",6.26
"266","2020-08-21",6.5
"267","2020-08-24",6.5
"268","2020-08-25",6.4
"269","2020-08-26",6.5
"270","2020-08-27",6.4
"271","2020-08-28",6.4
"272","2020-08-31",6.3
"273","2020-09-01",6.3
"274","2020-09-02",6.3
"275","2020-09-03",6.3
"276","2020-09-04",6.3
"277","2020-09-08",6.3
"278","2020-09-09",6.3
"279","2020-09-10",6.3
"280","2020-09-11",6.3
"281","2020-09-14",6.78
"282","2020-09-15",6.82
"283","2020-09-16",6.9
"284","2020-09-17",6.8
"285","2020-09-18",6.83
"286","2020-09-21",6.86
"287","2020-09-22",6.82
"288","2020-09-23",6.9
"289","2020-09-24",7
"290","2020-09-25",6.8
"291","2020-09-28",6.84
"292","2020-09-29",6.85
"293","2020-09-30",7
"294","2020-10-01",6.81
"295","2020-10-02",6.87
"296","2020-10-05",7
"297","2020-10-06",6.84
"298","2020-10-07",7
"299","2020-10-08",6.8
"300","2020-10-09",6.93
"301","2020-10-12",7
"302","2020-10-13",6.97
"303","2020-10-14",7
"304","2020-10-15",7
"305","2020-10-16",7
"306","2020-10-19",7
"307","2020-10-20",7
"308","2020-10-21",7.05
"309","2020-10-22",7
"310","2020-10-23",7.05
"311","2020-10-26",6.94
"312","2020-10-27",6.99
"313","2020-10-28",6.99
"314","2020-10-29",6.99
"315","2020-10-30",7.05
"316","2020-11-02",7.05
"317","2020-11-03",6.98
"318","2020-11-04",6.85
"319","2020-11-05",6.8
"320","2020-11-06",6.75
"321","2020-11-09",6.73
"322","2020-11-10",6.75
"323","2020-11-11",6.7
"324","2020-11-12",6.7
"325","2020-11-13",6.7
"326","2020-11-16",6.7
"327","2020-11-17",6.7
"328","2020-11-18",6.7
"329","2020-11-19",6.7
"330","2020-11-20",6.69
"331","2020-11-23",6.65
"332","2020-11-24",6.65
"333","2020-11-25",6.65
"334","2020-11-27",6.65
