"","date","LOMA"
"1","2017-11-01",21.35
"2","2017-11-02",21.51
"3","2017-11-03",21.5
"4","2017-11-06",21.629999
"5","2017-11-07",21.190001
"6","2017-11-08",22.209999
"7","2017-11-09",21.67
"8","2017-11-10",21.32
"9","2017-11-13",21.32
"10","2017-11-14",21
"11","2017-11-15",21.120001
"12","2017-11-16",21.98
"13","2017-11-17",22.02
"14","2017-11-20",22.4
"15","2017-11-21",23.139999
"16","2017-11-22",23.52
"17","2017-11-24",23.6
"18","2017-11-27",22.65
"19","2017-11-28",22.780001
"20","2017-11-29",22.09
"21","2017-11-30",22.08
"22","2017-12-01",22
"23","2017-12-04",21.48
"24","2017-12-05",21.24
"25","2017-12-06",21.459999
"26","2017-12-07",21.73
"27","2017-12-08",21.92
"28","2017-12-11",22.139999
"29","2017-12-12",22.43
"30","2017-12-13",22.24
"31","2017-12-14",21.610001
"32","2017-12-15",21.49
"33","2017-12-18",21.58
"34","2017-12-19",22.379999
"35","2017-12-20",22.5
"36","2017-12-21",22.299999
"37","2017-12-22",22.18
"38","2017-12-26",22.41
"39","2017-12-27",22.75
"40","2017-12-28",22.75
"41","2017-12-29",23.040001
"42","2018-01-02",24.799999
"43","2018-01-03",24.15
"44","2018-01-04",24.450001
"45","2018-01-05",24.18
"46","2018-01-08",23.709999
"47","2018-01-09",23.57
"48","2018-01-10",23.709999
"49","2018-01-11",24.639999
"50","2018-01-12",25
"51","2018-01-16",24.27
"52","2018-01-17",24.51
"53","2018-01-18",24.27
"54","2018-01-19",24.65
"55","2018-01-22",25.02
"56","2018-01-23",24.4
"57","2018-01-24",23.389999
"58","2018-01-25",24.040001
"59","2018-01-26",24.09
"60","2018-01-29",23.35
"61","2018-01-30",22.93
"62","2018-01-31",23.76
"63","2018-02-01",23.790001
"64","2018-02-02",22.99
"65","2018-02-05",21.77
"66","2018-02-06",22.5
"67","2018-02-07",21.889999
"68","2018-02-08",21.16
"69","2018-02-09",21.530001
"70","2018-02-12",22
"71","2018-02-13",22.110001
"72","2018-02-14",23.02
"73","2018-02-15",22.85
"74","2018-02-16",22.700001
"75","2018-02-20",22.74
"76","2018-02-21",22.620001
"77","2018-02-22",22.59
"78","2018-02-23",22.040001
"79","2018-02-26",22.299999
"80","2018-02-27",21.99
"81","2018-02-28",21.77
"82","2018-03-01",21.440001
"83","2018-03-02",21.25
"84","2018-03-05",21.969999
"85","2018-03-06",22.030001
"86","2018-03-07",21.9
"87","2018-03-08",21.879999
"88","2018-03-09",22
"89","2018-03-12",22.02
"90","2018-03-13",22.18
"91","2018-03-14",21.950001
"92","2018-03-15",22.049999
"93","2018-03-16",22.17
"94","2018-03-19",21.58
"95","2018-03-20",21.35
"96","2018-03-21",21.290001
"97","2018-03-22",20.75
"98","2018-03-23",20.82
"99","2018-03-26",20.99
"100","2018-03-27",21.440001
"101","2018-03-28",21.360001
"102","2018-03-29",21.32
"103","2018-04-02",21.4
"104","2018-04-03",21.540001
"105","2018-04-04",21.700001
"106","2018-04-05",21.73
"107","2018-04-06",21.99
"108","2018-04-09",21.5
"109","2018-04-10",21.99
"110","2018-04-11",21.68
"111","2018-04-12",21.83
"112","2018-04-13",21.540001
"113","2018-04-16",21.24
"114","2018-04-17",21.35
"115","2018-04-18",21.6
"116","2018-04-19",21.09
"117","2018-04-20",21.27
"118","2018-04-23",21.530001
"119","2018-04-24",20.790001
"120","2018-04-25",20.780001
"121","2018-04-26",20.120001
"122","2018-04-27",20.459999
"123","2018-04-30",20.74
"124","2018-05-01",20.43
"125","2018-05-02",19.25
"126","2018-05-03",18.280001
"127","2018-05-04",17.99
"128","2018-05-07",17.879999
"129","2018-05-08",17.040001
"130","2018-05-09",17.18
"131","2018-05-10",17.99
"132","2018-05-11",16.9
"133","2018-05-14",14.15
"134","2018-05-15",14.93
"135","2018-05-16",15.15
"136","2018-05-17",15.35
"137","2018-05-18",15.26
"138","2018-05-21",15.17
"139","2018-05-22",15.18
"140","2018-05-23",12.99
"141","2018-05-24",11.56
"142","2018-05-25",12.62
"143","2018-05-29",12.79
"144","2018-05-30",12.88
"145","2018-05-31",12.9
"146","2018-06-01",12.8
"147","2018-06-04",13.35
"148","2018-06-05",13.8
"149","2018-06-06",13.71
"150","2018-06-07",13.54
"151","2018-06-08",13.65
"152","2018-06-11",13.52
"153","2018-06-12",13.4
"154","2018-06-13",12.95
"155","2018-06-14",12.31
"156","2018-06-15",12.35
"157","2018-06-18",11.6
"158","2018-06-19",11.7
"159","2018-06-20",12
"160","2018-06-21",12.36
"161","2018-06-22",13.24
"162","2018-06-25",12.41
"163","2018-06-26",12.21
"164","2018-06-27",10.89
"165","2018-06-28",10.6
"166","2018-06-29",10.26
"167","2018-07-02",9.96
"168","2018-07-03",11.32
"169","2018-07-05",11.52
"170","2018-07-06",11.16
"171","2018-07-09",11.43
"172","2018-07-10",11.34
"173","2018-07-11",10.98
"174","2018-07-12",10.84
"175","2018-07-13",10.59
"176","2018-07-16",10.42
"177","2018-07-17",10.36
"178","2018-07-18",10.39
"179","2018-07-19",10.33
"180","2018-07-20",10.72
"181","2018-07-23",10.4
"182","2018-07-24",10.4
"183","2018-07-25",10.93
"184","2018-07-26",11.26
"185","2018-07-27",11.62
"186","2018-07-30",11.51
"187","2018-07-31",11.24
"188","2018-08-01",10.96
"189","2018-08-02",10.62
"190","2018-08-03",11.03
"191","2018-08-06",10.75
"192","2018-08-07",10.46
