"","date","BXG"
"1","2017-11-17",13
"2","2017-11-20",13.29
"3","2017-11-21",13.85
"4","2017-11-22",14.22
"5","2017-11-24",14.25
"6","2017-11-27",14.48
"7","2017-11-28",14.78
"8","2017-11-29",14.95
"9","2017-11-30",16.530001
"10","2017-12-01",16.58
"11","2017-12-04",16.32
"12","2017-12-05",16.02
"13","2017-12-06",16.290001
"14","2017-12-07",16.139999
"15","2017-12-08",15.89
"16","2017-12-11",16.110001
"17","2017-12-12",16.209999
"18","2017-12-13",16.17
"19","2017-12-14",16.01
"20","2017-12-15",15.9
"21","2017-12-18",16.01
"22","2017-12-19",15.64
"23","2017-12-20",16.059999
"24","2017-12-21",16.26
"25","2017-12-22",16.280001
"26","2017-12-26",17.4
"27","2017-12-27",17.110001
"28","2017-12-28",17.719999
"29","2017-12-29",18.26
"30","2018-01-02",17.809999
"31","2018-01-03",18
"32","2018-01-04",18.73
"33","2018-01-05",18.1
"34","2018-01-08",18.200001
"35","2018-01-09",17.98
"36","2018-01-10",18.030001
"37","2018-01-11",17.860001
"38","2018-01-12",17.9
"39","2018-01-16",17.77
"40","2018-01-17",18
"41","2018-01-18",18.120001
"42","2018-01-19",19.1
"43","2018-01-22",19.66
"44","2018-01-23",19.299999
"45","2018-01-24",19.48
"46","2018-01-25",19.629999
"47","2018-01-26",19.469999
"48","2018-01-29",19.23
"49","2018-01-30",19.01
"50","2018-01-31",18.99
"51","2018-02-01",18.120001
"52","2018-02-02",17.9
"53","2018-02-05",17.26
"54","2018-02-06",17.42
"55","2018-02-07",17.48
"56","2018-02-08",17.23
"57","2018-02-09",17.1
"58","2018-02-12",17.68
"59","2018-02-13",17.950001
"60","2018-02-14",17.43
"61","2018-02-15",18.5
"62","2018-02-16",18.57
"63","2018-02-20",19.139999
"64","2018-02-21",18.75
"65","2018-02-22",18.26
"66","2018-02-23",19.389999
"67","2018-02-26",19.110001
"68","2018-02-27",19.18
"69","2018-02-28",19.34
"70","2018-03-01",19.92
"71","2018-03-02",19.25
"72","2018-03-05",18.51
"73","2018-03-06",19.24
"74","2018-03-07",19.709999
"75","2018-03-08",19.719999
"76","2018-03-09",20
"77","2018-03-12",20.34
"78","2018-03-13",20.1
"79","2018-03-14",20.190001
"80","2018-03-15",20.540001
"81","2018-03-16",21.16
"82","2018-03-19",21.959999
"83","2018-03-20",22.16
"84","2018-03-21",21.75
"85","2018-03-22",21.42
"86","2018-03-23",21.35
"87","2018-03-26",21.82
"88","2018-03-27",21.370001
"89","2018-03-28",21.450001
"90","2018-03-29",21.17
"91","2018-04-02",21.16
"92","2018-04-03",21.450001
"93","2018-04-04",21.639999
"94","2018-04-05",21.9
"95","2018-04-06",21.98
"96","2018-04-09",22.059999
"97","2018-04-10",22.280001
"98","2018-04-11",22.01
"99","2018-04-12",22.16
"100","2018-04-13",21.629999
"101","2018-04-16",22.549999
"102","2018-04-17",22.280001
"103","2018-04-18",22.83
"104","2018-04-19",23.18
"105","2018-04-20",23.469999
"106","2018-04-23",24.040001
"107","2018-04-24",23.940001
"108","2018-04-25",23.459999
"109","2018-04-26",23.59
"110","2018-04-27",23.059999
"111","2018-04-30",23.27
"112","2018-05-01",22.59
"113","2018-05-02",22.459999
"114","2018-05-03",22.68
"115","2018-05-04",21.08
"116","2018-05-07",21.49
"117","2018-05-08",20.02
"118","2018-05-09",20.299999
"119","2018-05-10",20.42
"120","2018-05-11",20.290001
"121","2018-05-14",20.16
"122","2018-05-15",19.469999
"123","2018-05-16",19.629999
"124","2018-05-17",19.959999
"125","2018-05-18",19.940001
"126","2018-05-21",20.25
"127","2018-05-22",20.280001
"128","2018-05-23",20.34
"129","2018-05-24",20.4
"130","2018-05-25",20.75
"131","2018-05-29",20.74
"132","2018-05-30",20.98
"133","2018-05-31",20.1
"134","2018-06-01",21.1
"135","2018-06-04",21.049999
"136","2018-06-05",21.219999
"137","2018-06-06",21.42
"138","2018-06-07",21.200001
"139","2018-06-08",21.5
"140","2018-06-11",21.5
"141","2018-06-12",21.85
"142","2018-06-13",22.209999
"143","2018-06-14",22.43
"144","2018-06-15",22.4
"145","2018-06-18",22.77
"146","2018-06-19",23
"147","2018-06-20",23.25
"148","2018-06-21",22.77
"149","2018-06-22",23.700001
"150","2018-06-25",25.030001
"151","2018-06-26",23.299999
"152","2018-06-27",24.01
"153","2018-06-28",23.950001
"154","2018-06-29",23.799999
"155","2018-07-02",24.57
"156","2018-07-03",25.07
"157","2018-07-05",25.110001
"158","2018-07-06",24.98
"159","2018-07-09",24.799999
"160","2018-07-10",24.52
"161","2018-07-11",24.73
"162","2018-07-12",24.65
"163","2018-07-13",24.6
"164","2018-07-16",24.23
"165","2018-07-17",24.549999
"166","2018-07-18",24.75
"167","2018-07-19",24.6
"168","2018-07-20",24.799999
"169","2018-07-23",24.940001
"170","2018-07-24",24.790001
"171","2018-07-25",25
"172","2018-07-26",25.41
"173","2018-07-27",25.25
"174","2018-07-30",24.700001
"175","2018-07-31",25.709999
"176","2018-08-01",25.309999
"177","2018-08-02",25.57
"178","2018-08-03",22.25
"179","2018-08-06",20.709999
"180","2018-08-07",19.309999
"181","2018-08-08",19.35
"182","2018-08-09",19.309999
"183","2018-08-10",19.09
"184","2018-08-13",19.43
"185","2018-08-14",20.15
"186","2018-08-15",20.959999
"187","2018-08-16",20.59
"188","2018-08-17",20.15
"189","2018-08-20",20.42
"190","2018-08-21",19.66
"191","2018-08-22",19.559999
"192","2018-08-23",19.459999
"193","2018-08-24",19.459999
"194","2018-08-27",19.299999
"195","2018-08-28",19.549999
"196","2018-08-29",19.299999
"197","2018-08-30",19.280001
"198","2018-08-31",18.68
