"","date","NGG"
"1","2007-01-03",78.853714
"2","2007-01-04",78.220528
"3","2007-01-05",75.927948
"4","2007-01-08",76.179039
"5","2007-01-09",76.255455
"6","2007-01-10",75.927948
"7","2007-01-11",77.456329
"8","2007-01-12",78.810043
"9","2007-01-16",78.679039
"10","2007-01-17",79.672485
"11","2007-01-18",79.508736
"12","2007-01-19",79.574234
"13","2007-01-22",79.836243
"14","2007-01-23",80.141922
"15","2007-01-24",81.135368
"16","2007-01-25",80.021835
"17","2007-01-26",80.534935
"18","2007-01-29",81.244545
"19","2007-01-30",82.456329
"20","2007-01-31",82.543671
"21","2007-02-01",83.56987
"22","2007-02-02",83.362442
"23","2007-02-05",82.925766
"24","2007-02-06",84.115723
"25","2007-02-07",84.475983
"26","2007-02-08",84.410477
"27","2007-02-09",84.334061
"28","2007-02-12",84.716156
"29","2007-02-13",84.4869
"30","2007-02-14",85.436684
"31","2007-02-15",85.065506
"32","2007-02-16",84.44323
"33","2007-02-20",83.93013
"34","2007-02-21",82.969429
"35","2007-02-22",84.301308
"36","2007-02-23",84.072052
"37","2007-02-26",84.868996
"38","2007-02-27",82.336243
"39","2007-02-28",81.965065
"40","2007-03-01",80.633186
"41","2007-03-02",80.043671
"42","2007-03-05",78.406113
"43","2007-03-06",79.770744
"44","2007-03-07",80.218338
"45","2007-03-08",81.233627
"46","2007-03-09",81.441048
"47","2007-03-12",81.299126
"48","2007-03-13",80.065506
"49","2007-03-14",80.15284
"50","2007-03-15",80.109169
"51","2007-03-16",80.796944
"52","2007-03-19",81.801308
"53","2007-03-20",83.318779
"54","2007-03-21",85.120087
"55","2007-03-22",84.028381
"56","2007-03-23",83.886459
"57","2007-03-26",83.941048
"58","2007-03-27",84.08297
"59","2007-03-28",84.519653
"60","2007-03-29",84.759827
"61","2007-03-30",86.037117
"62","2007-04-02",86.768562
"63","2007-04-03",88.155022
"64","2007-04-04",86.866814
"65","2007-04-05",87.740173
"66","2007-04-09",87.445412
"67","2007-04-10",87.947601
"68","2007-04-11",88.0131
"69","2007-04-12",87.554588
"70","2007-04-13",87.194321
"71","2007-04-16",87.314407
"72","2007-04-17",86.462883
"73","2007-04-18",86.266373
"74","2007-04-19",86.080788
"75","2007-04-20",86.189957
"76","2007-04-23",86.288208
"77","2007-04-24",86.004364
"78","2007-04-25",86.266373
"79","2007-04-26",85.371178
"80","2007-04-27",85.425766
"81","2007-04-30",85.993446
"82","2007-05-01",84.770744
"83","2007-05-02",84.552399
"84","2007-05-03",85.316597
"85","2007-05-04",85.524017
"86","2007-05-07",86.091705
"87","2007-05-08",84.44323
"88","2007-05-09",84.705238
"89","2007-05-10",82.685593
"90","2007-05-11",83.427948
"91","2007-05-14",83.733627
"92","2007-05-15",83.362442
"93","2007-05-16",83.602623
"94","2007-05-17",81.9869
"95","2007-05-18",83.002182
"96","2007-05-21",83.0131
"97","2007-05-22",83.395195
"98","2007-05-23",83.919212
"99","2007-05-24",84.203056
"100","2007-05-25",84.137558
"101","2007-05-29",83.646286
"102","2007-05-30",84.716156
"103","2007-05-31",84.890831
"104","2007-06-01",85.436684
"105","2007-06-04",84.967247
