"","date","SAVE"
"1","2011-05-26",11.55
"2","2011-05-27",11.48
"3","2011-05-31",11.8
"4","2011-06-01",11.59
"5","2011-06-02",11.9
"6","2011-06-03",11.96
"7","2011-06-06",11.99
"8","2011-06-07",12.02
"9","2011-06-08",12.09
"10","2011-06-09",12.17
"11","2011-06-10",12.04
"12","2011-06-13",12.03
"13","2011-06-14",12
"14","2011-06-15",12
"15","2011-06-16",11.89
"16","2011-06-17",11.9
"17","2011-06-20",12
"18","2011-06-21",12.05
"19","2011-06-22",12.03
"20","2011-06-23",12.05
"21","2011-06-24",12
"22","2011-06-27",12
"23","2011-06-28",12.3
"24","2011-06-29",12.26
"25","2011-06-30",11.99
"26","2011-07-01",12.4
"27","2011-07-05",12.15
"28","2011-07-06",13.17
"29","2011-07-07",12.9
"30","2011-07-08",13.71
"31","2011-07-11",13.41
"32","2011-07-12",13.54
"33","2011-07-13",14.09
"34","2011-07-14",14.29
"35","2011-07-15",14.23
"36","2011-07-18",13.66
"37","2011-07-19",14
"38","2011-07-20",13.39
"39","2011-07-21",13.8
"40","2011-07-22",13.52
"41","2011-07-25",13.14
"42","2011-07-26",12.77
"43","2011-07-27",12.64
"44","2011-07-28",13.24
"45","2011-07-29",13.1
"46","2011-08-01",13.03
"47","2011-08-02",12.94
"48","2011-08-03",13.24
"49","2011-08-04",12.61
"50","2011-08-05",12.61
"51","2011-08-08",11.31
"52","2011-08-09",11.61
"53","2011-08-10",10.98
"54","2011-08-11",11.92
"55","2011-08-12",11.62
"56","2011-08-15",12.09
"57","2011-08-16",12.13
"58","2011-08-17",12.11
"59","2011-08-18",11.01
"60","2011-08-19",10.55
"61","2011-08-22",10.44
"62","2011-08-23",11.64
"63","2011-08-24",11.91
"64","2011-08-25",11.57
"65","2011-08-26",12.14
"66","2011-08-29",12.44
"67","2011-08-30",12.07
"68","2011-08-31",12.08
"69","2011-09-01",11.95
"70","2011-09-02",11.74
"71","2011-09-06",11.67
"72","2011-09-07",11.88
"73","2011-09-08",11.49
"74","2011-09-09",11.37
"75","2011-09-12",11.16
"76","2011-09-13",11.46
"77","2011-09-14",12.41
"78","2011-09-15",12.77
"79","2011-09-16",12.77
"80","2011-09-19",12.55
"81","2011-09-20",11.95
"82","2011-09-21",11.57
"83","2011-09-22",11.24
"84","2011-09-23",11.63
"85","2011-09-26",11.88
"86","2011-09-27",12.2
"87","2011-09-28",12.13
"88","2011-09-29",12.73
"89","2011-09-30",12.5
"90","2011-10-03",11.7
"91","2011-10-04",12.43
"92","2011-10-05",12.73
"93","2011-10-06",13.14
"94","2011-10-07",13.1
"95","2011-10-10",13.43
"96","2011-10-11",13.71
"97","2011-10-12",14.52
"98","2011-10-13",15.9
"99","2011-10-14",15.63
"100","2011-10-17",14.82
"101","2011-10-18",14.91
"102","2011-10-19",14.49
"103","2011-10-20",14.19
"104","2011-10-21",14.93
"105","2011-10-24",15.87
"106","2011-10-25",15.03
"107","2011-10-26",15.21
"108","2011-10-27",16.209999
"109","2011-10-28",16.51
"110","2011-10-31",16.459999
"111","2011-11-01",15.37
"112","2011-11-02",15.73
"113","2011-11-03",16.41
"114","2011-11-04",16.200001
"115","2011-11-07",16.459999
"116","2011-11-08",16.4
"117","2011-11-09",15.45
"118","2011-11-10",15.71
"119","2011-11-11",16.190001
"120","2011-11-14",16.91
"121","2011-11-15",16.74
"122","2011-11-16",16.58
"123","2011-11-17",16.030001
"124","2011-11-18",15.95
"125","2011-11-21",16.49
"126","2011-11-22",16.540001
"127","2011-11-23",16.360001
"128","2011-11-25",16.309999
"129","2011-11-28",17.030001
"130","2011-11-29",16.110001
"131","2011-11-30",16.129999
"132","2011-12-01",16.030001
"133","2011-12-02",16.200001
"134","2011-12-05",16.18
"135","2011-12-06",15.37
"136","2011-12-07",16
"137","2011-12-08",15.66
"138","2011-12-09",15.81
"139","2011-12-12",15.79
"140","2011-12-13",15.24
"141","2011-12-14",15.45
"142","2011-12-15",15.57
"143","2011-12-16",15.33
"144","2011-12-19",15.25
"145","2011-12-20",15.44
"146","2011-12-21",15.52
"147","2011-12-22",15.78
"148","2011-12-23",15.69
"149","2011-12-27",15.69
"150","2011-12-28",15.28
"151","2011-12-29",15.38
"152","2011-12-30",15.6
"153","2012-01-03",15.07
"154","2012-01-04",14.62
"155","2012-01-05",14.46
"156","2012-01-06",14.58
"157","2012-01-09",14.93
"158","2012-01-10",14.99
"159","2012-01-11",15.49
"160","2012-01-12",15.16
"161","2012-01-13",15.02
"162","2012-01-17",14.19
"163","2012-01-18",14.48
