"","date","FOX"
"1","2019-03-13",39.200001
"2","2019-03-14",39.959999
"3","2019-03-15",41.02
"4","2019-03-18",40.860001
"5","2019-03-19",39.549999
"6","2019-03-20",37.599998
"7","2019-03-21",38.880001
"8","2019-03-22",37.459999
"9","2019-03-25",36.450001
"10","2019-03-26",36.709999
"11","2019-03-27",36.200001
"12","2019-03-28",35.669998
"13","2019-03-29",35.880001
"14","2019-04-01",36.150002
"15","2019-04-02",35.700001
"16","2019-04-03",35.5
"17","2019-04-04",36.029999
"18","2019-04-05",36.98
"19","2019-04-08",36.849998
"20","2019-04-09",36.889999
"21","2019-04-10",35.93
"22","2019-04-11",36.41
"23","2019-04-12",36.950001
"24","2019-04-15",36.98
"25","2019-04-16",37.209999
"26","2019-04-17",38.209999
"27","2019-04-18",37.919998
"28","2019-04-22",37.240002
"29","2019-04-23",37.599998
"30","2019-04-24",37.450001
"31","2019-04-25",37.639999
"32","2019-04-26",37.91
"33","2019-04-29",38.73
"34","2019-04-30",38.5
"35","2019-05-01",38.740002
"36","2019-05-02",36.84
"37","2019-05-03",37.02
"38","2019-05-06",37.310001
"39","2019-05-07",36.700001
"40","2019-05-08",36.82
"41","2019-05-09",37.970001
"42","2019-05-10",38.049999
"43","2019-05-13",37.5
"44","2019-05-14",37.48
"45","2019-05-15",37.23
"46","2019-05-16",36.32
"47","2019-05-17",36.830002
"48","2019-05-20",36.68
"49","2019-05-21",37.18
"50","2019-05-22",36.669998
"51","2019-05-23",36.509998
"52","2019-05-24",36.450001
"53","2019-05-28",36.16
"54","2019-05-29",35.299999
"55","2019-05-30",34.810001
"56","2019-05-31",34.709999
"57","2019-06-03",33.779999
"58","2019-06-04",34.09
"59","2019-06-05",34.02
"60","2019-06-06",33.740002
"61","2019-06-07",33.68
"62","2019-06-10",33.740002
"63","2019-06-11",33.830002
"64","2019-06-12",34.700001
"65","2019-06-13",34.939999
"66","2019-06-14",34.959999
"67","2019-06-17",35.799999
"68","2019-06-18",35.830002
"69","2019-06-19",35.740002
"70","2019-06-20",35.349998
"71","2019-06-21",35.880001
"72","2019-06-24",35.540001
"73","2019-06-25",35.189999
"74","2019-06-26",35.310001
"75","2019-06-27",35.75
"76","2019-06-28",36.529999
"77","2019-07-01",35.959999
"78","2019-07-02",36.529999
"79","2019-07-03",36.349998
"80","2019-07-05",36.560001
"81","2019-07-08",36.130001
"82","2019-07-09",36.009998
"83","2019-07-10",36.139999
"84","2019-07-11",36.310001
"85","2019-07-12",36.959999
"86","2019-07-15",37.040001
"87","2019-07-16",36.689999
"88","2019-07-17",36.169998
"89","2019-07-18",36.610001
"90","2019-07-19",36.450001
"91","2019-07-22",36.32
"92","2019-07-23",36.509998
"93","2019-07-24",36.889999
"94","2019-07-25",37.43
"95","2019-07-26",37.490002
"96","2019-07-29",37.689999
"97","2019-07-30",37.849998
"98","2019-07-31",37.200001
"99","2019-08-01",36.84
"100","2019-08-02",36.560001
"101","2019-08-05",36
"102","2019-08-06",36.400002
"103","2019-08-07",36.790001
"104","2019-08-08",35
"105","2019-08-09",35.369999
"106","2019-08-12",34.810001
"107","2019-08-13",35
"108","2019-08-14",33.66
"109","2019-08-15",32.810001
"110","2019-08-16",33.009998
"111","2019-08-19",33.599998
"112","2019-08-20",33.360001
"113","2019-08-21",33.150002
