"","date","SONO"
"1","2018-08-02",19.91
"2","2018-08-03",20.950001
"3","2018-08-06",19.35
"4","2018-08-07",19.15
"5","2018-08-08",18.139999
"6","2018-08-09",16.690001
"7","2018-08-10",18.49
"8","2018-08-13",17.18
"9","2018-08-14",16.860001
"10","2018-08-15",17.629999
"11","2018-08-16",17.35
"12","2018-08-17",18.450001
"13","2018-08-20",19.42
"14","2018-08-21",20.08
"15","2018-08-22",21.690001
"16","2018-08-23",20.83
"17","2018-08-24",20.209999
"18","2018-08-27",18.92
"19","2018-08-28",20.17
"20","2018-08-29",19.219999
"21","2018-08-30",18.879999
"22","2018-08-31",19.26
"23","2018-09-04",19.190001
"24","2018-09-05",18.98
"25","2018-09-06",18.209999
"26","2018-09-07",18.75
"27","2018-09-10",21.24
"28","2018-09-11",16.559999
"29","2018-09-12",17.16
"30","2018-09-13",16.719999
"31","2018-09-14",16.65
"32","2018-09-17",15.2
"33","2018-09-18",14.13
"34","2018-09-19",14.37
"35","2018-09-20",13.92
"36","2018-09-21",13.24
"37","2018-09-24",14.06
"38","2018-09-25",13.36
"39","2018-09-26",14.32
"40","2018-09-27",14.41
"41","2018-09-28",16.040001
"42","2018-10-01",14.73
"43","2018-10-02",14.22
"44","2018-10-03",14.69
"45","2018-10-04",14.52
"46","2018-10-05",14.35
"47","2018-10-08",14.31
"48","2018-10-09",13.6
"49","2018-10-10",13.35
"50","2018-10-11",13.17
"51","2018-10-12",12.57
"52","2018-10-15",12.65
"53","2018-10-16",13.22
"54","2018-10-17",12.99
"55","2018-10-18",12.68
"56","2018-10-19",12.15
"57","2018-10-22",12.36
"58","2018-10-23",12.95
"59","2018-10-24",12.22
"60","2018-10-25",12.53
"61","2018-10-26",12.08
"62","2018-10-29",12.03
"63","2018-10-30",12.11
"64","2018-10-31",12.71
"65","2018-11-01",13.66
"66","2018-11-02",13.2
"67","2018-11-05",12.59
"68","2018-11-06",13.28
"69","2018-11-07",13.6
"70","2018-11-08",14.08
"71","2018-11-09",14.31
"72","2018-11-12",13.73
"73","2018-11-13",13.55
"74","2018-11-14",13.93
"75","2018-11-15",14.16
"76","2018-11-16",15.44
"77","2018-11-19",13.71
"78","2018-11-20",13.32
"79","2018-11-21",12.62
"80","2018-11-23",12.14
"81","2018-11-26",11.61
"82","2018-11-27",11.48
"83","2018-11-28",11.97
"84","2018-11-29",12
"85","2018-11-30",12.28
"86","2018-12-03",12.34
"87","2018-12-04",12.08
"88","2018-12-06",12.6
"89","2018-12-07",12.51
"90","2018-12-10",12.61
"91","2018-12-11",12.13
"92","2018-12-12",12.34
"93","2018-12-13",12.06
"94","2018-12-14",11.39
"95","2018-12-17",10.74
"96","2018-12-18",10.53
"97","2018-12-19",10.44
"98","2018-12-20",10.16
"99","2018-12-21",9.58
"100","2018-12-24",9.66
"101","2018-12-26",10.12
"102","2018-12-27",10.13
"103","2018-12-28",9.69
"104","2018-12-31",9.82
"105","2019-01-02",10.42
"106","2019-01-03",10.09
"107","2019-01-04",10.57
"108","2019-01-07",10.75
"109","2019-01-08",10.84
"110","2019-01-09",10.92
"111","2019-01-10",10.66
"112","2019-01-11",11.03
"113","2019-01-14",11.33
"114","2019-01-15",11.4
"115","2019-01-16",11.51
"116","2019-01-17",11.75
"117","2019-01-18",11.72
"118","2019-01-22",11.13
"119","2019-01-23",11.04
"120","2019-01-24",10.86
"121","2019-01-25",10.98
"122","2019-01-28",10.99
"123","2019-01-29",11.2
"124","2019-01-30",11.57
"125","2019-01-31",11.87
"126","2019-02-01",12.17
"127","2019-02-04",13.05
"128","2019-02-05",13.17
"129","2019-02-06",12.37
"130","2019-02-07",10.92
"131","2019-02-08",10.7
"132","2019-02-11",11
"133","2019-02-12",11.22
"134","2019-02-13",11.29
"135","2019-02-14",11.12
"136","2019-02-15",11.51
"137","2019-02-19",11.44
"138","2019-02-20",11.35
"139","2019-02-21",11.14
"140","2019-02-22",11.17
"141","2019-02-25",11.19
"142","2019-02-26",10.85
"143","2019-02-27",10.69
"144","2019-02-28",10.33
"145","2019-03-01",10.54
"146","2019-03-04",10.57
"147","2019-03-05",10.47
"148","2019-03-06",10.22
"149","2019-03-07",9.85
"150","2019-03-08",9.98
"151","2019-03-11",10.1
"152","2019-03-12",10.15
"153","2019-03-13",10.11
"154","2019-03-14",9.92
"155","2019-03-15",10.02
"156","2019-03-18",10.2
"157","2019-03-19",10.05
"158","2019-03-20",10
"159","2019-03-21",10.08
"160","2019-03-22",9.85
"161","2019-03-25",9.78
"162","2019-03-26",9.84
"163","2019-03-27",9.87
"164","2019-03-28",10.18
"165","2019-03-29",10.29
"166","2019-04-01",10.54
"167","2019-04-02",11.12
"168","2019-04-03",10.97
"169","2019-04-04",11.25
"170","2019-04-05",11.09
"171","2019-04-08",11.24
"172","2019-04-09",11.34
"173","2019-04-10",11.76
"174","2019-04-11",11.69
"175","2019-04-12",11.93
"176","2019-04-15",11.96
"177","2019-04-16",11.74
"178","2019-04-17",11.74
"179","2019-04-18",11.83
"180","2019-04-22",11.41
"181","2019-04-23",11.25
"182","2019-04-24",10.99
"183","2019-04-25",10.7
"184","2019-04-26",10.71
"185","2019-04-29",11.05
"186","2019-04-30",10.92
"187","2019-05-01",10.65
"188","2019-05-02",10.95
"189","2019-05-03",11.26
"190","2019-05-06",11.25
"191","2019-05-07",10.86
"192","2019-05-08",10.4
"193","2019-05-09",10.26
"194","2019-05-10",10.82
"195","2019-05-13",10.32
"196","2019-05-14",10.59
"197","2019-05-15",10.46
"198","2019-05-16",10.73
"199","2019-05-17",10.52
"200","2019-05-20",10.46
