"","date","CARA"
"1","2014-01-31",12.91
"2","2014-02-03",12.63
"3","2014-02-04",11.74
"4","2014-02-05",10.6
"5","2014-02-06",11.67
"6","2014-02-07",11.84
"7","2014-02-10",13.68
"8","2014-02-11",13.15
"9","2014-02-12",13.39
"10","2014-02-13",13.49
"11","2014-02-14",13.24
"12","2014-02-18",13.86
"13","2014-02-19",13.26
"14","2014-02-20",13.91
"15","2014-02-21",15
"16","2014-02-24",14.48
"17","2014-02-25",14.9
"18","2014-02-26",15.45
"19","2014-02-27",17.360001
"20","2014-02-28",18.879999
"21","2014-03-03",21.280001
"22","2014-03-04",21.860001
"23","2014-03-05",22.49
"24","2014-03-06",21.190001
"25","2014-03-07",20
"26","2014-03-10",20.17
"27","2014-03-11",20.07
"28","2014-03-12",20
"29","2014-03-13",18.43
"30","2014-03-14",17.26
"31","2014-03-17",18.5
"32","2014-03-18",19.950001
"33","2014-03-19",19.049999
"34","2014-03-20",18.129999
"35","2014-03-21",17.15
"36","2014-03-24",16.52
"37","2014-03-25",16.889999
"38","2014-03-26",16.969999
"39","2014-03-27",17.309999
"40","2014-03-28",16.52
"41","2014-03-31",18.610001
"42","2014-04-01",19.25
"43","2014-04-02",19.969999
"44","2014-04-03",18.77
"45","2014-04-04",18.5
"46","2014-04-07",17.6
"47","2014-04-08",18.290001
"48","2014-04-09",18.299999
"49","2014-04-10",17.08
"50","2014-04-11",15.48
"51","2014-04-14",15.48
"52","2014-04-15",13.82
"53","2014-04-16",13.64
"54","2014-04-17",13.38
"55","2014-04-21",14.93
"56","2014-04-22",16.719999
"57","2014-04-23",15.35
"58","2014-04-24",14.2
"59","2014-04-25",13.81
"60","2014-04-28",13.37
"61","2014-04-29",14.32
"62","2014-04-30",14.39
"63","2014-05-01",14.35
"64","2014-05-02",13.88
"65","2014-05-05",14.53
"66","2014-05-06",14.48
"67","2014-05-07",13.74
"68","2014-05-08",13.63
"69","2014-05-09",13.88
"70","2014-05-12",13.64
"71","2014-05-13",13.64
"72","2014-05-14",13.65
"73","2014-05-15",13.87
"74","2014-05-16",14.03
"75","2014-05-19",14.02
"76","2014-05-20",13.84
"77","2014-05-21",13.71
"78","2014-05-22",13.65
"79","2014-05-23",14.12
"80","2014-05-27",14.1
"81","2014-05-28",14.32
"82","2014-05-29",14.09
"83","2014-05-30",13.78
"84","2014-06-02",13.91
"85","2014-06-03",13.83
"86","2014-06-04",13.62
"87","2014-06-05",13.9
"88","2014-06-06",13.86
"89","2014-06-09",13.94
"90","2014-06-10",13.87
"91","2014-06-11",14.07
"92","2014-06-12",14.39
"93","2014-06-13",14.26
"94","2014-06-16",14.06
"95","2014-06-17",14.01
"96","2014-06-18",14.01
"97","2014-06-19",14.64
"98","2014-06-20",17.51
"99","2014-06-23",17.200001
"100","2014-06-24",16.76
"101","2014-06-25",16.360001
"102","2014-06-26",15.93
"103","2014-06-27",15.57
"104","2014-06-30",17.02
"105","2014-07-01",17.120001
"106","2014-07-02",17.01
"107","2014-07-03",16.940001
"108","2014-07-07",15.83
"109","2014-07-08",14.34
"110","2014-07-09",14.39
"111","2014-07-10",14
"112","2014-07-11",13.48
"113","2014-07-14",13.06
"114","2014-07-15",13.28
"115","2014-07-16",13.16
"116","2014-07-17",13.06
"117","2014-07-18",13.51
"118","2014-07-21",13.5
"119","2014-07-22",13.48
"120","2014-07-23",13.6
"121","2014-07-24",13.41
"122","2014-07-25",13.67
"123","2014-07-28",13.52
"124","2014-07-29",13.72
"125","2014-07-30",12.57
"126","2014-07-31",12.75
"127","2014-08-01",11.91
"128","2014-08-04",11.5
"129","2014-08-05",11.74
