"","date","AAME"
"1","2007-01-03",3.05
"2","2007-01-04",3.11
"3","2007-01-05",3.42
"4","2007-01-08",3.59
"5","2007-01-09",3.63
"6","2007-01-10",3.71
"7","2007-01-11",3.18
"8","2007-01-12",3.41
"9","2007-01-16",3.33
"10","2007-01-17",3.43
"11","2007-01-18",3.43
"12","2007-01-19",3.29
"13","2007-01-22",3.31
"14","2007-01-23",3.33
"15","2007-01-24",3.41
"16","2007-01-25",3.35
"17","2007-01-26",3.3
"18","2007-01-29",3.33
"19","2007-01-30",3.32
"20","2007-01-31",3.32
"21","2007-02-01",3.4
"22","2007-02-02",3.35
"23","2007-02-05",3.4
"24","2007-02-06",3.4
"25","2007-02-07",3.48
"26","2007-02-08",3.4
"27","2007-02-09",3.55
"28","2007-02-12",3.7
"29","2007-02-13",3.72
"30","2007-02-14",3.8
"31","2007-02-15",3.81
"32","2007-02-16",3.88
"33","2007-02-20",3.86
"34","2007-02-21",3.9
"35","2007-02-22",3.81
"36","2007-02-23",3.96
"37","2007-02-26",3.6
"38","2007-02-27",3.44
"39","2007-02-28",3.36
"40","2007-03-01",3.37
"41","2007-03-02",3.45
"42","2007-03-05",3.29
"43","2007-03-06",3.31
"44","2007-03-07",3.5
"45","2007-03-08",3.55
"46","2007-03-09",3.56
"47","2007-03-12",3.28
"48","2007-03-13",3.49
"49","2007-03-14",3.69
"50","2007-03-15",3.69
"51","2007-03-16",3.68
"52","2007-03-19",3.94
"53","2007-03-20",3.96
"54","2007-03-21",4
"55","2007-03-22",3.93
"56","2007-03-23",3.97
"57","2007-03-26",3.94
"58","2007-03-27",3.94
"59","2007-03-28",3.93
"60","2007-03-29",3.98
"61","2007-03-30",4
"62","2007-04-02",4.13
"63","2007-04-03",4.24
"64","2007-04-04",4.21
"65","2007-04-05",4.04
"66","2007-04-09",4.24
"67","2007-04-10",4.08
"68","2007-04-11",4.23
"69","2007-04-12",4.08
"70","2007-04-13",4.05
"71","2007-04-16",4.21
"72","2007-04-17",4.22
"73","2007-04-18",4.45
"74","2007-04-19",4.5
"75","2007-04-20",4.79
"76","2007-04-23",5.35
"77","2007-04-24",5.13
"78","2007-04-25",5.32
"79","2007-04-26",5.02
"80","2007-04-27",5.23
"81","2007-04-30",5.32
"82","2007-05-01",5.19
"83","2007-05-02",5.21
"84","2007-05-03",5.3
"85","2007-05-04",5.25
"86","2007-05-07",5.14
"87","2007-05-08",5.31
"88","2007-05-09",5.14
"89","2007-05-10",5.14
"90","2007-05-11",5.2
"91","2007-05-14",5.03
"92","2007-05-15",4.96
"93","2007-05-16",4.95
"94","2007-05-17",5.03
"95","2007-05-18",4.97
"96","2007-05-21",5.05
"97","2007-05-22",5.19
"98","2007-05-23",5.14
"99","2007-05-24",5.14
"100","2007-05-25",5.08
"101","2007-05-29",5.11
"102","2007-05-30",5.15
"103","2007-05-31",4.9
"104","2007-06-01",4.99
"105","2007-06-04",4.96
"106","2007-06-05",4.73
"107","2007-06-06",4.75
"108","2007-06-07",4.7
"109","2007-06-08",4.5
"110","2007-06-11",4.4
"111","2007-06-12",4.32
"112","2007-06-13",4.24
"113","2007-06-14",4.16
"114","2007-06-15",4.05
"115","2007-06-18",3.97
"116","2007-06-19",3.99
"117","2007-06-20",4.12
"118","2007-06-21",4.15
"119","2007-06-22",4
"120","2007-06-25",4.02
"121","2007-06-26",3.96
"122","2007-06-27",4
"123","2007-06-28",3.94
"124","2007-06-29",4.05
"125","2007-07-02",3.97
"126","2007-07-03",3.95
"127","2007-07-05",3.89
"128","2007-07-06",3.94
"129","2007-07-09",3.97
"130","2007-07-10",4.04
"131","2007-07-11",4.09
"132","2007-07-12",4.07
"133","2007-07-13",4.02
"134","2007-07-16",4.04
"135","2007-07-17",4.02
"136","2007-07-18",3.93
"137","2007-07-19",3.9
"138","2007-07-20",3.79
"139","2007-07-23",3.81
"140","2007-07-24",3.81
"141","2007-07-25",3.81
"142","2007-07-26",3.57
"143","2007-07-27",3.3
"144","2007-07-30",3.24
"145","2007-07-31",3.19
"146","2007-08-01",3.24
"147","2007-08-02",3.21
"148","2007-08-03",3.18
"149","2007-08-06",2.73
"150","2007-08-07",2.66
"151","2007-08-08",3.14
"152","2007-08-09",3.21
"153","2007-08-10",3.05
"154","2007-08-13",3.19
"155","2007-08-14",3.06
"156","2007-08-15",3.14
"157","2007-08-16",3.19
"158","2007-08-17",3.17
"159","2007-08-20",3.15
"160","2007-08-21",2.94
"161","2007-08-22",2.76
"162","2007-08-23",2.93
"163","2007-08-24",3.06
"164","2007-08-27",2.9
"165","2007-08-28",2.9
"166","2007-08-29",2.85
"167","2007-08-30",3.04
"168","2007-08-31",3.02
"169","2007-09-04",2.82
"170","2007-09-05",2.99
"171","2007-09-06",3.25
"172","2007-09-07",3.15
"173","2007-09-10",3.19
"174","2007-09-11",2.87
"175","2007-09-12",3
"176","2007-09-13",2.99
"177","2007-09-14",2.99
"178","2007-09-17",2.89
"179","2007-09-18",2.88
"180","2007-09-19",2.84
"181","2007-09-20",2.84
"182","2007-09-21",2.61
"183","2007-09-24",2.64
"184","2007-09-25",2.63
"185","2007-09-26",2.64
"186","2007-09-27",2.72
"187","2007-09-28",2.7
"188","2007-10-01",2.62
"189","2007-10-02",2.74
"190","2007-10-03",2.7
"191","2007-10-04",2.59
"192","2007-10-05",2.63
"193","2007-10-08",2.69
"194","2007-10-09",2.68
"195","2007-10-10",2.69
"196","2007-10-11",2.5
"197","2007-10-12",2.51
"198","2007-10-15",2.53
"199","2007-10-16",2.56
"200","2007-10-17",2.57
"201","2007-10-18",2.62
"202","2007-10-19",2.45
"203","2007-10-22",2.42
"204","2007-10-23",2.44
"205","2007-10-24",2.44
"206","2007-10-25",2.43
"207","2007-10-26",2.41
"208","2007-10-29",2.3
"209","2007-10-30",2.19
"210","2007-10-31",2.16
"211","2007-11-01",2.24
"212","2007-11-02",2.23
"213","2007-11-05",2.2
"214","2007-11-06",2.27
"215","2007-11-07",2.3
"216","2007-11-08",2.29
"217","2007-11-09",2.29
"218","2007-11-12",2.19
"219","2007-11-13",1.96
"220","2007-11-14",2.19
"221","2007-11-15",2.15
"222","2007-11-16",2.23
"223","2007-11-19",2.12
"224","2007-11-20",2.02
"225","2007-11-21",1.72
"226","2007-11-23",1.72
"227","2007-11-26",1.72
"228","2007-11-27",1.67
"229","2007-11-28",1.75
"230","2007-11-29",1.74
"231","2007-11-30",1.75
"232","2007-12-03",1.79
"233","2007-12-04",1.91
"234","2007-12-05",1.8
"235","2007-12-06",1.81
"236","2007-12-07",1.69
"237","2007-12-10",1.79
"238","2007-12-11",1.5
"239","2007-12-12",1.5
"240","2007-12-13",1.53
"241","2007-12-14",1.56
"242","2007-12-17",1.53
"243","2007-12-18",1.45
"244","2007-12-19",1.43
"245","2007-12-20",1.26
"246","2007-12-21",1.39
"247","2007-12-24",1.42
"248","2007-12-26",1.39
"249","2007-12-27",1.48
"250","2007-12-28",1.44
"251","2007-12-31",1.4
"252","2008-01-02",1.57
"253","2008-01-03",1.51
"254","2008-01-04",1.57
"255","2008-01-07",1.51
