"","date","BE"
"1","2018-07-25",25
"2","2018-07-26",21.01
"3","2018-07-27",22.6
"4","2018-07-30",23.85
"5","2018-07-31",23.049999
"6","2018-08-01",23.5
"7","2018-08-02",24.5
"8","2018-08-03",26.799999
"9","2018-08-06",27.940001
"10","2018-08-07",27.450001
"11","2018-08-08",28.15
"12","2018-08-09",26.719999
"13","2018-08-10",27.65
"14","2018-08-13",24.76
"15","2018-08-14",25.51
"16","2018-08-15",22.91
"17","2018-08-16",23.129999
"18","2018-08-17",22.200001
"19","2018-08-20",22.42
"20","2018-08-21",25.27
"21","2018-08-22",27
"22","2018-08-23",29.280001
"23","2018-08-24",30.91
"24","2018-08-27",28.690001
"25","2018-08-28",29.549999
"26","2018-08-29",29.15
"27","2018-08-30",28.75
"28","2018-08-31",29.950001
"29","2018-09-04",28.5
"30","2018-09-05",28.209999
"31","2018-09-06",28.700001
"32","2018-09-07",30.58
"33","2018-09-10",29.049999
"34","2018-09-11",29.26
"35","2018-09-12",31.91
"36","2018-09-13",31.68
"37","2018-09-14",29.58
"38","2018-09-17",29
"39","2018-09-18",29.92
"40","2018-09-19",29.25
"41","2018-09-20",30.01
"42","2018-09-21",30.950001
"43","2018-09-24",32.25
"44","2018-09-25",34.080002
"45","2018-09-26",35.799999
"46","2018-09-27",33.599998
"47","2018-09-28",34.080002
"48","2018-10-01",32.27
"49","2018-10-02",30.219999
"50","2018-10-03",30.25
"51","2018-10-04",28.34
"52","2018-10-05",27.370001
"53","2018-10-08",27.07
"54","2018-10-09",26.1
"55","2018-10-10",27.540001
"56","2018-10-11",27.379999
"57","2018-10-12",26.68
"58","2018-10-15",26.6
"59","2018-10-16",27.18
"60","2018-10-17",27.32
"61","2018-10-18",25.57
"62","2018-10-19",25.51
"63","2018-10-22",24.15
"64","2018-10-23",23.82
"65","2018-10-24",23.92
"66","2018-10-25",23.440001
"67","2018-10-26",22.17
"68","2018-10-29",22.030001
"69","2018-10-30",22.98
"70","2018-10-31",23.75
"71","2018-11-01",23.74
"72","2018-11-02",22.959999
"73","2018-11-05",23.01
"74","2018-11-06",17.25
"75","2018-11-07",18.01
"76","2018-11-08",18.09
"77","2018-11-09",19.450001
"78","2018-11-12",19.700001
"79","2018-11-13",18.51
"80","2018-11-14",17.290001
"81","2018-11-15",15.46
"82","2018-11-16",16.040001
"83","2018-11-19",14.5
"84","2018-11-20",14.55
"85","2018-11-21",14.67
"86","2018-11-23",14.99
"87","2018-11-26",14.7
"88","2018-11-27",14.5
"89","2018-11-28",15.45
"90","2018-11-29",17.26
"91","2018-11-30",16.450001
"92","2018-12-03",16.5
"93","2018-12-04",15.39
"94","2018-12-06",15.62
"95","2018-12-07",15.87
"96","2018-12-10",17.17
"97","2018-12-11",15.65
"98","2018-12-12",15.44
"99","2018-12-13",14.4
"100","2018-12-14",14.12
"101","2018-12-17",12.75
"102","2018-12-18",12
"103","2018-12-19",11.15
"104","2018-12-20",10.22
"105","2018-12-21",10.08
"106","2018-12-24",9.9
"107","2018-12-26",10.78
"108","2018-12-27",10.96
"109","2018-12-28",10.83
"110","2018-12-31",9.98
"111","2019-01-02",10.12
"112","2019-01-03",10.47
"113","2019-01-04",11.83
"114","2019-01-07",12.41
