"","date","ESI"
"1","2013-10-22",12
"2","2013-10-23",12
"3","2013-10-24",12
"4","2013-10-25",11.75
"5","2013-10-28",11.75
"6","2013-10-29",11.85
"7","2013-10-30",11.85
"8","2013-10-31",11.85
"9","2013-11-01",11.85
"10","2013-11-04",11.85
"11","2013-11-05",11.85
"12","2013-11-06",11.85
"13","2013-11-07",11.85
"14","2013-11-08",12
"15","2013-11-11",12
"16","2013-11-12",12
"17","2013-11-13",12
"18","2013-11-14",12
"19","2013-11-15",12
"20","2013-11-18",12
"21","2013-11-19",12
"22","2013-11-20",12
"23","2013-11-21",12
"24","2013-11-22",12
"25","2013-11-25",12
"26","2013-11-26",12
"27","2013-11-27",12
"28","2013-11-29",12
"29","2013-12-02",12
"30","2013-12-03",12
"31","2013-12-04",12
"32","2013-12-05",12
"33","2013-12-06",12
"34","2013-12-09",12
"35","2013-12-10",12
"36","2013-12-11",12.1
"37","2013-12-12",12.1
"38","2013-12-13",12.1
"39","2013-12-16",12.5
"40","2013-12-17",14
"41","2013-12-18",14
"42","2013-12-19",14
"43","2013-12-20",14
"44","2013-12-23",14
"45","2013-12-24",14
"46","2013-12-26",14
"47","2013-12-27",14
"48","2013-12-30",14
"49","2013-12-31",14
"50","2014-01-02",14
"51","2014-01-03",14
"52","2014-01-06",14
"53","2014-01-07",13.5
"54","2014-01-08",13.53
"55","2014-01-09",13.5
"56","2014-01-10",13.5
"57","2014-01-13",13.5
"58","2014-01-14",13.5
"59","2014-01-15",14
"60","2014-01-16",14
"61","2014-01-17",14
"62","2014-01-21",14
"63","2014-01-22",14
"64","2014-01-23",14.9
"65","2014-01-24",14.4
"66","2014-01-27",14.27
"67","2014-01-28",14.15
"68","2014-01-29",14
"69","2014-01-30",14
"70","2014-01-31",13.94
"71","2014-02-03",13.83
"72","2014-02-04",14
"73","2014-02-05",14.43
"74","2014-02-06",15.33
"75","2014-02-07",16.24
"76","2014-02-10",16.389999
"77","2014-02-11",16.42
"78","2014-02-12",16.35
