"","date","EQH"
"1","2018-05-10",20.34
"2","2018-05-11",21.389999
"3","2018-05-14",21.5
"4","2018-05-15",21.6
"5","2018-05-16",21.6
"6","2018-05-17",21.68
"7","2018-05-18",21.58
"8","2018-05-21",21.860001
"9","2018-05-22",21.85
"10","2018-05-23",21.719999
"11","2018-05-24",21.780001
"12","2018-05-25",21.950001
"13","2018-05-29",20.74
"14","2018-05-30",21.440001
"15","2018-05-31",21.360001
"16","2018-06-01",21.540001
"17","2018-06-04",21.68
"18","2018-06-05",21.48
"19","2018-06-06",21.379999
"20","2018-06-07",21.26
"21","2018-06-08",21.059999
"22","2018-06-11",21.34
"23","2018-06-12",21.379999
"24","2018-06-13",21.629999
"25","2018-06-14",21.200001
"26","2018-06-15",21.120001
"27","2018-06-18",20.93
"28","2018-06-19",20.9
"29","2018-06-20",21.129999
"30","2018-06-21",21.209999
"31","2018-06-22",21.690001
"32","2018-06-25",21.1
"33","2018-06-26",20.82
"34","2018-06-27",20.219999
"35","2018-06-28",20.25
"36","2018-06-29",20.610001
"37","2018-07-02",20.629999
"38","2018-07-03",20.790001
"39","2018-07-05",21.07
"40","2018-07-06",21.200001
"41","2018-07-09",21.73
"42","2018-07-10",21.540001
"43","2018-07-11",21.040001
"44","2018-07-12",21.1
"45","2018-07-13",21.040001
"46","2018-07-16",21.23
"47","2018-07-17",21.25
"48","2018-07-18",21.24
"49","2018-07-19",20.969999
"50","2018-07-20",21.16
"51","2018-07-23",21.5
"52","2018-07-24",21.59
"53","2018-07-25",21.57
"54","2018-07-26",21.799999
"55","2018-07-27",21.74
"56","2018-07-30",22.02
"57","2018-07-31",21.99
"58","2018-08-01",21.66
"59","2018-08-02",21.629999
"60","2018-08-03",21.959999
"61","2018-08-06",21.940001
"62","2018-08-07",21.59
"63","2018-08-08",21.83
"64","2018-08-09",21.67
"65","2018-08-10",21.299999
"66","2018-08-13",21.35
"67","2018-08-14",21.870001
"68","2018-08-15",21.629999
"69","2018-08-16",22.02
"70","2018-08-17",22.23
"71","2018-08-20",22.360001
"72","2018-08-21",22.68
"73","2018-08-22",22.639999
"74","2018-08-23",22.469999
"75","2018-08-24",22.48
"76","2018-08-27",22.790001
"77","2018-08-28",22.84
"78","2018-08-29",22.74
"79","2018-08-30",23
"80","2018-08-31",22.950001
"81","2018-09-04",23.030001
"82","2018-09-05",22.9
"83","2018-09-06",22.540001
"84","2018-09-07",22.33
"85","2018-09-10",22.5
"86","2018-09-11",22.450001
"87","2018-09-12",22.450001
"88","2018-09-13",22.23
"89","2018-09-14",22.25
"90","2018-09-17",22.34
"91","2018-09-18",22.219999
"92","2018-09-19",22.49
"93","2018-09-20",22.549999
"94","2018-09-21",22.459999
"95","2018-09-24",22.209999
"96","2018-09-25",21.85
"97","2018-09-26",21.4
