"","date","NFIN"
"1","2019-08-14",9.74
"2","2019-08-15",9.74
"3","2019-08-16",9.76
"4","2019-08-19",9.76
"5","2019-08-20",9.83
"6","2019-08-21",9.77
"7","2019-08-22",9.77
"8","2019-08-23",9.77
"9","2019-08-26",9.77
"10","2019-08-27",9.77
"11","2019-08-28",9.78
"12","2019-08-29",9.78
"13","2019-08-30",9.78
"14","2019-09-03",9.8
"15","2019-09-04",9.8
"16","2019-09-05",9.78
"17","2019-09-06",9.78
"18","2019-09-09",9.78
"19","2019-09-10",9.78
"20","2019-09-11",9.78
"21","2019-09-12",9.8
"22","2019-09-13",9.8
"23","2019-09-16",9.8
"24","2019-09-17",9.8
"25","2019-09-18",9.77
"26","2019-09-19",9.77
"27","2019-09-20",9.85
"28","2019-09-23",9.85
"29","2019-09-24",9.85
"30","2019-09-25",9.85
"31","2019-09-26",9.85
"32","2019-09-27",9.82
"33","2019-09-30",9.82
"34","2019-10-01",9.8
"35","2019-10-02",9.8
"36","2019-10-03",9.8
"37","2019-10-04",9.8
"38","2019-10-07",9.8
"39","2019-10-08",9.8
"40","2019-10-09",9.8
"41","2019-10-10",9.82
"42","2019-10-11",9.82
"43","2019-10-14",9.82
"44","2019-10-15",9.8
"45","2019-10-16",9.8
"46","2019-10-17",9.8
"47","2019-10-18",9.83
"48","2019-10-21",9.82
"49","2019-10-22",9.85
"50","2019-10-23",9.85
"51","2019-10-24",9.83
"52","2019-10-25",9.81
"53","2019-10-28",9.81
"54","2019-10-29",9.82
"55","2019-10-30",9.84
"56","2019-10-31",9.85
"57","2019-11-01",9.82
"58","2019-11-04",9.85
"59","2019-11-05",9.84
"60","2019-11-06",9.85
"61","2019-11-07",9.84
"62","2019-11-08",9.84
"63","2019-11-11",9.85
"64","2019-11-12",9.85
"65","2019-11-13",9.86
"66","2019-11-14",9.86
"67","2019-11-15",9.85
"68","2019-11-18",9.85
"69","2019-11-19",9.85
"70","2019-11-20",9.85
"71","2019-11-21",9.85
"72","2019-11-22",9.85
"73","2019-11-25",9.85
"74","2019-11-26",9.86
"75","2019-11-27",9.86
"76","2019-11-29",9.87
"77","2019-12-02",9.87
"78","2019-12-03",9.87
"79","2019-12-04",9.87
"80","2019-12-05",9.89
"81","2019-12-06",9.89
"82","2019-12-09",9.88
"83","2019-12-10",9.85
"84","2019-12-11",9.9
"85","2019-12-12",9.89
"86","2019-12-13",9.89
"87","2019-12-16",9.92
"88","2019-12-17",9.92
"89","2019-12-18",9.92
"90","2019-12-19",9.88
"91","2019-12-20",9.88
"92","2019-12-23",9.88
"93","2019-12-24",9.88
"94","2019-12-26",9.88
"95","2019-12-27",9.91
"96","2019-12-30",9.92
"97","2019-12-31",9.95
"98","2020-01-02",9.95
"99","2020-01-03",9.96
"100","2020-01-06",9.96
"101","2020-01-07",9.98
"102","2020-01-08",9.98
"103","2020-01-09",10.02
"104","2020-01-10",10.02
"105","2020-01-13",10.03
"106","2020-01-14",10.02
"107","2020-01-15",10.02
"108","2020-01-16",10
"109","2020-01-17",10
"110","2020-01-21",10
"111","2020-01-22",10.04
"112","2020-01-23",10.04
"113","2020-01-24",10.04
"114","2020-01-27",10.01
"115","2020-01-28",10.02
"116","2020-01-29",10.03
"117","2020-01-30",10.03
"118","2020-01-31",10.03
"119","2020-02-03",10.03
"120","2020-02-04",10.03
"121","2020-02-05",10.02
"122","2020-02-06",10.01
"123","2020-02-07",10.05
"124","2020-02-10",10.05
"125","2020-02-11",10.05
"126","2020-02-12",10.05
"127","2020-02-13",10.05
"128","2020-02-14",10.05
"129","2020-02-18",10.03
"130","2020-02-19",10.03
"131","2020-02-20",10.03
"132","2020-02-21",10.03
"133","2020-02-24",10.04
"134","2020-02-25",10.03
"135","2020-02-26",10.01
"136","2020-02-27",10.01
"137","2020-02-28",10
"138","2020-03-02",10.02
"139","2020-03-03",10.02
"140","2020-03-04",9.99
"141","2020-03-05",10
"142","2020-03-06",10.01
"143","2020-03-09",10.01
"144","2020-03-10",9.93
"145","2020-03-11",9.9
"146","2020-03-12",9.8
"147","2020-03-13",9.75
"148","2020-03-16",9.69
"149","2020-03-17",9.68
"150","2020-03-18",9.68
"151","2020-03-19",9.5
"152","2020-03-20",9.75
"153","2020-03-23",9.7
"154","2020-03-24",9.7
"155","2020-03-25",9.8
"156","2020-03-26",9.85
"157","2020-03-27",9.89
"158","2020-03-30",9.81
"159","2020-03-31",9.84
"160","2020-04-01",9.87
"161","2020-04-02",9.9
"162","2020-04-03",9.85
"163","2020-04-06",9.96
"164","2020-04-07",9.86
"165","2020-04-08",9.88
"166","2020-04-09",9.92
"167","2020-04-13",9.89
"168","2020-04-14",9.94
"169","2020-04-15",9.77
"170","2020-04-16",9.77
"171","2020-04-17",9.9
"172","2020-04-20",9.94
"173","2020-04-21",9.925
"174","2020-04-22",9.925
"175","2020-04-23",10
"176","2020-04-24",9.95
"177","2020-04-27",10
"178","2020-04-28",10
"179","2020-04-29",10
"180","2020-04-30",9.99
"181","2020-05-01",9.99
"182","2020-05-04",9.99
"183","2020-05-05",9.99
"184","2020-05-06",9.92
"185","2020-05-07",9.92
"186","2020-05-08",9.92
"187","2020-05-11",9.93
"188","2020-05-12",9.94
"189","2020-05-13",9.94
"190","2020-05-14",9.94
"191","2020-05-15",9.95
"192","2020-05-18",9.95
"193","2020-05-19",9.95
"194","2020-05-20",10.01
"195","2020-05-21",9.96
