"","date","KRA"
"1","2009-12-17",13.51
"2","2009-12-18",13.6
"3","2009-12-21",13.6
"4","2009-12-22",13.64
"5","2009-12-23",13.67
"6","2009-12-24",13.64
"7","2009-12-28",13.67
"8","2009-12-29",13.65
"9","2009-12-30",13.62
"10","2009-12-31",13.56
"11","2010-01-04",13.8
"12","2010-01-05",14.42
"13","2010-01-06",14.6
"14","2010-01-07",14.6
"15","2010-01-08",14.9
"16","2010-01-11",14.74
"17","2010-01-12",14.51
"18","2010-01-13",14.62
"19","2010-01-14",14.55
"20","2010-01-15",14.55
"21","2010-01-19",14.88
"22","2010-01-20",14.4
"23","2010-01-21",14.18
"24","2010-01-22",14.19
"25","2010-01-25",14.2
"26","2010-01-26",13.95
"27","2010-01-27",13.9
"28","2010-01-28",13.72
"29","2010-01-29",13.75
"30","2010-02-01",13.84
"31","2010-02-02",13.88
"32","2010-02-03",13.84
"33","2010-02-04",13.68
"34","2010-02-05",13.26
"35","2010-02-08",13.05
"36","2010-02-09",13.09
"37","2010-02-10",13
"38","2010-02-11",13.5
"39","2010-02-12",13.6
"40","2010-02-16",13.8
"41","2010-02-17",13.8
"42","2010-02-18",13.73
"43","2010-02-19",13.75
"44","2010-02-22",13.59
"45","2010-02-23",13.57
"46","2010-02-24",13.63
"47","2010-02-25",13.55
"48","2010-02-26",13.49
"49","2010-03-01",13.52
"50","2010-03-02",13.72
"51","2010-03-03",13.67
"52","2010-03-04",14.65
"53","2010-03-05",15.43
"54","2010-03-08",15.68
"55","2010-03-09",15.44
"56","2010-03-10",15.47
"57","2010-03-11",16.18
"58","2010-03-12",16.25
"59","2010-03-15",16.74
"60","2010-03-16",16.85
"61","2010-03-17",16.68
"62","2010-03-18",16.84
"63","2010-03-19",16.549999
"64","2010-03-22",16.5
"65","2010-03-23",16.940001
"66","2010-03-24",17.639999
"67","2010-03-25",18.110001
"68","2010-03-26",18.02
"69","2010-03-29",18
"70","2010-03-30",18
"71","2010-03-31",17.860001
"72","2010-04-01",18.16
"73","2010-04-05",18.540001
"74","2010-04-06",18.83
"75","2010-04-07",19.09
"76","2010-04-08",19.200001
"77","2010-04-09",18.9
"78","2010-04-12",18.620001
"79","2010-04-13",18.49
"80","2010-04-14",18.860001
