"","date","ASPN"
"1","2014-06-13",10.75
"2","2014-06-16",10.63
"3","2014-06-17",10.25
"4","2014-06-18",10.26
"5","2014-06-19",10.53
"6","2014-06-20",10.65
"7","2014-06-23",11.44
"8","2014-06-24",11.46
"9","2014-06-25",10.9
"10","2014-06-26",11.01
"11","2014-06-27",11.24
"12","2014-06-30",11.05
"13","2014-07-01",11.07
"14","2014-07-02",11
"15","2014-07-03",11.12
"16","2014-07-07",11.36
"17","2014-07-08",10.73
"18","2014-07-09",10.72
"19","2014-07-10",10.75
"20","2014-07-11",10.85
"21","2014-07-14",10.67
"22","2014-07-15",10.53
"23","2014-07-16",10.28
"24","2014-07-17",10.58
"25","2014-07-18",10.04
"26","2014-07-21",9.64
"27","2014-07-22",9.6
"28","2014-07-23",9.56
"29","2014-07-24",9.5
"30","2014-07-25",9.27
"31","2014-07-28",9.27
"32","2014-07-29",9.3
"33","2014-07-30",9.2
"34","2014-07-31",9
"35","2014-08-01",9.1
"36","2014-08-04",9
"37","2014-08-05",8.21
"38","2014-08-06",8.29
"39","2014-08-07",8.06
"40","2014-08-08",8.32
"41","2014-08-11",8.8
"42","2014-08-12",9.18
"43","2014-08-13",10.45
"44","2014-08-14",10.43
"45","2014-08-15",9.39
"46","2014-08-18",10.05
"47","2014-08-19",10.31
"48","2014-08-20",10.23
"49","2014-08-21",10.45
"50","2014-08-22",10.79
"51","2014-08-25",10.72
"52","2014-08-26",10.81
"53","2014-08-27",10.92
"54","2014-08-28",10.55
"55","2014-08-29",10.63
"56","2014-09-02",10.67
"57","2014-09-03",11.05
"58","2014-09-04",10.7
"59","2014-09-05",10.675
"60","2014-09-08",10.75
"61","2014-09-09",10.67
"62","2014-09-10",10.78
"63","2014-09-11",10.58
"64","2014-09-12",10.81
"65","2014-09-15",10.64
"66","2014-09-16",10.18
"67","2014-09-17",10.2
"68","2014-09-18",10.49
"69","2014-09-19",10
"70","2014-09-22",9.99
"71","2014-09-23",10.1
"72","2014-09-24",10.21
"73","2014-09-25",10.24
"74","2014-09-26",10.47
"75","2014-09-29",10.17
"76","2014-09-30",10.08
"77","2014-10-01",9.5
"78","2014-10-02",10.19
"79","2014-10-03",10.18
"80","2014-10-06",10.38
"81","2014-10-07",10.11
"82","2014-10-08",9.83
"83","2014-10-09",9.51
"84","2014-10-10",9.5
"85","2014-10-13",9.69
"86","2014-10-14",9.52
"87","2014-10-15",9.39
"88","2014-10-16",9.9
"89","2014-10-17",9.63
"90","2014-10-20",9.66
"91","2014-10-21",9.8
"92","2014-10-22",9.6
"93","2014-10-23",9.71
"94","2014-10-24",9.85
"95","2014-10-27",9.72
"96","2014-10-28",9.85
"97","2014-10-29",9.84
"98","2014-10-30",9.84
"99","2014-10-31",9.93
"100","2014-11-03",9.95
"101","2014-11-04",9.65
"102","2014-11-05",9.65
"103","2014-11-06",9.62
"104","2014-11-07",8.9
"105","2014-11-10",8.06
"106","2014-11-11",7.95
"107","2014-11-12",7.75
"108","2014-11-13",7.67
"109","2014-11-14",7.87
"110","2014-11-17",7.85
"111","2014-11-18",7.77
"112","2014-11-19",7.37
"113","2014-11-20",7.36
"114","2014-11-21",7.54
"115","2014-11-24",7.51
"116","2014-11-25",7.92
"117","2014-11-26",8.33
"118","2014-11-28",8.1
"119","2014-12-01",7.43
"120","2014-12-02",7.05
"121","2014-12-03",7.09
"122","2014-12-04",7
"123","2014-12-05",7.1
"124","2014-12-08",6.93
"125","2014-12-09",6.9
"126","2014-12-10",6.66
"127","2014-12-11",6.66
"128","2014-12-12",6.58
"129","2014-12-15",6.65
"130","2014-12-16",6.62
"131","2014-12-17",6.73
"132","2014-12-18",7.19
"133","2014-12-19",8.49
"134","2014-12-22",8.12
"135","2014-12-23",8.07
"136","2014-12-24",8.06
"137","2014-12-26",7.87
"138","2014-12-29",8.01
"139","2014-12-30",7.97
"140","2014-12-31",7.98
"141","2015-01-02",8.3
"142","2015-01-05",8.19
"143","2015-01-06",7.66
"144","2015-01-07",7.06
"145","2015-01-08",6.66
"146","2015-01-09",6.66
"147","2015-01-12",6.56
"148","2015-01-13",6.71
"149","2015-01-14",7.19
"150","2015-01-15",7.05
"151","2015-01-16",7.32
"152","2015-01-20",7.54
"153","2015-01-21",7.13
"154","2015-01-22",7.6
"155","2015-01-23",7.69
"156","2015-01-26",7.93
"157","2015-01-27",7.58
"158","2015-01-28",7.67
"159","2015-01-29",7.64
"160","2015-01-30",7.66
"161","2015-02-02",7.7
"162","2015-02-03",7.84
"163","2015-02-04",7.78
"164","2015-02-05",8.03
"165","2015-02-06",8.09
"166","2015-02-09",8
"167","2015-02-10",7.91
"168","2015-02-11",7.92
"169","2015-02-12",8.04
"170","2015-02-13",7.96
"171","2015-02-17",8.32
"172","2015-02-18",8.24
"173","2015-02-19",8.36
"174","2015-02-20",7.85
"175","2015-02-23",8.49
"176","2015-02-24",7.78
"177","2015-02-25",7.93
"178","2015-02-26",7.97
"179","2015-02-27",7.93
"180","2015-03-02",8.09
"181","2015-03-03",7.9
"182","2015-03-04",7.93
"183","2015-03-05",8
"184","2015-03-06",7.65
"185","2015-03-09",7.84
"186","2015-03-10",7.61
"187","2015-03-11",7.54
"188","2015-03-12",7.51
"189","2015-03-13",7.26
"190","2015-03-16",6.74
"191","2015-03-17",6.95
"192","2015-03-18",7.03
"193","2015-03-19",6.66
"194","2015-03-20",6.62
"195","2015-03-23",7.1
"196","2015-03-24",7.17
"197","2015-03-25",7.23
"198","2015-03-26",7.27
"199","2015-03-27",7.34
"200","2015-03-30",7.24
"201","2015-03-31",7.28
"202","2015-04-01",7.4
"203","2015-04-02",7.48
"204","2015-04-06",7.73
"205","2015-04-07",7.69
"206","2015-04-08",7.7
"207","2015-04-09",7.73
"208","2015-04-10",7.11
"209","2015-04-13",7.06
"210","2015-04-14",7.13
"211","2015-04-15",7.41
"212","2015-04-16",6.89
"213","2015-04-17",6.96
"214","2015-04-20",7.19
"215","2015-04-21",7.01
"216","2015-04-22",7
"217","2015-04-23",6.9
"218","2015-04-24",6.78
"219","2015-04-27",6.95
"220","2015-04-28",6.68
"221","2015-04-29",6.82
"222","2015-04-30",6.54
"223","2015-05-01",6.68
"224","2015-05-04",6.52
"225","2015-05-05",6.74
"226","2015-05-06",6.88
"227","2015-05-07",6.46
