"","date","SANW"
"1","2010-06-14",4
"2","2010-06-15",4
"3","2010-06-16",4.1
"4","2010-06-17",3.95
"5","2010-06-18",3.71
"6","2010-06-21",3.57
"7","2010-06-22",3.49
"8","2010-06-23",3.42
"9","2010-06-24",3.5
"10","2010-06-25",3.51
"11","2010-06-28",3.59
"12","2010-06-29",3.3
"13","2010-06-30",3.27
"14","2010-07-01",3.16
"15","2010-07-02",3.05
"16","2010-07-06",3.05
"17","2010-07-07",2.95
"18","2010-07-08",3.25
"19","2010-07-09",3.49
"20","2010-07-12",3.55
"21","2010-07-13",3.7
"22","2010-07-14",3.8
"23","2010-07-15",3.87
"24","2010-07-16",3.5
"25","2010-07-19",3.6
"26","2010-07-20",3.5
"27","2010-07-21",3.57
"28","2010-07-22",3.6
"29","2010-07-23",3.6
"30","2010-07-26",3.5
"31","2010-07-27",3.5
"32","2010-07-28",3.4
"33","2010-07-29",3.45
"34","2010-07-30",3.4
"35","2010-08-02",3.3
"36","2010-08-03",3.2
"37","2010-08-04",3.2
"38","2010-08-05",3
"39","2010-08-06",2.97
"40","2010-08-09",3.88
"41","2010-08-10",3.8
"42","2010-08-11",3.6
"43","2010-08-12",3.74
"44","2010-08-13",3.79
"45","2010-08-16",3.75
"46","2010-08-17",3.59
"47","2010-08-18",3.5
"48","2010-08-19",3.41
"49","2010-08-20",3.4
"50","2010-08-23",3.4
"51","2010-08-24",3.39
"52","2010-08-25",3.39
"53","2010-08-26",3.39
"54","2010-08-27",3.4
"55","2010-08-30",3.5
"56","2010-08-31",3.5
"57","2010-09-01",3.5
"58","2010-09-02",3.55
"59","2010-09-03",3.5
"60","2010-09-07",3.5
"61","2010-09-08",3.45
"62","2010-09-09",3.43
"63","2010-09-10",3.45
"64","2010-09-13",3.45
"65","2010-09-14",3.41
"66","2010-09-15",3.39
"67","2010-09-16",3.43
"68","2010-09-17",3.4
"69","2010-09-20",3.35
"70","2010-09-21",3.23
"71","2010-09-22",3.4
"72","2010-09-23",3.3
"73","2010-09-24",3.39
"74","2010-09-27",3.3
"75","2010-09-28",3.24
"76","2010-09-29",3.24
"77","2010-09-30",3.2
"78","2010-10-01",3.28
"79","2010-10-04",3.28
"80","2010-10-05",3.3
"81","2010-10-06",3.13
"82","2010-10-07",3.03
"83","2010-10-08",3.02
"84","2010-10-11",2.92
"85","2010-10-12",3.02
"86","2010-10-13",3.12
"87","2010-10-14",3.2
"88","2010-10-15",3.25
"89","2010-10-18",3.25
"90","2010-10-19",2.99
"91","2010-10-20",2.85
"92","2010-10-21",3.15
"93","2010-10-22",3
"94","2010-10-25",2.9
"95","2010-10-26",2.95
"96","2010-10-27",2.82
"97","2010-10-28",3.1
"98","2010-10-29",3.25
"99","2010-11-01",3.15
"100","2010-11-02",3.13
"101","2010-11-03",3.12
"102","2010-11-04",3.1
"103","2010-11-05",3.19
"104","2010-11-08",3.22
"105","2010-11-09",3.24
"106","2010-11-10",3.21
"107","2010-11-11",3.24
"108","2010-11-12",3.19
"109","2010-11-15",3
"110","2010-11-16",2.99
"111","2010-11-17",3
"112","2010-11-18",3
"113","2010-11-19",3
"114","2010-11-22",3.05
"115","2010-11-23",3.04
"116","2010-11-24",3.08
"117","2010-11-26",3
"118","2010-11-29",3
"119","2010-11-30",3.09
"120","2010-12-01",2.96
"121","2010-12-02",2.93
"122","2010-12-03",3
"123","2010-12-06",3
"124","2010-12-07",3
"125","2010-12-08",3.04
"126","2010-12-09",3
"127","2010-12-10",2.99
"128","2010-12-13",3
"129","2010-12-14",3
"130","2010-12-15",3
"131","2010-12-16",3
"132","2010-12-17",2.95
"133","2010-12-20",3.1
"134","2010-12-21",3.05
"135","2010-12-22",3.04
"136","2010-12-23",3.1
"137","2010-12-27",3.12
"138","2010-12-28",3.1
"139","2010-12-29",3.1
"140","2010-12-30",3.25
"141","2010-12-31",3.3
"142","2011-01-03",3.3
"143","2011-01-04",3.25
"144","2011-01-05",3.33
"145","2011-01-06",3.3
"146","2011-01-07",3.28
"147","2011-01-10",3.5
"148","2011-01-11",3.41
"149","2011-01-12",3.6
"150","2011-01-13",3.7
"151","2011-01-14",3.52
"152","2011-01-18",3.8
"153","2011-01-19",4.25
"154","2011-01-20",4.55
"155","2011-01-21",4.53
"156","2011-01-24",4.82
"157","2011-01-25",5.13
"158","2011-01-26",4.6
"159","2011-01-27",4.75
"160","2011-01-28",4.64
"161","2011-01-31",4.6
"162","2011-02-01",4.3
"163","2011-02-02",4.3
"164","2011-02-03",4.48
"165","2011-02-04",4.41
"166","2011-02-07",4.5
"167","2011-02-08",4.6
"168","2011-02-09",4.7
"169","2011-02-10",4.6
"170","2011-02-11",4.6
"171","2011-02-14",4.33
"172","2011-02-15",4.24
"173","2011-02-16",4.34
"174","2011-02-17",4.27
"175","2011-02-18",4.42
"176","2011-02-22",4.45
"177","2011-02-23",4.5
"178","2011-02-24",4.37
"179","2011-02-25",4.3
"180","2011-02-28",4.23
"181","2011-03-01",4.32
"182","2011-03-02",4.38
"183","2011-03-03",4.39
"184","2011-03-04",4.37
"185","2011-03-07",4.4
"186","2011-03-08",4.4
"187","2011-03-09",4.4
"188","2011-03-10",4.45
"189","2011-03-11",4.44
"190","2011-03-14",4.3
"191","2011-03-15",4.15
"192","2011-03-16",4.14
"193","2011-03-17",4.14
"194","2011-03-18",4.05
"195","2011-03-21",4.05
"196","2011-03-22",4.13
"197","2011-03-23",4.17
"198","2011-03-24",4
"199","2011-03-25",3.78
"200","2011-03-28",3.7
"201","2011-03-29",3.69
"202","2011-03-30",3.69
"203","2011-03-31",3.68
"204","2011-04-01",3.73
