"","date","STM"
"1","2007-01-03",18.379999
"2","2007-01-04",18.709999
"3","2007-01-05",18.389999
"4","2007-01-08",18.9
"5","2007-01-09",18.940001
"6","2007-01-10",19.200001
"7","2007-01-11",18.959999
"8","2007-01-12",18.969999
"9","2007-01-16",19.27
"10","2007-01-17",18.85
"11","2007-01-18",18.459999
"12","2007-01-19",18.610001
"13","2007-01-22",18.26
"14","2007-01-23",18.25
"15","2007-01-24",18.190001
"16","2007-01-25",18.459999
"17","2007-01-26",18.76
"18","2007-01-29",18.639999
"19","2007-01-30",18.6
"20","2007-01-31",18.73
"21","2007-02-01",18.700001
"22","2007-02-02",18.5
"23","2007-02-05",18.709999
"24","2007-02-06",18.75
"25","2007-02-07",19.1
"26","2007-02-08",19.030001
"27","2007-02-09",18.93
"28","2007-02-12",18.809999
"29","2007-02-13",18.889999
"30","2007-02-14",19.17
"31","2007-02-15",19.129999
"32","2007-02-16",19.290001
"33","2007-02-20",19.4
"34","2007-02-21",19.139999
"35","2007-02-22",19.709999
"36","2007-02-23",20.08
"37","2007-02-26",20.18
"38","2007-02-27",19.09
"39","2007-02-28",19.459999
"40","2007-03-01",18.93
"41","2007-03-02",18.700001
"42","2007-03-05",18.49
"43","2007-03-06",18.790001
"44","2007-03-07",18.629999
"45","2007-03-08",19.040001
"46","2007-03-09",19.139999
"47","2007-03-12",19.190001
"48","2007-03-13",19.02
"49","2007-03-14",19.059999
"50","2007-03-15",18.950001
"51","2007-03-16",18.9
"52","2007-03-19",18.91
"53","2007-03-20",19.07
"54","2007-03-21",19.379999
"55","2007-03-22",18.99
"56","2007-03-23",19.139999
"57","2007-03-26",19.139999
"58","2007-03-27",19.49
"59","2007-03-28",19.200001
"60","2007-03-29",19.190001
"61","2007-03-30",19.200001
"62","2007-04-02",19.299999
"63","2007-04-03",19.459999
"64","2007-04-04",19.82
"65","2007-04-05",19.950001
"66","2007-04-09",19.870001
"67","2007-04-10",19.969999
"68","2007-04-11",19.690001
"69","2007-04-12",20.549999
"70","2007-04-13",20.370001
"71","2007-04-16",20.719999
"72","2007-04-17",20.65
"73","2007-04-18",20.559999
"74","2007-04-19",20.23
"75","2007-04-20",20.33
"76","2007-04-23",19.9
"77","2007-04-24",20.65
"78","2007-04-25",20.209999
"79","2007-04-26",19.719999
"80","2007-04-27",19.6
"81","2007-04-30",19.459999
"82","2007-05-01",19.530001
"83","2007-05-02",19.540001
"84","2007-05-03",19.450001
"85","2007-05-04",19.959999
"86","2007-05-07",19.84
"87","2007-05-08",19.65
"88","2007-05-09",19.91
"89","2007-05-10",19.360001
"90","2007-05-11",19.450001
"91","2007-05-14",19.790001
"92","2007-05-15",19.68
"93","2007-05-16",19.559999
"94","2007-05-17",19.440001
