"","date","SJR"
"1","2007-01-03",16.225
"2","2007-01-04",16.275
"3","2007-01-05",16.225
"4","2007-01-08",16.290001
"5","2007-01-09",16.315001
"6","2007-01-10",16.754999
"7","2007-01-11",18.049999
"8","2007-01-12",18.74
"9","2007-01-16",18.559999
"10","2007-01-17",18.530001
"11","2007-01-18",18.555
"12","2007-01-19",18.615
"13","2007-01-22",18.504999
"14","2007-01-23",18.450001
"15","2007-01-24",18.504999
"16","2007-01-25",18.344999
"17","2007-01-26",18.280001
"18","2007-01-29",18.030001
"19","2007-01-30",17.700001
"20","2007-01-31",17.725
"21","2007-02-01",17.745001
"22","2007-02-02",17.985001
"23","2007-02-05",17.969999
"24","2007-02-06",17.84
"25","2007-02-07",17.525
"26","2007-02-08",17.715
"27","2007-02-09",17.715
"28","2007-02-12",17.615
"29","2007-02-13",17.530001
"30","2007-02-14",18.055
"31","2007-02-15",18.575001
"32","2007-02-16",18.594999
"33","2007-02-20",18.42
"34","2007-02-21",18.690001
"35","2007-02-22",18.504999
"36","2007-02-23",18.629999
"37","2007-02-26",18.235001
"38","2007-02-27",17.475
"39","2007-02-28",17.254999
"40","2007-03-01",17.379999
"41","2007-03-02",17.125
"42","2007-03-05",17.025
"43","2007-03-06",17.365
"44","2007-03-07",17.275
"45","2007-03-08",17.174999
"46","2007-03-09",17.775
"47","2007-03-12",17.93
"48","2007-03-13",17.48
"49","2007-03-14",17.405001
"50","2007-03-15",17.615
"51","2007-03-16",17.49
"52","2007-03-19",17.555
"53","2007-03-20",17.665001
"54","2007-03-21",18.139999
"55","2007-03-22",18.655001
"56","2007-03-23",18.504999
"57","2007-03-26",18.75
"58","2007-03-27",18.719999
"59","2007-03-28",18.145
"60","2007-03-29",18.68
"61","2007-03-30",18.459999
"62","2007-04-02",18.375
"63","2007-04-03",18.885
"64","2007-04-04",18.77
"65","2007-04-05",19.01
"66","2007-04-09",19.184999
"67","2007-04-10",19.275
"68","2007-04-11",19.280001
"69","2007-04-12",19.75
"70","2007-04-13",19.65
"71","2007-04-16",20.115
"72","2007-04-17",20.459999
"73","2007-04-18",20.290001
"74","2007-04-19",19.815001
"75","2007-04-20",19.700001
"76","2007-04-23",19.684999
"77","2007-04-24",19.67
"78","2007-04-25",19.975
"79","2007-04-26",19.559999
"80","2007-04-27",19.540001
"81","2007-04-30",19.375
"82","2007-05-01",19.305
"83","2007-05-02",19.84
"84","2007-05-03",19.555
"85","2007-05-04",19.504999
"86","2007-05-07",19.379999
"87","2007-05-08",19.440001
"88","2007-05-09",18.969999
"89","2007-05-10",18.934999
"90","2007-05-11",19.285
"91","2007-05-14",19.07
"92","2007-05-15",19.23
"93","2007-05-16",19.4
"94","2007-05-17",19.790001
"95","2007-05-18",20.235001
"96","2007-05-21",20.275
"97","2007-05-22",20.075001
"98","2007-05-23",20.549999
"99","2007-05-24",20.115
"100","2007-05-25",20.27
"101","2007-05-29",20.65
"102","2007-05-30",20.955
"103","2007-05-31",20.834999
"104","2007-06-01",21.615
"105","2007-06-04",21.645
"106","2007-06-05",21.540001
