"","date","EZPW"
"1","2007-01-03",16.67
"2","2007-01-04",16.540001
"3","2007-01-05",16.360001
"4","2007-01-08",16.379999
"5","2007-01-09",16.01
"6","2007-01-10",15.74
"7","2007-01-11",16.23
"8","2007-01-12",16.120001
"9","2007-01-16",14.5
"10","2007-01-17",14.62
"11","2007-01-18",13.54
"12","2007-01-19",13.56
"13","2007-01-22",13.71
"14","2007-01-23",14.37
"15","2007-01-24",16.15
"16","2007-01-25",16.24
"17","2007-01-26",16.32
"18","2007-01-29",16.41
"19","2007-01-30",16.610001
"20","2007-01-31",16.73
"21","2007-02-01",17.049999
"22","2007-02-02",17.02
"23","2007-02-05",16.9
"24","2007-02-06",16.85
"25","2007-02-07",16.98
"26","2007-02-08",16.65
"27","2007-02-09",16.139999
"28","2007-02-12",15.65
"29","2007-02-13",15.5
"30","2007-02-14",15.36
"31","2007-02-15",15.5
"32","2007-02-16",15.71
"33","2007-02-20",15.41
"34","2007-02-21",15.29
"35","2007-02-22",15.53
"36","2007-02-23",15.5
"37","2007-02-26",15.35
"38","2007-02-27",14.6
"39","2007-02-28",14.85
"40","2007-03-01",14.87
"41","2007-03-02",14.25
"42","2007-03-05",14.09
"43","2007-03-06",14.47
"44","2007-03-07",14.25
"45","2007-03-08",14.8
"46","2007-03-09",15.3
"47","2007-03-12",14.81
"48","2007-03-13",14.47
"49","2007-03-14",14.61
"50","2007-03-15",14.97
"51","2007-03-16",14.49
"52","2007-03-19",15.14
"53","2007-03-20",14.97
"54","2007-03-21",15.54
"55","2007-03-22",15.48
"56","2007-03-23",15.59
"57","2007-03-26",15.17
"58","2007-03-27",14.92
"59","2007-03-28",14.61
"60","2007-03-29",14.61
"61","2007-03-30",14.73
"62","2007-04-02",14.52
"63","2007-04-03",14.73
"64","2007-04-04",14.58
"65","2007-04-05",14.41
"66","2007-04-09",14.52
"67","2007-04-10",14.5
"68","2007-04-11",14.47
"69","2007-04-12",15.21
"70","2007-04-13",15.48
"71","2007-04-16",15.98
"72","2007-04-17",16.16
"73","2007-04-18",16.48
"74","2007-04-19",16.33
"75","2007-04-20",16.68
"76","2007-04-23",16.09
"77","2007-04-24",16.4
"78","2007-04-25",15.2
"79","2007-04-26",15.57
"80","2007-04-27",15.31
"81","2007-04-30",15.15
"82","2007-05-01",14.98
"83","2007-05-02",15.4
"84","2007-05-03",15.02
"85","2007-05-04",14.94
"86","2007-05-07",14.71
"87","2007-05-08",14.66
"88","2007-05-09",14.49
"89","2007-05-10",14.17
"90","2007-05-11",14.15
"91","2007-05-14",14.17
"92","2007-05-15",13.73
"93","2007-05-16",13.36
"94","2007-05-17",13.44
"95","2007-05-18",13.54
"96","2007-05-21",14.39
"97","2007-05-22",14.99
"98","2007-05-23",15.01
"99","2007-05-24",14.61
"100","2007-05-25",14.8
"101","2007-05-29",14.96
