"","date","DNB"
"1","2020-07-01",25.35
"2","2020-07-02",27.1
"3","2020-07-06",27.389999
"4","2020-07-07",26.6
"5","2020-07-08",26.49
"6","2020-07-09",25.879999
"7","2020-07-10",26.25
"8","2020-07-13",25.48
"9","2020-07-14",25.389999
"10","2020-07-15",25.5
"11","2020-07-16",25.59
"12","2020-07-17",25.709999
"13","2020-07-20",26.110001
"14","2020-07-21",25.67
"15","2020-07-22",25.690001
"16","2020-07-23",25.459999
"17","2020-07-24",25.139999
"18","2020-07-27",25.290001
"19","2020-07-28",25.209999
"20","2020-07-29",25.280001
"21","2020-07-30",24.67
"22","2020-07-31",25.5
"23","2020-08-03",25.559999
"24","2020-08-04",26.540001
"25","2020-08-05",27.040001
"26","2020-08-06",25.049999
"27","2020-08-07",26.049999
"28","2020-08-10",24.700001
"29","2020-08-11",24.75
"30","2020-08-12",25.870001
"31","2020-08-13",24.889999
"32","2020-08-14",25.360001
"33","2020-08-17",25.15
"34","2020-08-18",25.1
"35","2020-08-19",25.799999
"36","2020-08-20",26.040001
"37","2020-08-21",25.469999
"38","2020-08-24",25.719999
"39","2020-08-25",25.440001
"40","2020-08-26",25.280001
"41","2020-08-27",25.450001
"42","2020-08-28",25.299999
"43","2020-08-31",25.360001
"44","2020-09-01",25.629999
"45","2020-09-02",25.940001
"46","2020-09-03",24.450001
"47","2020-09-04",24.66
"48","2020-09-08",24.620001
"49","2020-09-09",25.059999
"50","2020-09-10",25.15
"51","2020-09-11",25.1
"52","2020-09-14",25.17
"53","2020-09-15",25.25
"54","2020-09-16",25.51
"55","2020-09-17",24.73
"56","2020-09-18",24.799999
"57","2020-09-21",24.059999
"58","2020-09-22",23.9
"59","2020-09-23",24.1
"60","2020-09-24",24.530001
"61","2020-09-25",24.549999
"62","2020-09-28",25.26
"63","2020-09-29",25.24
"64","2020-09-30",25.66
"65","2020-10-01",25.389999
"66","2020-10-02",25.540001
"67","2020-10-05",26.379999
"68","2020-10-06",25.91
"69","2020-10-07",25.92
"70","2020-10-08",28.129999
"71","2020-10-09",28.16
"72","2020-10-12",27.6
"73","2020-10-13",27.299999
"74","2020-10-14",27.459999
"75","2020-10-15",27.52
"76","2020-10-16",27.370001
"77","2020-10-19",26.780001
"78","2020-10-20",26.52
"79","2020-10-21",26.85
"80","2020-10-22",26.66
"81","2020-10-23",26.780001
"82","2020-10-26",26.76
"83","2020-10-27",26.35
"84","2020-10-28",25.68
"85","2020-10-29",25.879999
"86","2020-10-30",25.84
"87","2020-11-02",26.049999
"88","2020-11-03",26.780001
"89","2020-11-04",28.129999
"90","2020-11-05",26.530001
"91","2020-11-06",26.129999
"92","2020-11-09",25.879999
"93","2020-11-10",26.139999
"94","2020-11-11",26.6
"95","2020-11-12",27.02
"96","2020-11-13",27.4
"97","2020-11-16",28.049999
"98","2020-11-17",27.93
"99","2020-11-18",27
"100","2020-11-19",27.610001
"101","2020-11-20",27.389999
"102","2020-11-23",27.129999
"103","2020-11-24",26.719999
"104","2020-11-25",26.940001
"105","2020-11-27",26.68
