"","date","ISTR"
"1","2014-07-01",14.2
"2","2014-07-02",14.1
"3","2014-07-03",14.05
"4","2014-07-07",14
"5","2014-07-08",14
"6","2014-07-09",14
"7","2014-07-10",14.06
"8","2014-07-11",14.03
"9","2014-07-14",14.05
"10","2014-07-15",14.05
"11","2014-07-16",14.45
"12","2014-07-17",14.42
"13","2014-07-18",14.4
"14","2014-07-21",14.15
"15","2014-07-22",14.12
"16","2014-07-23",14.1
"17","2014-07-24",14.11
"18","2014-07-25",14.14
"19","2014-07-28",14
"20","2014-07-29",14.14
"21","2014-07-30",14.01
"22","2014-07-31",14.02
"23","2014-08-01",14.03
"24","2014-08-04",14.04
"25","2014-08-05",14
"26","2014-08-06",14.01
"27","2014-08-07",14.04
"28","2014-08-08",14.01
"29","2014-08-11",14
"30","2014-08-12",13.832
"31","2014-08-13",14
"32","2014-08-14",14
"33","2014-08-15",13.76
"34","2014-08-18",13.93
"35","2014-08-19",14.02
"36","2014-08-20",14.02
"37","2014-08-21",13.9
"38","2014-08-22",14.15
"39","2014-08-25",13.92
"40","2014-08-26",13.96
"41","2014-08-27",14
"42","2014-08-28",13.98
"43","2014-08-29",13.95
"44","2014-09-02",13.95
"45","2014-09-03",14.1
"46","2014-09-04",14.05
"47","2014-09-05",14.04
"48","2014-09-08",14.02
"49","2014-09-09",14.05
"50","2014-09-10",14.05
"51","2014-09-11",14.39
"52","2014-09-12",14.08
"53","2014-09-15",13.96
"54","2014-09-16",13.73
"55","2014-09-17",13.7
"56","2014-09-18",13.62
"57","2014-09-19",13.07
"58","2014-09-22",13.19
"59","2014-09-23",13.48
"60","2014-09-24",13.3
"61","2014-09-25",13.25
"62","2014-09-26",13.44
"63","2014-09-29",13.39
"64","2014-09-30",13.3
"65","2014-10-01",13.1
"66","2014-10-02",13.39
"67","2014-10-03",13.31
"68","2014-10-06",13.05
"69","2014-10-07",13.08
"70","2014-10-08",13.08
"71","2014-10-09",13.15
"72","2014-10-10",13.35
"73","2014-10-13",13.06
"74","2014-10-14",13.35
"75","2014-10-15",13.35
"76","2014-10-16",13.15
"77","2014-10-17",13.13
"78","2014-10-20",13.14
"79","2014-10-21",13.12
"80","2014-10-22",13.1
"81","2014-10-23",13.06
"82","2014-10-24",13.01
"83","2014-10-27",13.15
