"","date","APA"
"1","2007-01-03",64.550003
"2","2007-01-04",63.700001
"3","2007-01-05",65.25
"4","2007-01-08",65.669998
"5","2007-01-09",64.529999
"6","2007-01-10",63.52
"7","2007-01-11",63.16
"8","2007-01-12",64.290001
"9","2007-01-16",65.040001
"10","2007-01-17",66.010002
"11","2007-01-18",65.650002
"12","2007-01-19",67.910004
"13","2007-01-22",67.910004
"14","2007-01-23",70.290001
"15","2007-01-24",70.449997
"16","2007-01-25",69.519997
"17","2007-01-26",69.82
"18","2007-01-29",70.139999
"19","2007-01-30",72.730003
"20","2007-01-31",72.970001
"21","2007-02-01",71.57
"22","2007-02-02",70.709999
"23","2007-02-05",69.620003
"24","2007-02-06",69.900002
"25","2007-02-07",69.199997
"26","2007-02-08",70.129997
"27","2007-02-09",70
"28","2007-02-12",68.690002
"29","2007-02-13",69.589996
"30","2007-02-14",69.260002
"31","2007-02-15",68.720001
"32","2007-02-16",68.800003
"33","2007-02-20",68.389999
"34","2007-02-21",69.120003
"35","2007-02-22",70.400002
"36","2007-02-23",70.470001
"37","2007-02-26",70.800003
"38","2007-02-27",68.910004
"39","2007-02-28",68.459999
"40","2007-03-01",68.480003
"41","2007-03-02",67.209999
"42","2007-03-05",67.059998
"43","2007-03-06",68
"44","2007-03-07",68.629997
"45","2007-03-08",68.18
"46","2007-03-09",68.370003
"47","2007-03-12",67.889999
"48","2007-03-13",67.160004
"49","2007-03-14",68.400002
"50","2007-03-15",67.739998
"51","2007-03-16",67.309998
"52","2007-03-19",68.309998
"53","2007-03-20",68.910004
"54","2007-03-21",69.559998
"55","2007-03-22",70.400002
"56","2007-03-23",70.029999
"57","2007-03-26",70.290001
"58","2007-03-27",70.050003
"59","2007-03-28",70.080002
"60","2007-03-29",71.5
"61","2007-03-30",70.699997
"62","2007-04-02",71.260002
"63","2007-04-03",71.839996
"64","2007-04-04",71.800003
"65","2007-04-05",72.089996
"66","2007-04-09",72.190002
"67","2007-04-10",73.099998
"68","2007-04-11",72.889999
"69","2007-04-12",74.639999
"70","2007-04-13",75.120003
"71","2007-04-16",74.720001
"72","2007-04-17",74.760002
"73","2007-04-18",74.800003
"74","2007-04-19",74.029999
"75","2007-04-20",75.080002
"76","2007-04-23",75.089996
"77","2007-04-24",75.18
"78","2007-04-25",76.400002
"79","2007-04-26",74.419998
"80","2007-04-27",73.529999
"81","2007-04-30",72.5
"82","2007-05-01",73.290001
"83","2007-05-02",74.099998
"84","2007-05-03",74.739998
"85","2007-05-04",75.110001
"86","2007-05-07",75.120003
"87","2007-05-08",74.419998
"88","2007-05-09",74.089996
"89","2007-05-10",72.949997
"90","2007-05-11",73.93
"91","2007-05-14",73.910004
"92","2007-05-15",73.599998
"93","2007-05-16",74.949997
"94","2007-05-17",76.339996
"95","2007-05-18",77.790001
"96","2007-05-21",78.709999
"97","2007-05-22",78.400002
"98","2007-05-23",78.400002
"99","2007-05-24",77.559998
"100","2007-05-25",78.019997
