"","date","AVRO"
"1","2018-06-21",31.200001
"2","2018-06-22",30.74
"3","2018-06-25",30.48
"4","2018-06-26",30.83
"5","2018-06-27",30.540001
"6","2018-06-28",28.08
"7","2018-06-29",28.559999
"8","2018-07-02",27.35
"9","2018-07-03",26.950001
"10","2018-07-05",27.48
"11","2018-07-06",28.35
"12","2018-07-09",27.99
"13","2018-07-10",28.620001
"14","2018-07-11",28.02
"15","2018-07-12",29.620001
"16","2018-07-13",28.1
"17","2018-07-16",29.07
"18","2018-07-17",29.02
"19","2018-07-18",33.91
"20","2018-07-19",34.5
"21","2018-07-20",37.549999
"22","2018-07-23",38.310001
"23","2018-07-24",38.790001
"24","2018-07-25",39.009998
"25","2018-07-26",33.349998
"26","2018-07-27",31.530001
"27","2018-07-30",32.080002
"28","2018-07-31",32
"29","2018-08-01",31.83
"30","2018-08-02",32.650002
"31","2018-08-03",34.919998
"32","2018-08-06",36.91
"33","2018-08-07",37.349998
"34","2018-08-08",38.970001
"35","2018-08-09",38.060001
"36","2018-08-10",40.970001
"37","2018-08-13",41.380001
"38","2018-08-14",41.16
"39","2018-08-15",40.75
"40","2018-08-16",40.66
"41","2018-08-17",40
"42","2018-08-20",38.669998
"43","2018-08-21",38.98
"44","2018-08-22",38.990002
"45","2018-08-23",38.68
"46","2018-08-24",39.310001
"47","2018-08-27",37.73
"48","2018-08-28",36.689999
"49","2018-08-29",35.599998
"50","2018-08-30",34.75
"51","2018-08-31",34.349998
"52","2018-09-04",32.650002
"53","2018-09-05",31.790001
"54","2018-09-06",32.650002
"55","2018-09-07",33.240002
"56","2018-09-10",33.02
"57","2018-09-11",35.439999
"58","2018-09-12",36.84
"59","2018-09-13",36.73
"60","2018-09-14",39.630001
"61","2018-09-17",41.310001
"62","2018-09-18",41.5
"63","2018-09-19",45
"64","2018-09-20",48
"65","2018-09-21",49.25
"66","2018-09-24",50.139999
"67","2018-09-25",52.259998
"68","2018-09-26",52.700001
"69","2018-09-27",52.59
"70","2018-09-28",51.869999
"71","2018-10-01",25.129999
"72","2018-10-02",20.48
"73","2018-10-03",23.540001
"74","2018-10-04",23.379999
"75","2018-10-05",24.889999
"76","2018-10-08",25.549999
"77","2018-10-09",24.16
"78","2018-10-10",23.75
"79","2018-10-11",23.610001
"80","2018-10-12",25.17
"81","2018-10-15",26.4
"82","2018-10-16",29.120001
"83","2018-10-17",30.530001
"84","2018-10-18",28.719999
"85","2018-10-19",27.440001
"86","2018-10-22",27.74
"87","2018-10-23",28.83
"88","2018-10-24",30.059999
"89","2018-10-25",32.700001
"90","2018-10-26",30.23
"91","2018-10-29",29.18
"92","2018-10-30",28.780001
"93","2018-10-31",30.059999
"94","2018-11-01",29.610001
"95","2018-11-02",29.4
"96","2018-11-05",29.780001
"97","2018-11-06",29.84
"98","2018-11-07",29.74
"99","2018-11-08",30.139999
"100","2018-11-09",28.57
"101","2018-11-12",28.32
"102","2018-11-13",29.959999
"103","2018-11-14",29.379999
"104","2018-11-15",28
"105","2018-11-16",26.870001
"106","2018-11-19",24.1
"107","2018-11-20",22.059999
"108","2018-11-21",24.08
"109","2018-11-23",24.75
"110","2018-11-26",26.190001
"111","2018-11-27",25.08
"112","2018-11-28",24.280001
"113","2018-11-29",25.690001
"114","2018-11-30",26.790001
"115","2018-12-03",26.75
"116","2018-12-04",26.83
"117","2018-12-06",27.26
"118","2018-12-07",25.120001
"119","2018-12-10",23.67
"120","2018-12-11",24.58
"121","2018-12-12",24.370001
"122","2018-12-13",24.93
"123","2018-12-14",24.379999
"124","2018-12-17",21.76
"125","2018-12-18",21.33
"126","2018-12-19",19.65
"127","2018-12-20",17.99
"128","2018-12-21",15.81
"129","2018-12-24",15.43
"130","2018-12-26",16.469999
"131","2018-12-27",17.219999
"132","2018-12-28",16.75
"133","2018-12-31",16.65
"134","2019-01-02",15.65
"135","2019-01-03",16
"136","2019-01-04",16.719999
"137","2019-01-07",15.78
"138","2019-01-08",13.04
"139","2019-01-09",14.08
"140","2019-01-10",14
"141","2019-01-11",13.92
"142","2019-01-14",14.05
"143","2019-01-15",14.3
"144","2019-01-16",13.7
"145","2019-01-17",12.62
"146","2019-01-18",13.36
"147","2019-01-22",13.5
"148","2019-01-23",14.24
"149","2019-01-24",13.19
"150","2019-01-25",12.71
"151","2019-01-28",12.5
"152","2019-01-29",12.9
"153","2019-01-30",12.95
"154","2019-01-31",12.46
"155","2019-02-01",13.42
"156","2019-02-04",14.15
"157","2019-02-05",15.65
"158","2019-02-06",15.16
"159","2019-02-07",14.28
"160","2019-02-08",13.87
"161","2019-02-11",13.89
"162","2019-02-12",14.36
"163","2019-02-13",13.73
"164","2019-02-14",14.68
"165","2019-02-15",15.3
"166","2019-02-19",15.5
"167","2019-02-20",15.01
"168","2019-02-21",14.42
"169","2019-02-22",13.96
"170","2019-02-25",16.98
"171","2019-02-26",17.120001
"172","2019-02-27",16.700001
"173","2019-02-28",16.66
"174","2019-03-01",17.629999
"175","2019-03-04",15.97
"176","2019-03-05",15
"177","2019-03-06",13.98
"178","2019-03-07",13.32
"179","2019-03-08",13.55
"180","2019-03-11",13.95
"181","2019-03-12",13.93
"182","2019-03-13",14.21
"183","2019-03-14",14.91
"184","2019-03-15",15.68
"185","2019-03-18",17.629999
"186","2019-03-19",18.6
"187","2019-03-20",18.629999
"188","2019-03-21",19.030001
"189","2019-03-22",18.200001
"190","2019-03-25",17.780001
"191","2019-03-26",18.02
"192","2019-03-27",19.950001
"193","2019-03-28",20.76
"194","2019-03-29",22.049999
"195","2019-04-01",22.040001
"196","2019-04-02",22.309999
"197","2019-04-03",24.299999
"198","2019-04-04",24.42
"199","2019-04-05",26.959999
"200","2019-04-08",27.290001
"201","2019-04-09",24.68
"202","2019-04-10",22.09
"203","2019-04-11",21.950001
"204","2019-04-12",21.629999
"205","2019-04-15",20.709999
"206","2019-04-16",20.690001
"207","2019-04-17",20.02
"208","2019-04-18",20.18
"209","2019-04-22",19.620001
"210","2019-04-23",20.040001
"211","2019-04-24",20
"212","2019-04-25",19.93
"213","2019-04-26",19.879999
"214","2019-04-29",19.35
"215","2019-04-30",18.809999
"216","2019-05-01",18.4
"217","2019-05-02",18.530001
"218","2019-05-03",19.01
"219","2019-05-06",19.4
"220","2019-05-07",18.58
"221","2019-05-08",21.08
"222","2019-05-09",19.6
"223","2019-05-10",19.540001
"224","2019-05-13",19.16
"225","2019-05-14",18.209999
"226","2019-05-15",18.4
"227","2019-05-16",19.59
"228","2019-05-17",17.889999
"229","2019-05-20",17.92
"230","2019-05-21",16.120001
"231","2019-05-22",15.76
"232","2019-05-23",15.77
"233","2019-05-24",15.58
"234","2019-05-28",15.59
"235","2019-05-29",15.04
"236","2019-05-30",14.67
"237","2019-05-31",14.16
"238","2019-06-03",14.36
"239","2019-06-04",14.64
"240","2019-06-05",14.34
"241","2019-06-06",14.05
"242","2019-06-07",14.26
"243","2019-06-10",14.04
"244","2019-06-11",13.6
"245","2019-06-12",13.46
"246","2019-06-13",13.83
"247","2019-06-14",13.54
"248","2019-06-17",13.5
"249","2019-06-18",13.21
"250","2019-06-19",14.61
"251","2019-06-20",14.58
"252","2019-06-21",14.9
"253","2019-06-24",14.83
"254","2019-06-25",15.51
