"","date","SWM"
"1","2007-01-03",12.99
"2","2007-01-04",12.99
"3","2007-01-05",12.69
"4","2007-01-08",12.715
"5","2007-01-09",12.985
"6","2007-01-10",12.975
"7","2007-01-11",13.075
"8","2007-01-12",13.095
"9","2007-01-16",13.265
"10","2007-01-17",13.285
"11","2007-01-18",13.35
"12","2007-01-19",13.565
"13","2007-01-22",13.38
"14","2007-01-23",13.47
"15","2007-01-24",13.485
"16","2007-01-25",12.54
"17","2007-01-26",12.23
"18","2007-01-29",12.19
"19","2007-01-30",12.19
"20","2007-01-31",12.145
"21","2007-02-01",12.295
"22","2007-02-02",12.355
"23","2007-02-05",12.305
"24","2007-02-06",12.455
"25","2007-02-07",12.415
"26","2007-02-08",12.345
"27","2007-02-09",12.055
"28","2007-02-12",12.12
"29","2007-02-13",12.235
"30","2007-02-14",12.215
"31","2007-02-15",12.37
"32","2007-02-16",12.51
"33","2007-02-20",12.595
"34","2007-02-21",12.495
"35","2007-02-22",12.605
"36","2007-02-23",12.56
"37","2007-02-26",12.61
"38","2007-02-27",12.21
"39","2007-02-28",11.93
"40","2007-03-01",11.715
"41","2007-03-02",11.44
"42","2007-03-05",11.425
"43","2007-03-06",11.87
"44","2007-03-07",11.68
"45","2007-03-08",11.71
"46","2007-03-09",11.71
"47","2007-03-12",11.73
"48","2007-03-13",11.475
"49","2007-03-14",11.535
"50","2007-03-15",11.79
"51","2007-03-16",11.595
"52","2007-03-19",11.755
"53","2007-03-20",12.155
"54","2007-03-21",12.355
"55","2007-03-22",12.36
"56","2007-03-23",12.255
"57","2007-03-26",12.36
"58","2007-03-27",12.36
"59","2007-03-28",12.265
"60","2007-03-29",12.2
"61","2007-03-30",12.425
"62","2007-04-02",12.825
"63","2007-04-03",13.42
"64","2007-04-04",13.015
"65","2007-04-05",13.16
"66","2007-04-09",13.155
"67","2007-04-10",13.37
"68","2007-04-11",13.1
"69","2007-04-12",13.475
"70","2007-04-13",13.5
"71","2007-04-16",13.51
"72","2007-04-17",13.865
"73","2007-04-18",13.73
"74","2007-04-19",13.785
"75","2007-04-20",14.18
"76","2007-04-23",14.035
"77","2007-04-24",13.885
