"","date","ISSC"
"1","2007-01-03",16.620001
"2","2007-01-04",16.700001
"3","2007-01-05",16.65
"4","2007-01-08",16.709999
"5","2007-01-09",16.76
"6","2007-01-10",16.309999
"7","2007-01-11",16.4
"8","2007-01-12",17.93
"9","2007-01-16",18.58
"10","2007-01-17",19.24
"11","2007-01-18",18.549999
"12","2007-01-19",19.059999
"13","2007-01-22",18.700001
"14","2007-01-23",19.4
"15","2007-01-24",19.16
"16","2007-01-25",18.43
"17","2007-01-26",19.030001
"18","2007-01-29",18.629999
"19","2007-01-30",20.049999
"20","2007-01-31",18.969999
"21","2007-02-01",18.559999
"22","2007-02-02",19.41
"23","2007-02-05",18.98
"24","2007-02-06",19.33
"25","2007-02-07",19.790001
"26","2007-02-08",19.709999
"27","2007-02-09",19.85
"28","2007-02-12",19.49
"29","2007-02-13",19.83
"30","2007-02-14",19.85
"31","2007-02-15",20.469999
"32","2007-02-16",21.120001
"33","2007-02-20",21.280001
"34","2007-02-21",20.879999
"35","2007-02-22",21.209999
"36","2007-02-23",21.66
"37","2007-02-26",21.85
"38","2007-02-27",21.32
"39","2007-02-28",20.889999
"40","2007-03-01",20.09
"41","2007-03-02",19.530001
"42","2007-03-05",19.35
"43","2007-03-06",23.1
"44","2007-03-07",23.459999
"45","2007-03-08",24.1
"46","2007-03-09",24.299999
"47","2007-03-12",24.66
"48","2007-03-13",24.360001
"49","2007-03-14",24.26
"50","2007-03-15",24.5
"51","2007-03-16",24.66
"52","2007-03-19",25.690001
"53","2007-03-20",26.49
"54","2007-03-21",26.690001
"55","2007-03-22",26.209999
"56","2007-03-23",26.65
"57","2007-03-26",26.23
"58","2007-03-27",25.68
"59","2007-03-28",25.15
"60","2007-03-29",25.110001
"61","2007-03-30",25.32
"62","2007-04-02",25.77
"63","2007-04-03",25.790001
"64","2007-04-04",25.68
"65","2007-04-05",26.49
"66","2007-04-09",26
"67","2007-04-10",25.9
"68","2007-04-11",25.76
"69","2007-04-12",25.98
"70","2007-04-13",25.860001
"71","2007-04-16",26.82
"72","2007-04-17",26.719999
"73","2007-04-18",26.01
"74","2007-04-19",25.6
"75","2007-04-20",26.09
"76","2007-04-23",25.75
"77","2007-04-24",25.16
"78","2007-04-25",24.4
"79","2007-04-26",28.540001
"80","2007-04-27",28.17
"81","2007-04-30",27.139999
"82","2007-05-01",26.620001
"83","2007-05-02",26.629999
"84","2007-05-03",26.91
"85","2007-05-04",26.700001
"86","2007-05-07",26.879999
"87","2007-05-08",25.620001
"88","2007-05-09",26.870001
"89","2007-05-10",26.950001
"90","2007-05-11",26.57
"91","2007-05-14",25.450001
"92","2007-05-15",25.5
"93","2007-05-16",25.57
"94","2007-05-17",25.540001
"95","2007-05-18",26.030001
"96","2007-05-21",26.969999
"97","2007-05-22",26.459999
"98","2007-05-23",26.790001
"99","2007-05-24",26.440001
"100","2007-05-25",25.83
"101","2007-05-29",26.23
