"","date","EXPC"
"1","2019-11-05",9.75
"2","2019-11-06",9.75
"3","2019-11-07",9.77
"4","2019-11-08",9.75
"5","2019-11-11",9.75
"6","2019-11-12",9.75
"7","2019-11-13",9.75
"8","2019-11-14",9.73
"9","2019-11-15",9.73
"10","2019-11-18",9.72
"11","2019-11-19",9.78
"12","2019-11-20",9.78
"13","2019-11-21",9.78
"14","2019-11-22",9.78
"15","2019-11-25",9.78
"16","2019-11-26",9.78
"17","2019-11-27",9.78
"18","2019-11-29",9.78
"19","2019-12-02",9.78
"20","2019-12-03",9.78
"21","2019-12-04",9.79
"22","2019-12-05",9.79
"23","2019-12-06",9.8
"24","2019-12-09",9.8
"25","2019-12-10",9.8
"26","2019-12-11",9.82
"27","2019-12-12",9.82
"28","2019-12-13",9.82
"29","2019-12-16",9.85
"30","2019-12-17",9.85
"31","2019-12-18",9.83
"32","2019-12-19",9.83
"33","2019-12-20",9.83
"34","2019-12-23",9.83
"35","2019-12-24",9.83
"36","2019-12-26",9.83
"37","2019-12-27",9.83
"38","2019-12-30",9.83
"39","2019-12-31",9.83
"40","2020-01-02",9.83
"41","2020-01-03",9.87
"42","2020-01-06",9.88
"43","2020-01-07",9.88
"44","2020-01-08",9.92
"45","2020-01-09",10.02
"46","2020-01-10",10
"47","2020-01-13",10
"48","2020-01-14",10
"49","2020-01-15",10
"50","2020-01-16",10
"51","2020-01-17",10
"52","2020-01-21",10
"53","2020-01-22",10.02
"54","2020-01-23",10.02
"55","2020-01-24",10.02
"56","2020-01-27",10
"57","2020-01-28",10
"58","2020-01-29",10
"59","2020-01-30",10.02
"60","2020-01-31",10
"61","2020-02-03",10
"62","2020-02-04",10.02
"63","2020-02-05",10.02
"64","2020-02-06",10.02
"65","2020-02-07",10.01
"66","2020-02-10",9.97
"67","2020-02-11",9.97
"68","2020-02-12",9.97
"69","2020-02-13",10
"70","2020-02-14",10
"71","2020-02-18",10
"72","2020-02-19",10
"73","2020-02-20",10
"74","2020-02-21",10
"75","2020-02-24",10
"76","2020-02-25",10
"77","2020-02-26",10
"78","2020-02-27",10
"79","2020-02-28",9.95
"80","2020-03-02",9.95
"81","2020-03-03",9.94
"82","2020-03-04",9.94
"83","2020-03-05",10.05
"84","2020-03-06",10.04
"85","2020-03-09",10.04
"86","2020-03-10",10
"87","2020-03-11",9.96
"88","2020-03-12",9.899
"89","2020-03-13",9.72
"90","2020-03-16",9.72
"91","2020-03-17",9.55
"92","2020-03-18",9.59
"93","2020-03-19",9.36
"94","2020-03-20",9.7
"95","2020-03-23",9.7
"96","2020-03-24",9.98
"97","2020-03-25",9.98
"98","2020-03-26",9.98
"99","2020-03-27",9.96
"100","2020-03-30",9.68
"101","2020-03-31",9.67
"102","2020-04-01",10
"103","2020-04-02",9.845
"104","2020-04-03",9.845
"105","2020-04-06",9.85
"106","2020-04-07",9.85
"107","2020-04-08",9.85
"108","2020-04-09",9.85
"109","2020-04-13",9.89
"110","2020-04-14",9.84
"111","2020-04-15",9.84
"112","2020-04-16",9.84
"113","2020-04-17",9.775
"114","2020-04-20",9.775
"115","2020-04-21",9.775
"116","2020-04-22",9.775
"117","2020-04-23",9.775
"118","2020-04-24",9.8
"119","2020-04-27",9.8
"120","2020-04-28",9.8
"121","2020-04-29",9.785
"122","2020-04-30",9.72
"123","2020-05-01",9.73
"124","2020-05-04",9.78
"125","2020-05-05",9.78
"126","2020-05-06",9.78
"127","2020-05-07",9.8
"128","2020-05-08",9.7
"129","2020-05-11",9.7
"130","2020-05-12",9.7
"131","2020-05-13",9.7
"132","2020-05-14",9.8
"133","2020-05-15",9.8
"134","2020-05-18",9.8
"135","2020-05-19",9.8
"136","2020-05-20",9.79
"137","2020-05-21",9.78
"138","2020-05-22",9.8
"139","2020-05-26",9.77
"140","2020-05-27",9.77
"141","2020-05-28",9.77
"142","2020-05-29",9.75
"143","2020-06-01",9.775
"144","2020-06-02",9.8
"145","2020-06-03",9.8
"146","2020-06-04",9.77
"147","2020-06-05",9.84
"148","2020-06-08",9.83
"149","2020-06-09",9.83
"150","2020-06-10",9.83
"151","2020-06-11",9.83
"152","2020-06-12",9.83
"153","2020-06-15",9.85
"154","2020-06-16",9.86
"155","2020-06-17",9.86
"156","2020-06-18",9.86
"157","2020-06-19",9.87
"158","2020-06-22",9.88
"159","2020-06-23",9.88
"160","2020-06-24",9.9
"161","2020-06-25",9.98
"162","2020-06-26",9.9
"163","2020-06-29",9.9
"164","2020-06-30",9.97
"165","2020-07-01",10.04
"166","2020-07-02",9.96
"167","2020-07-06",10.07
"168","2020-07-07",10.04
"169","2020-07-08",10.05
"170","2020-07-09",10.05
"171","2020-07-10",10.05
"172","2020-07-13",10.12
"173","2020-07-14",10.12
"174","2020-07-15",10.12
"175","2020-07-16",10.19
"176","2020-07-17",10.15
"177","2020-07-20",10.15
"178","2020-07-21",10.25
"179","2020-07-22",10.2
"180","2020-07-23",10.15
"181","2020-07-24",10.13
"182","2020-07-27",10.346
"183","2020-07-28",10.43
"184","2020-07-29",10.43
"185","2020-07-30",10.2
"186","2020-07-31",10.1
"187","2020-08-03",10.157
"188","2020-08-04",10.157
"189","2020-08-05",10.1
"190","2020-08-06",10.1
"191","2020-08-07",10.1
"192","2020-08-10",10.09
"193","2020-08-11",10.07
"194","2020-08-12",10.1
"195","2020-08-13",10.1
"196","2020-08-14",10.1
"197","2020-08-17",10.1
"198","2020-08-18",10.08
"199","2020-08-19",10.01
"200","2020-08-20",10.02
"201","2020-08-21",10.03
"202","2020-08-24",10.03
"203","2020-08-25",10.03
"204","2020-08-26",10.08
"205","2020-08-27",9.95
"206","2020-08-28",9.99
"207","2020-08-31",9.96
"208","2020-09-01",10.03
"209","2020-09-02",10.03
"210","2020-09-03",10
"211","2020-09-04",10.08
"212","2020-09-08",10.05
"213","2020-09-09",10.08
"214","2020-09-10",10.08
"215","2020-09-11",10.09
"216","2020-09-14",10.1
"217","2020-09-15",10.1
"218","2020-09-16",10.1
"219","2020-09-17",10.1
"220","2020-09-18",10.11
"221","2020-09-21",10.1
"222","2020-09-22",10.1
"223","2020-09-23",10.1
"224","2020-09-24",10.1
"225","2020-09-25",10.1
"226","2020-09-28",10.1
"227","2020-09-29",10.11
"228","2020-09-30",10.05
"229","2020-10-01",10.17
"230","2020-10-02",10.06
"231","2020-10-05",10.06
"232","2020-10-06",10.08
"233","2020-10-07",10.075
"234","2020-10-08",10.01
"235","2020-10-09",10.02
"236","2020-10-12",10.02
"237","2020-10-13",10
"238","2020-10-14",10.01
"239","2020-10-15",9.99
"240","2020-10-16",9.99
"241","2020-10-19",9.99
"242","2020-10-20",9.99
"243","2020-10-21",9.99
"244","2020-10-22",9.99
"245","2020-10-23",9.99
"246","2020-10-26",9.98
"247","2020-10-27",9.97
"248","2020-10-28",9.97
"249","2020-10-29",9.97
"250","2020-10-30",9.9
"251","2020-11-02",9.9
"252","2020-11-03",9.95
"253","2020-11-04",9.95
"254","2020-11-05",9.95
"255","2020-11-06",9.95
"256","2020-11-09",9.93
"257","2020-11-10",9.93
"258","2020-11-11",9.92
"259","2020-11-12",9.92
"260","2020-11-13",9.92
"261","2020-11-16",9.95
"262","2020-11-17",9.94
"263","2020-11-18",9.94
"264","2020-11-19",9.96
"265","2020-11-20",9.95
"266","2020-11-23",9.95
"267","2020-11-24",9.99
"268","2020-11-25",10.07
"269","2020-11-27",10
