"","date","RESI"
"1","2012-12-24",17.75
"2","2012-12-26",16.950001
"3","2012-12-27",16.200001
"4","2012-12-28",16.290001
"5","2012-12-31",15.84
"6","2013-01-02",15.63
"7","2013-01-03",15.68
"8","2013-01-04",15.5
"9","2013-01-07",15.35
"10","2013-01-08",15.9
"11","2013-01-09",17.83
"12","2013-01-10",17.540001
"13","2013-01-11",18.4
"14","2013-01-14",18.379999
"15","2013-01-15",18.24
"16","2013-01-16",16.629999
"17","2013-01-17",17.35
"18","2013-01-18",17.879999
"19","2013-01-22",18.059999
"20","2013-01-23",18.01
"21","2013-01-24",18
"22","2013-01-25",18.1
"23","2013-01-28",18.299999
"24","2013-01-29",18.59
"25","2013-01-30",18.719999
"26","2013-01-31",18
"27","2013-02-01",18.549999
"28","2013-02-04",18.42
"29","2013-02-05",18.559999
"30","2013-02-06",18.620001
"31","2013-02-07",18.57
"32","2013-02-08",18.35
"33","2013-02-11",18.049999
"34","2013-02-12",18
"35","2013-02-13",17.59
"36","2013-02-14",17.34
"37","2013-02-15",17.110001
"38","2013-02-19",16.440001
"39","2013-02-20",16.16
"40","2013-02-21",16
"41","2013-02-22",17.120001
"42","2013-02-25",17.120001
"43","2013-02-26",17.139999
"44","2013-02-27",17.41
"45","2013-02-28",19.040001
"46","2013-03-01",20
"47","2013-03-04",20.5
"48","2013-03-05",20.51
"49","2013-03-06",20.07
"50","2013-03-07",20.01
"51","2013-03-08",20.049999
"52","2013-03-11",20.33
"53","2013-03-12",20.35
"54","2013-03-13",20.030001
"55","2013-03-14",20.299999
"56","2013-03-15",20.09
"57","2013-03-18",20.309999
"58","2013-03-19",20.15
"59","2013-03-20",20.459999
"60","2013-03-21",20.440001
"61","2013-03-22",20.110001
"62","2013-03-25",19.459999
"63","2013-03-26",19.190001
"64","2013-03-27",19.65
"65","2013-03-28",20
"66","2013-04-01",19.76
"67","2013-04-02",19.540001
"68","2013-04-03",19.049999
"69","2013-04-04",19.4
"70","2013-04-05",20
"71","2013-04-08",19.91
"72","2013-04-09",19.99
"73","2013-04-10",19.83
"74","2013-04-11",19.790001
"75","2013-04-12",19.57
"76","2013-04-15",18.98
