"","date","SQFT"
"1","2020-10-07",4.6
"2","2020-10-08",4.74
"3","2020-10-09",4.69
"4","2020-10-12",3.93
"5","2020-10-13",4
"6","2020-10-14",4.097
"7","2020-10-15",4.16
"8","2020-10-16",4.116
"9","2020-10-19",4.43
"10","2020-10-20",4.13
"11","2020-10-21",4.08
"12","2020-10-22",3.96
"13","2020-10-23",4.05
"14","2020-10-26",3.95
"15","2020-10-27",4.08
"16","2020-10-28",3.9
"17","2020-10-29",3.9
"18","2020-10-30",3.9
"19","2020-11-02",4.03
"20","2020-11-03",3.85
"21","2020-11-04",3.76
"22","2020-11-05",3
"23","2020-11-06",3.276
"24","2020-11-09",3.71
"25","2020-11-10",3.304
"26","2020-11-11",3.35
"27","2020-11-12",3.29
"28","2020-11-13",3.4
"29","2020-11-16",3.51
"30","2020-11-17",3.48
"31","2020-11-18",3.55
"32","2020-11-19",3.48
"33","2020-11-20",3.43
"34","2020-11-23",3.33
"35","2020-11-24",3.31
"36","2020-11-25",3
"37","2020-11-27",2.83
