"","date","IPOC"
"1","2020-06-12",10.2
"2","2020-06-15",10.33
"3","2020-06-16",10.4
"4","2020-06-17",10.5
"5","2020-06-18",10.6
"6","2020-06-19",10.6
"7","2020-06-22",11.02
"8","2020-06-23",11.08
"9","2020-06-24",10.95
"10","2020-06-25",10.99
"11","2020-06-26",10.94
"12","2020-06-29",11.03
"13","2020-06-30",11.18
"14","2020-07-01",10.96
"15","2020-07-02",10.85
"16","2020-07-06",10.94
"17","2020-07-07",10.84
"18","2020-07-08",10.82
"19","2020-07-09",10.99
"20","2020-07-10",11.23
"21","2020-07-13",11.1
"22","2020-07-14",10.97
"23","2020-07-15",10.99
"24","2020-07-16",10.95
"25","2020-07-17",11.05
"26","2020-07-20",11.16
"27","2020-07-21",11.13
"28","2020-07-22",11.2
"29","2020-07-23",11.02
"30","2020-07-24",11.07
"31","2020-07-27",11.07
"32","2020-07-28",11
"33","2020-07-29",10.85
"34","2020-07-30",10.65
"35","2020-07-31",10.55
"36","2020-08-03",10.6
"37","2020-08-04",10.58
"38","2020-08-05",10.65
"39","2020-08-06",10.6
"40","2020-08-07",10.5
"41","2020-08-10",10.49
"42","2020-08-11",10.5
"43","2020-08-12",10.51
"44","2020-08-13",10.5
"45","2020-08-14",10.5
"46","2020-08-17",10.57
"47","2020-08-18",10.49
"48","2020-08-19",10.48
"49","2020-08-20",10.39
"50","2020-08-21",10.5
"51","2020-08-24",10.59
"52","2020-08-25",10.55
"53","2020-08-26",10.45
"54","2020-08-27",10.42
"55","2020-08-28",10.43
"56","2020-08-31",10.5
"57","2020-09-01",10.56
"58","2020-09-02",10.69
"59","2020-09-03",10.72
"60","2020-09-04",10.95
"61","2020-09-08",11.1
"62","2020-09-09",11.1
"63","2020-09-10",11.2
"64","2020-09-11",11.58
"65","2020-09-14",11.75
"66","2020-09-15",12.15
"67","2020-09-16",12.2
"68","2020-09-17",12.4
"69","2020-09-18",12.56
"70","2020-09-21",11.93
"71","2020-09-22",12
"72","2020-09-23",11.66
"73","2020-09-24",11.65
"74","2020-09-25",11.98
"75","2020-09-28",12.4
"76","2020-09-29",13.14
"77","2020-09-30",12.46
"78","2020-10-01",12.94
"79","2020-10-02",12.93
"80","2020-10-05",12.68
"81","2020-10-06",10.97
"82","2020-10-07",10.7
"83","2020-10-08",10.6
"84","2020-10-09",10.57
"85","2020-10-12",10.68
"86","2020-10-13",10.59
"87","2020-10-14",10.52
"88","2020-10-15",10.47
"89","2020-10-16",10.68
"90","2020-10-19",10.64
"91","2020-10-20",10.35
"92","2020-10-21",10.22
"93","2020-10-22",10.15
"94","2020-10-23",10.2
"95","2020-10-26",10.1
"96","2020-10-27",10.08
"97","2020-10-28",9.99
"98","2020-10-29",9.98
"99","2020-10-30",10.02
"100","2020-11-02",9.98
"101","2020-11-03",9.99
"102","2020-11-04",10.06
"103","2020-11-05",10.08
"104","2020-11-06",10.03
"105","2020-11-09",10.03
"106","2020-11-10",9.98
"107","2020-11-11",9.95
"108","2020-11-12",9.94
"109","2020-11-13",9.97
"110","2020-11-16",9.99
"111","2020-11-17",10
"112","2020-11-18",9.98
"113","2020-11-19",9.99
"114","2020-11-20",10.04
"115","2020-11-23",10.01
"116","2020-11-24",10.01
"117","2020-11-25",10.29
"118","2020-11-27",10.27
