"","date","HPK"
"1","2020-02-24",10.45
"2","2020-02-25",10.5
"3","2020-02-26",10.44
"4","2020-02-27",10.47
"5","2020-02-28",10.46
"6","2020-03-02",10.44
"7","2020-03-03",10.44
"8","2020-03-04",10.47
"9","2020-03-05",10.47
"10","2020-03-06",10.49
"11","2020-03-09",10.5
"12","2020-03-10",10.42
"13","2020-03-11",10.5
"14","2020-03-12",10.48
"15","2020-03-13",10.4
"16","2020-03-16",10.46
"17","2020-03-17",10.4
"18","2020-03-18",10.4
"19","2020-03-19",10.25
"20","2020-03-20",10.3
"21","2020-03-23",10.32
"22","2020-03-24",10.3
"23","2020-03-25",10.35
"24","2020-03-26",10.37
"25","2020-03-27",10.37
"26","2020-03-30",10.39
"27","2020-03-31",10.39
"28","2020-04-01",10.442
"29","2020-04-02",10.442
"30","2020-04-03",10.46
"31","2020-04-06",10.47
"32","2020-04-07",10.49
"33","2020-04-08",10.46
"34","2020-04-09",10.47
"35","2020-04-13",10.48
"36","2020-04-14",10.48
"37","2020-04-15",10.48
"38","2020-04-16",10.47
"39","2020-04-17",10.48
"40","2020-04-20",10.48
"41","2020-04-21",10.48
"42","2020-04-22",10.48
"43","2020-04-23",10.48
"44","2020-04-24",10.5
"45","2020-04-27",10.49
"46","2020-04-28",10.48
"47","2020-04-29",10.5
"48","2020-04-30",10.48
"49","2020-05-01",10.48
"50","2020-05-04",10.5
"51","2020-05-05",10.5
"52","2020-05-06",10.5
"53","2020-05-07",10.48
"54","2020-05-08",10.48
"55","2020-05-11",10.5
"56","2020-05-12",10.56
"57","2020-05-13",10.45
"58","2020-05-14",10.43
"59","2020-05-15",10.43
"60","2020-05-18",10.47
"61","2020-05-19",10.43
"62","2020-05-20",10.64
"63","2020-05-21",10.47
"64","2020-05-22",10.47
"65","2020-05-26",10.43
"66","2020-05-27",10.6
"67","2020-05-28",10.81
"68","2020-05-29",NA
"69","2020-06-01",NA
"70","2020-06-02",NA
"71","2020-06-03",NA
"72","2020-06-04",NA
"73","2020-06-05",NA
"74","2020-06-08",NA
"75","2020-06-09",NA
"76","2020-06-10",NA
"77","2020-06-11",NA
"78","2020-06-12",NA
"79","2020-06-15",NA
"80","2020-06-16",NA
"81","2020-06-17",NA
"82","2020-06-18",NA
"83","2020-06-19",NA
"84","2020-06-22",NA
"85","2020-06-23",NA
"86","2020-06-24",NA
"87","2020-06-25",NA
"88","2020-06-26",NA
"89","2020-06-29",NA
"90","2020-06-30",NA
"91","2020-07-01",NA
"92","2020-07-02",NA
"93","2020-07-06",NA
"94","2020-07-07",NA
"95","2020-07-08",NA
"96","2020-07-09",NA
"97","2020-07-10",NA
"98","2020-07-13",NA
"99","2020-07-14",NA
"100","2020-07-15",NA
"101","2020-07-16",NA
"102","2020-07-17",NA
"103","2020-07-20",NA
"104","2020-07-21",NA
"105","2020-07-22",NA
"106","2020-07-23",NA
"107","2020-07-24",NA
"108","2020-07-27",NA
"109","2020-07-28",NA
"110","2020-07-29",NA
"111","2020-07-30",NA
"112","2020-07-31",NA
"113","2020-08-03",NA
"114","2020-08-04",NA
"115","2020-08-05",NA
"116","2020-08-06",NA
"117","2020-08-07",NA
"118","2020-08-10",NA
"119","2020-08-11",NA
"120","2020-08-12",NA
"121","2020-08-13",NA
"122","2020-08-14",NA
"123","2020-08-17",NA
"124","2020-08-18",NA
"125","2020-08-19",NA
"126","2020-08-20",NA
"127","2020-08-21",NA
"128","2020-08-24",6.8
"129","2020-08-25",7.5
"130","2020-08-26",7.818
"131","2020-08-27",7.755
"132","2020-08-28",7.49
"133","2020-08-31",7.25
"134","2020-09-01",7.17
"135","2020-09-02",7.455
"136","2020-09-03",7
"137","2020-09-04",7.225
"138","2020-09-08",7.77
"139","2020-09-09",7.08
"140","2020-09-10",7.29
"141","2020-09-11",7.15
"142","2020-09-14",6.76
"143","2020-09-15",7.16
"144","2020-09-16",7.13
"145","2020-09-17",7.05
"146","2020-09-18",6.73
"147","2020-09-21",7.03
"148","2020-09-22",7.02
"149","2020-09-23",7.02
"150","2020-09-24",7.02
"151","2020-09-25",7.01
"152","2020-09-28",6.9
"153","2020-09-29",7.05
"154","2020-09-30",7.05
"155","2020-10-01",6.9
"156","2020-10-02",6.89
"157","2020-10-05",7.03
"158","2020-10-06",7.03
"159","2020-10-07",7.19
"160","2020-10-08",6.6
"161","2020-10-09",6.71
"162","2020-10-12",6.54
"163","2020-10-13",6.6
"164","2020-10-14",6.01
"165","2020-10-15",6.03
"166","2020-10-16",5.63
"167","2020-10-19",5.25
"168","2020-10-20",5
"169","2020-10-21",4.55
"170","2020-10-22",4.5
"171","2020-10-23",4.31
"172","2020-10-26",4.5
"173","2020-10-27",4.2
"174","2020-10-28",4.36
"175","2020-10-29",4.25
"176","2020-10-30",4.555
"177","2020-11-02",4.6
"178","2020-11-03",4.41
"179","2020-11-04",4.58
"180","2020-11-05",4.825
"181","2020-11-06",4.48
"182","2020-11-09",4.89
"183","2020-11-10",5.1
"184","2020-11-11",5
"185","2020-11-12",5.21
"186","2020-11-13",5.475
"187","2020-11-16",6
"188","2020-11-17",5.37
"189","2020-11-18",5.34
"190","2020-11-19",5.15
"191","2020-11-20",4.48
"192","2020-11-23",4.92
"193","2020-11-24",5.278
"194","2020-11-25",5.22
"195","2020-11-27",5.36
