"","date","CHUY"
"1","2012-07-24",15.06
"2","2012-07-25",15.82
"3","2012-07-26",16.709999
"4","2012-07-27",17.120001
"5","2012-07-30",17.65
"6","2012-07-31",17.690001
"7","2012-08-01",17.530001
"8","2012-08-02",17.92
"9","2012-08-03",18.299999
"10","2012-08-06",18.66
"11","2012-08-07",19.1
"12","2012-08-08",19.02
"13","2012-08-09",19.459999
"14","2012-08-10",19.690001
"15","2012-08-13",18.889999
"16","2012-08-14",18.67
"17","2012-08-15",17.610001
"18","2012-08-16",17.559999
"19","2012-08-17",17.530001
"20","2012-08-20",17.129999
"21","2012-08-21",17.41
"22","2012-08-22",17.299999
"23","2012-08-23",17.99
"24","2012-08-24",17.969999
"25","2012-08-27",18.5
"26","2012-08-28",18.610001
"27","2012-08-29",19.25
"28","2012-08-30",20.530001
"29","2012-08-31",20.620001
"30","2012-09-04",21.049999
"31","2012-09-05",21.75
"32","2012-09-06",23.07
"33","2012-09-07",23.82
"34","2012-09-10",22.870001
"35","2012-09-11",23.68
"36","2012-09-12",23.469999
"37","2012-09-13",23.66
"38","2012-09-14",23.690001
"39","2012-09-17",22.5
"40","2012-09-18",22.83
"41","2012-09-19",23
"42","2012-09-20",22.76
"43","2012-09-21",22.73
"44","2012-09-24",22.6
"45","2012-09-25",22.690001
"46","2012-09-26",23.48
"47","2012-09-27",24.33
"48","2012-09-28",24.52
"49","2012-10-01",27.25
"50","2012-10-02",28.26
"51","2012-10-03",27.860001
"52","2012-10-04",28
"53","2012-10-05",27.59
"54","2012-10-08",26.559999
"55","2012-10-09",24.82
"56","2012-10-10",24.73
"57","2012-10-11",24.77
"58","2012-10-12",23.93
"59","2012-10-15",23.82
"60","2012-10-16",23.940001
"61","2012-10-17",24.07
"62","2012-10-18",24.26
"63","2012-10-19",23.4
"64","2012-10-22",22.950001
"65","2012-10-23",23.67
"66","2012-10-24",23.030001
"67","2012-10-25",23.110001
"68","2012-10-26",23.18
"69","2012-10-31",24.43
"70","2012-11-01",25.41
"71","2012-11-02",25.15
"72","2012-11-05",25.16
"73","2012-11-06",24.190001
"74","2012-11-07",22.67
"75","2012-11-08",21.469999
"76","2012-11-09",21.440001
"77","2012-11-12",21.09
"78","2012-11-13",21.299999
"79","2012-11-14",21.030001
"80","2012-11-15",20.51
"81","2012-11-16",22.030001
"82","2012-11-19",21.82
"83","2012-11-20",22.27
"84","2012-11-21",23.290001
"85","2012-11-23",23.219999
"86","2012-11-26",22.92
"87","2012-11-27",22.98
"88","2012-11-28",24.639999
"89","2012-11-29",24.48
"90","2012-11-30",23.549999
"91","2012-12-03",23.27
"92","2012-12-04",23.299999
"93","2012-12-05",23.360001
"94","2012-12-06",23.6
"95","2012-12-07",23.82
"96","2012-12-10",23.860001
"97","2012-12-11",23.75
"98","2012-12-12",24.32
"99","2012-12-13",23.75
"100","2012-12-14",23.879999
"101","2012-12-17",23.709999
"102","2012-12-18",23.129999
"103","2012-12-19",23.01
"104","2012-12-20",22.98
"105","2012-12-21",22.469999
"106","2012-12-24",22.209999
"107","2012-12-26",22.639999
"108","2012-12-27",22.43
"109","2012-12-28",22.43
"110","2012-12-31",22.34
"111","2013-01-02",23.84
"112","2013-01-03",23.33
"113","2013-01-04",23.200001
"114","2013-01-07",22.91
"115","2013-01-08",23.08
"116","2013-01-09",22.940001
"117","2013-01-10",25.030001
"118","2013-01-11",25.110001
"119","2013-01-14",24.200001
"120","2013-01-15",24.190001
"121","2013-01-16",24.02
"122","2013-01-17",23.99
"123","2013-01-18",24.360001
"124","2013-01-22",24.360001
"125","2013-01-23",25.34
"126","2013-01-24",25.23
"127","2013-01-25",28.27
"128","2013-01-28",29.52
"129","2013-01-29",28.48
"130","2013-01-30",28.440001
"131","2013-01-31",28.379999
"132","2013-02-01",30.200001
"133","2013-02-04",28.889999
"134","2013-02-05",29.01
"135","2013-02-06",29.540001
"136","2013-02-07",29.280001
"137","2013-02-08",29.24
"138","2013-02-11",27.799999
"139","2013-02-12",28.16
"140","2013-02-13",28.950001
"141","2013-02-14",29.290001
"142","2013-02-15",28.120001
"143","2013-02-19",27.780001
"144","2013-02-20",28.4
"145","2013-02-21",27.940001
"146","2013-02-22",27.98
"147","2013-02-25",27.91
"148","2013-02-26",28.43
"149","2013-02-27",28.879999
"150","2013-02-28",28.51
