"","date","IAG"
"1","2007-01-03",8.52
"2","2007-01-04",8.34
"3","2007-01-05",8.32
"4","2007-01-08",8.44
"5","2007-01-09",8.43
"6","2007-01-10",8.38
"7","2007-01-11",8.3
"8","2007-01-12",8.6
"9","2007-01-16",8.65
"10","2007-01-17",8.65
"11","2007-01-18",8.6
"12","2007-01-19",8.83
"13","2007-01-22",8.73
"14","2007-01-23",8.86
"15","2007-01-24",8.81
"16","2007-01-25",8.65
"17","2007-01-26",8.37
"18","2007-01-29",8.34
"19","2007-01-30",8.41
"20","2007-01-31",8.82
"21","2007-02-01",8.78
"22","2007-02-02",8.65
"23","2007-02-05",8.7
"24","2007-02-06",8.72
"25","2007-02-07",8.59
"26","2007-02-08",8.54
"27","2007-02-09",8.58
"28","2007-02-12",8.59
"29","2007-02-13",8.65
"30","2007-02-14",8.81
"31","2007-02-15",8.84
"32","2007-02-16",8.71
"33","2007-02-20",9
"34","2007-02-21",9.35
"35","2007-02-22",9.1
"36","2007-02-23",8.99
"37","2007-02-26",8.94
"38","2007-02-27",8.4
"39","2007-02-28",8.41
"40","2007-03-01",8.19
"41","2007-03-02",7.84
"42","2007-03-05",7.62
"43","2007-03-06",7.88
"44","2007-03-07",7.75
"45","2007-03-08",7.73
"46","2007-03-09",7.69
"47","2007-03-12",7.65
"48","2007-03-13",7.54
"49","2007-03-14",7.58
"50","2007-03-15",7.6
"51","2007-03-16",7.54
"52","2007-03-19",7.41
"53","2007-03-20",7.44
"54","2007-03-21",7.8
"55","2007-03-22",7.83
"56","2007-03-23",7.86
"57","2007-03-26",7.93
"58","2007-03-27",7.93
"59","2007-03-28",7.87
"60","2007-03-29",7.93
"61","2007-03-30",7.7
"62","2007-04-02",7.8
"63","2007-04-03",7.72
"64","2007-04-04",8.11
"65","2007-04-05",8.26
"66","2007-04-09",8.11
"67","2007-04-10",8.23
"68","2007-04-11",8.08
"69","2007-04-12",8.12
"70","2007-04-13",8.15
"71","2007-04-16",8.27
"72","2007-04-17",8.19
"73","2007-04-18",8.07
"74","2007-04-19",7.89
"75","2007-04-20",7.93
"76","2007-04-23",7.93
"77","2007-04-24",7.76
"78","2007-04-25",7.63
"79","2007-04-26",7.92
"80","2007-04-27",8.06
"81","2007-04-30",8.12
"82","2007-05-01",8.03
"83","2007-05-02",7.96
"84","2007-05-03",8.01
"85","2007-05-04",7.88
"86","2007-05-07",7.78
"87","2007-05-08",7.71
"88","2007-05-09",7.71
"89","2007-05-10",7.49
"90","2007-05-11",7.5
"91","2007-05-14",7.29
"92","2007-05-15",7.07
"93","2007-05-16",6.91
"94","2007-05-17",6.94
"95","2007-05-18",7.09
"96","2007-05-21",7.14
"97","2007-05-22",7.05
"98","2007-05-23",7.21
"99","2007-05-24",6.78
"100","2007-05-25",6.76
"101","2007-05-29",6.78
"102","2007-05-30",7
"103","2007-05-31",7.29
"104","2007-06-01",7.67
"105","2007-06-04",7.68
"106","2007-06-05",7.62
"107","2007-06-06",7.41
"108","2007-06-07",7.41
"109","2007-06-08",7.43
"110","2007-06-11",7.49
"111","2007-06-12",7.23
"112","2007-06-13",7.24
"113","2007-06-14",7.37
"114","2007-06-15",7.58
"115","2007-06-18",7.6
"116","2007-06-19",7.84
"117","2007-06-20",7.72
"118","2007-06-21",7.67
"119","2007-06-22",7.76
"120","2007-06-25",7.56
"121","2007-06-26",7.25
"122","2007-06-27",7.38
"123","2007-06-28",7.59
"124","2007-06-29",7.66
"125","2007-07-02",7.61
"126","2007-07-03",7.62
"127","2007-07-05",7.72
"128","2007-07-06",7.85
"129","2007-07-09",8.27
"130","2007-07-10",8.35
"131","2007-07-11",8.28
"132","2007-07-12",8.41
"133","2007-07-13",8.39
"134","2007-07-16",8.27
"135","2007-07-17",8.24
"136","2007-07-18",8.51
"137","2007-07-19",8.78
"138","2007-07-20",8.72
"139","2007-07-23",8.77
"140","2007-07-24",8.56
"141","2007-07-25",8.59
"142","2007-07-26",8.36
"143","2007-07-27",8.2
"144","2007-07-30",8.27
"145","2007-07-31",8.29
"146","2007-08-01",8.25
