"","date","PRFT"
"1","2007-01-03",16.309999
"2","2007-01-04",17.08
"3","2007-01-05",16.860001
"4","2007-01-08",17.33
"5","2007-01-09",17.35
"6","2007-01-10",19.09
"7","2007-01-11",19.469999
"8","2007-01-12",19.92
"9","2007-01-16",19.700001
"10","2007-01-17",19.58
"11","2007-01-18",18.690001
"12","2007-01-19",19.34
"13","2007-01-22",20.139999
"14","2007-01-23",20.27
"15","2007-01-24",20.450001
"16","2007-01-25",20.379999
"17","2007-01-26",20.280001
"18","2007-01-29",20.85
"19","2007-01-30",20.540001
"20","2007-01-31",20.91
"21","2007-02-01",21.5
"22","2007-02-02",20.99
"23","2007-02-05",20.93
"24","2007-02-06",20.18
"25","2007-02-07",20.68
"26","2007-02-08",20.5
"27","2007-02-09",19.860001
"28","2007-02-12",19.860001
"29","2007-02-13",19.51
"30","2007-02-14",20.309999
"31","2007-02-15",20.370001
"32","2007-02-16",20.49
"33","2007-02-20",20.709999
"34","2007-02-21",20.389999
"35","2007-02-22",20.1
"36","2007-02-23",19.68
"37","2007-02-26",20.01
"38","2007-02-27",18.459999
"39","2007-02-28",19.43
"40","2007-03-01",19.299999
"41","2007-03-02",18.709999
"42","2007-03-05",18.25
"43","2007-03-06",19.07
"44","2007-03-07",18.709999
"45","2007-03-08",19.110001
"46","2007-03-09",19.700001
"47","2007-03-12",20.040001
"48","2007-03-13",19.709999
"49","2007-03-14",20.370001
"50","2007-03-15",20.049999
"51","2007-03-16",19.799999
"52","2007-03-19",20.290001
"53","2007-03-20",20.309999
"54","2007-03-21",20.73
"55","2007-03-22",20.719999
"56","2007-03-23",20.639999
"57","2007-03-26",20.33
"58","2007-03-27",19.99
"59","2007-03-28",20.02
"60","2007-03-29",19.889999
"61","2007-03-30",19.780001
"62","2007-04-02",20.389999
"63","2007-04-03",20.690001
"64","2007-04-04",22.4
"65","2007-04-05",22.1
"66","2007-04-09",22.799999
"67","2007-04-10",22.469999
"68","2007-04-11",22.24
"69","2007-04-12",22.549999
"70","2007-04-13",22.549999
"71","2007-04-16",23.030001
"72","2007-04-17",23.01
"73","2007-04-18",22.469999
"74","2007-04-19",22.16
"75","2007-04-20",22.1
"76","2007-04-23",21.950001
"77","2007-04-24",21.530001
"78","2007-04-25",21.5
"79","2007-04-26",21.200001
"80","2007-04-27",22.16
"81","2007-04-30",21.200001
"82","2007-05-01",21.41
"83","2007-05-02",21.780001
"84","2007-05-03",21.450001
"85","2007-05-04",21.639999
"86","2007-05-07",21.940001
"87","2007-05-08",22.450001
"88","2007-05-09",22.709999
"89","2007-05-10",21.530001
"90","2007-05-11",21.84
"91","2007-05-14",21
"92","2007-05-15",20.35
"93","2007-05-16",19.93
"94","2007-05-17",19.66
"95","2007-05-18",19.9
"96","2007-05-21",20.5
"97","2007-05-22",20.629999
"98","2007-05-23",20.440001
"99","2007-05-24",20.360001
"100","2007-05-25",20.690001
"101","2007-05-29",20.700001
"102","2007-05-30",20.540001
"103","2007-05-31",21
"104","2007-06-01",20.809999
"105","2007-06-04",20.559999
"106","2007-06-05",20.52
"107","2007-06-06",19.85
"108","2007-06-07",19.08
"109","2007-06-08",19.07
"110","2007-06-11",19.1
"111","2007-06-12",18.93
"112","2007-06-13",18.639999
"113","2007-06-14",18.620001
"114","2007-06-15",18.860001
"115","2007-06-18",18.75
"116","2007-06-19",19.4
"117","2007-06-20",20.1
"118","2007-06-21",20.75
"119","2007-06-22",20.459999
"120","2007-06-25",20.41
"121","2007-06-26",20.379999
"122","2007-06-27",21.16
"123","2007-06-28",20.719999
"124","2007-06-29",20.700001
"125","2007-07-02",21.280001
"126","2007-07-03",20.940001
"127","2007-07-05",20.530001
"128","2007-07-06",20.76
"129","2007-07-09",20.58
"130","2007-07-10",21.9
"131","2007-07-11",22.01
"132","2007-07-12",22.23
"133","2007-07-13",22.23
"134","2007-07-16",22.040001
"135","2007-07-17",22.540001
"136","2007-07-18",22.43
"137","2007-07-19",23.059999
"138","2007-07-20",22.66
"139","2007-07-23",22.75
"140","2007-07-24",22.530001
"141","2007-07-25",21.65
"142","2007-07-26",20.5
"143","2007-07-27",19.709999
"144","2007-07-30",20.040001
"145","2007-07-31",19.77
"146","2007-08-01",20.129999
"147","2007-08-02",20.34
"148","2007-08-03",19.51
"149","2007-08-06",19.35
"150","2007-08-07",20.82
"151","2007-08-08",23.33
"152","2007-08-09",24.610001
"153","2007-08-10",23.09
"154","2007-08-13",23.07
"155","2007-08-14",22.190001
"156","2007-08-15",21.09
"157","2007-08-16",22.59
"158","2007-08-17",22.459999
"159","2007-08-20",22.469999
"160","2007-08-21",22.110001
"161","2007-08-22",22.67
"162","2007-08-23",22.42
"163","2007-08-24",22.98
"164","2007-08-27",23.280001
"165","2007-08-28",22.469999
"166","2007-08-29",22.85
"167","2007-08-30",23.139999
"168","2007-08-31",23.32
"169","2007-09-04",23.59
"170","2007-09-05",23.9
"171","2007-09-06",23.99
"172","2007-09-07",23.1
"173","2007-09-10",22.530001
"174","2007-09-11",23.450001
"175","2007-09-12",23.540001
"176","2007-09-13",23.82
"177","2007-09-14",23.75
"178","2007-09-17",23.790001
"179","2007-09-18",24.5
