"","date","NK"
"1","2015-07-28",34.639999
"2","2015-07-29",34.990002
"3","2015-07-30",31.5
"4","2015-07-31",30.6
"5","2015-08-03",27.66
"6","2015-08-04",30
"7","2015-08-05",31.48
"8","2015-08-06",28.959999
"9","2015-08-07",28.450001
"10","2015-08-10",27.01
"11","2015-08-11",25.35
"12","2015-08-12",24.700001
"13","2015-08-13",23.15
"14","2015-08-14",22.6
"15","2015-08-17",21.91
"16","2015-08-18",23.74
"17","2015-08-19",25.879999
"18","2015-08-20",25.120001
"19","2015-08-21",23.799999
"20","2015-08-24",21.9
"21","2015-08-25",20.83
"22","2015-08-26",19.299999
"23","2015-08-27",19.51
"24","2015-08-28",18.559999
"25","2015-08-31",17.120001
"26","2015-09-01",18.549999
"27","2015-09-02",19.4
"28","2015-09-03",19.01
"29","2015-09-04",18.860001
"30","2015-09-08",19.030001
"31","2015-09-09",18.389999
"32","2015-09-10",17.98
"33","2015-09-11",18.129999
"34","2015-09-14",17.59
"35","2015-09-15",18.15
"36","2015-09-16",18.91
"37","2015-09-17",18.92
"38","2015-09-18",19.48
"39","2015-09-21",18.549999
"40","2015-09-22",17.879999
"41","2015-09-23",17.23
"42","2015-09-24",16.99
"43","2015-09-25",16.1
"44","2015-09-28",13.1
"45","2015-09-29",11.39
"46","2015-09-30",11.46
"47","2015-10-01",11.06
"48","2015-10-02",12.23
"49","2015-10-05",12.01
"50","2015-10-06",11.55
"51","2015-10-07",13.45
"52","2015-10-08",13.3
"53","2015-10-09",13.09
"54","2015-10-12",12.16
"55","2015-10-13",11.82
"56","2015-10-14",11.46
"57","2015-10-15",12.77
"58","2015-10-16",12.71
"59","2015-10-19",12.65
"60","2015-10-20",12.37
"61","2015-10-21",12.01
"62","2015-10-22",10.94
"63","2015-10-23",10.66
"64","2015-10-26",10.75
"65","2015-10-27",11.03
"66","2015-10-28",11.98
"67","2015-10-29",12.07
"68","2015-10-30",11.9
"69","2015-11-02",12.88
"70","2015-11-03",15.45
"71","2015-11-04",17.860001
"72","2015-11-05",17.889999
"73","2015-11-06",17.190001
"74","2015-11-09",18.219999
"75","2015-11-10",17.129999
"76","2015-11-11",16.25
"77","2015-11-12",17.200001
"78","2015-11-13",15.68
"79","2015-11-16",15.72
"80","2015-11-17",14.7
"81","2015-11-18",15.71
"82","2015-11-19",15.54
"83","2015-11-20",15.77
"84","2015-11-23",15.42
"85","2015-11-24",15.74
"86","2015-11-25",16.620001
"87","2015-11-27",16.299999
"88","2015-11-30",16.309999
"89","2015-12-01",16.49
"90","2015-12-02",17.139999
"91","2015-12-03",15.99
"92","2015-12-04",15.51
"93","2015-12-07",15.86
"94","2015-12-08",15.94
"95","2015-12-09",15.45
"96","2015-12-10",15.66
"97","2015-12-11",15.06
"98","2015-12-14",16.219999
"99","2015-12-15",17.48
"100","2015-12-16",17.690001
"101","2015-12-17",15.67
"102","2015-12-18",15.67
"103","2015-12-21",15.89
"104","2015-12-22",16.219999
"105","2015-12-23",17.15
"106","2015-12-24",16.959999
"107","2015-12-28",16.790001
"108","2015-12-29",17.23
"109","2015-12-30",18.52
"110","2015-12-31",17.33
"111","2016-01-04",15.75
"112","2016-01-05",15.63
"113","2016-01-06",15.04
"114","2016-01-07",12.96
"115","2016-01-08",13.78
"116","2016-01-11",13.54
"117","2016-01-12",13.76
"118","2016-01-13",11.91
"119","2016-01-14",12.91
"120","2016-01-15",12.45
"121","2016-01-19",11.63
"122","2016-01-20",12.48
"123","2016-01-21",12.37
"124","2016-01-22",12.68
"125","2016-01-25",12.24
"126","2016-01-26",11.99
"127","2016-01-27",10.79
"128","2016-01-28",10.3
"129","2016-01-29",10.3
"130","2016-02-01",9.75
"131","2016-02-02",9.03
"132","2016-02-03",8.55
"133","2016-02-04",8.5
"134","2016-02-05",7.84
"135","2016-02-08",6.8
"136","2016-02-09",6.8
"137","2016-02-10",6.36
"138","2016-02-11",6.33
"139","2016-02-12",6.5
"140","2016-02-16",7.6
"141","2016-02-17",7.76
"142","2016-02-18",7.5
"143","2016-02-19",8.14
"144","2016-02-22",7.84
"145","2016-02-23",7.35
"146","2016-02-24",7.47
"147","2016-02-25",7.16
"148","2016-02-26",7.41
"149","2016-02-29",6.88
"150","2016-03-01",7.13
"151","2016-03-02",7.81
"152","2016-03-03",7.6
"153","2016-03-04",8.87
"154","2016-03-07",9.61
"155","2016-03-08",9.15
"156","2016-03-09",8.94
"157","2016-03-10",8.45
"158","2016-03-11",8.17
"159","2016-03-14",8.37
"160","2016-03-15",7.7
"161","2016-03-16",7.55
"162","2016-03-17",7.22
"163","2016-03-18",7.27
"164","2016-03-21",8.05
"165","2016-03-22",8.67
"166","2016-03-23",8.6
"167","2016-03-24",8.1
"168","2016-03-28",8.61
"169","2016-03-29",8.5
"170","2016-03-30",8.21
"171","2016-03-31",8.22
"172","2016-04-01",8.63
"173","2016-04-04",9.72
"174","2016-04-05",8.7
"175","2016-04-06",9.56
"176","2016-04-07",9.53
"177","2016-04-08",8.93
"178","2016-04-11",8.75
"179","2016-04-12",8.99
"180","2016-04-13",9.29
