"","date","ENDP"
"1","2007-01-03",27.25
"2","2007-01-04",27.23
"3","2007-01-05",28.700001
"4","2007-01-08",28.85
"5","2007-01-09",29.48
"6","2007-01-10",29.620001
"7","2007-01-11",29.15
"8","2007-01-12",29
"9","2007-01-16",28.83
"10","2007-01-17",29.190001
"11","2007-01-18",29.73
"12","2007-01-19",29.860001
"13","2007-01-22",29.68
"14","2007-01-23",30.09
"15","2007-01-24",30.299999
"16","2007-01-25",30.6
"17","2007-01-26",30.15
"18","2007-01-29",30.379999
"19","2007-01-30",30.469999
"20","2007-01-31",30.719999
"21","2007-02-01",31.120001
"22","2007-02-02",30.549999
"23","2007-02-05",30.959999
"24","2007-02-06",30.65
"25","2007-02-07",30.73
"26","2007-02-08",30.809999
"27","2007-02-09",30.549999
"28","2007-02-12",30.65
"29","2007-02-13",30.450001
"30","2007-02-14",29.98
"31","2007-02-15",30.389999
"32","2007-02-16",30.83
"33","2007-02-20",30.75
"34","2007-02-21",30.549999
"35","2007-02-22",32.400002
"36","2007-02-23",32.07
"37","2007-02-26",31.780001
"38","2007-02-27",31.6
"39","2007-02-28",31.209999
"40","2007-03-01",30.629999
"41","2007-03-02",29.950001
"42","2007-03-05",29.639999
"43","2007-03-06",29.75
"44","2007-03-07",29.67
"45","2007-03-08",30.08
"46","2007-03-09",29.84
"47","2007-03-12",29.84
"48","2007-03-13",29.219999
"49","2007-03-14",29.049999
"50","2007-03-15",28.389999
"51","2007-03-16",28.379999
"52","2007-03-19",29.360001
"53","2007-03-20",29.41
"54","2007-03-21",29.42
"55","2007-03-22",29.24
"56","2007-03-23",28.99
"57","2007-03-26",29.24
"58","2007-03-27",29.24
"59","2007-03-28",29.440001
"60","2007-03-29",29.629999
"61","2007-03-30",29.4
"62","2007-04-02",28.98
"63","2007-04-03",29.52
"64","2007-04-04",29.98
"65","2007-04-05",30.530001
"66","2007-04-09",30.66
"67","2007-04-10",30.73
"68","2007-04-11",30.309999
"69","2007-04-12",30.99
"70","2007-04-13",30.93
"71","2007-04-16",31.049999
"72","2007-04-17",30.23
"73","2007-04-18",30
"74","2007-04-19",29.99
"75","2007-04-20",30.02
"76","2007-04-23",29.58
"77","2007-04-24",29.83
"78","2007-04-25",29.9
"79","2007-04-26",30.620001
"80","2007-04-27",31.4
"81","2007-04-30",30.940001
"82","2007-05-01",31.1
"83","2007-05-02",31.969999
"84","2007-05-03",31.690001
"85","2007-05-04",31.879999
"86","2007-05-07",31.92
"87","2007-05-08",31.870001
"88","2007-05-09",32.150002
"89","2007-05-10",31.620001
"90","2007-05-11",31.75
"91","2007-05-14",31.879999
"92","2007-05-15",32.150002
"93","2007-05-16",32.34
"94","2007-05-17",32.779999
"95","2007-05-18",32.98
"96","2007-05-21",34.240002
"97","2007-05-22",33.950001
"98","2007-05-23",33.450001
"99","2007-05-24",33.369999
"100","2007-05-25",33.490002
"101","2007-05-29",33.939999
"102","2007-05-30",33.639999
"103","2007-05-31",35.259998
"104","2007-06-01",35.029999
"105","2007-06-04",34.700001
"106","2007-06-05",34.720001
"107","2007-06-06",34.700001
"108","2007-06-07",34.189999
"109","2007-06-08",33.91
"110","2007-06-11",33.889999
"111","2007-06-12",33.91
"112","2007-06-13",34.200001
"113","2007-06-14",34.490002
"114","2007-06-15",34.529999
"115","2007-06-18",34.93
"116","2007-06-19",34.23
"117","2007-06-20",34.060001
"118","2007-06-21",34.700001
"119","2007-06-22",34.09
"120","2007-06-25",33.91
"121","2007-06-26",34.889999
"122","2007-06-27",34.150002
"123","2007-06-28",33.619999
"124","2007-06-29",34.23
"125","2007-07-02",34.639999
"126","2007-07-03",35
"127","2007-07-05",34.68
"128","2007-07-06",34.580002
"129","2007-07-09",34.720001
"130","2007-07-10",34.5
"131","2007-07-11",34.700001
"132","2007-07-12",34.220001
"133","2007-07-13",34.049999
"134","2007-07-16",34.130001
"135","2007-07-17",34.16
"136","2007-07-18",34.009998
"137","2007-07-19",34.02
"138","2007-07-20",33.66
"139","2007-07-23",34.220001
"140","2007-07-24",33.73
"141","2007-07-25",34.080002
"142","2007-07-26",33.529999
"143","2007-07-27",33.200001
"144","2007-07-30",33.610001
"145","2007-07-31",34.009998
"146","2007-08-01",34.099998
"147","2007-08-02",33.32
"148","2007-08-03",32.470001
"149","2007-08-06",32.880001
"150","2007-08-07",31.469999
"151","2007-08-08",30.639999
"152","2007-08-09",30.49
"153","2007-08-10",31.200001
"154","2007-08-13",31.58
"155","2007-08-14",31.5
"156","2007-08-15",30.809999
"157","2007-08-16",30.84
"158","2007-08-17",31.35
