"","date","THTX"
"1","2009-02-13",1.06
"2","2009-02-17",1.07
"3","2009-02-18",1.04
"4","2009-02-19",1.08
"5","2009-02-20",1
"6","2009-02-23",1.01
"7","2009-02-24",1.01
"8","2009-02-25",1.16
"9","2009-02-26",1.17
"10","2009-02-27",1.2
"11","2009-03-02",1.15
"12","2009-03-03",1.15
"13","2009-03-04",1.32
"14","2009-03-05",1.21
"15","2009-03-06",1.24
"16","2009-03-09",1.15
"17","2009-03-10",1.2
"18","2009-03-11",1.3
"19","2009-03-12",1.27
"20","2009-03-13",1.29
"21","2009-03-16",1.29
"22","2009-03-17",1.31
"23","2009-03-18",1.35
"24","2009-03-19",1.37
"25","2009-03-20",1.35
"26","2009-03-23",1.4
"27","2009-03-24",1.43
"28","2009-03-25",1.5
"29","2009-03-26",1.52
"30","2009-03-27",1.44
"31","2009-03-30",1.54
"32","2009-03-31",1.52
"33","2009-04-01",1.61
"34","2009-04-02",1.77
"35","2009-04-03",1.69
"36","2009-04-06",1.75
"37","2009-04-07",1.72
"38","2009-04-08",1.88
"39","2009-04-09",2.18
"40","2009-04-13",2.56
"41","2009-04-14",2.5
"42","2009-04-15",2.56
"43","2009-04-16",2.55
"44","2009-04-17",2.7
"45","2009-04-20",2.27
"46","2009-04-21",2.26
"47","2009-04-22",2.47
"48","2009-04-23",2.53
"49","2009-04-24",2.47
"50","2009-04-27",2.51
"51","2009-04-28",2.47
"52","2009-04-29",2.46
"53","2009-04-30",2.36
"54","2009-05-01",2.29
"55","2009-05-04",2.28
"56","2009-05-05",2.11
"57","2009-05-06",2.25
"58","2009-05-07",2.06
"59","2009-05-08",2.06
"60","2009-05-11",2.12
"61","2009-05-12",2.18
"62","2009-05-13",2.01
"63","2009-05-14",2.11
"64","2009-05-15",2.13
"65","2009-05-18",2.13
"66","2009-05-19",2.27
"67","2009-05-20",2.3
"68","2009-05-21",2.32
"69","2009-05-22",2.31
"70","2009-05-26",2.31
"71","2009-05-27",2.35
"72","2009-05-28",2.43
"73","2009-05-29",2.48
"74","2009-06-01",2.73
"75","2009-06-02",2.8
"76","2009-06-03",2.6
"77","2009-06-04",2.53
"78","2009-06-05",2.63
"79","2009-06-08",2.6
"80","2009-06-09",2.59
"81","2009-06-10",2.48
"82","2009-06-11",2.55
"83","2009-06-12",2.29
"84","2009-06-15",2.16
"85","2009-06-16",2.15
"86","2009-06-17",2.12
"87","2009-06-18",2.22
"88","2009-06-19",2.23
"89","2009-06-22",2.06
"90","2009-06-23",2.05
"91","2009-06-24",2.05
"92","2009-06-25",2.1
"93","2009-06-26",2.11
"94","2009-06-29",2.08
"95","2009-06-30",2.07
"96","2009-07-01",2.07
"97","2009-07-02",1.84
"98","2009-07-06",1.96
"99","2009-07-07",2
"100","2009-07-08",1.95
"101","2009-07-09",1.95
"102","2009-07-10",1.92
"103","2009-07-13",1.75
"104","2009-07-14",1.74
"105","2009-07-15",1.9
"106","2009-07-16",2.02
"107","2009-07-17",1.96
"108","2009-07-20",2
"109","2009-07-21",2.13
"110","2009-07-22",2.01
"111","2009-07-23",2.02
"112","2009-07-24",2.02
"113","2009-07-27",2.06
"114","2009-07-28",2.09
"115","2009-07-29",2.05
"116","2009-07-30",2.05
"117","2009-07-31",2.1
"118","2009-08-03",2.1
"119","2009-08-04",2.12
"120","2009-08-05",2.1
"121","2009-08-06",2.26
"122","2009-08-07",2.21
"123","2009-08-10",2.23
"124","2009-08-11",2.16
"125","2009-08-12",2.39
"126","2009-08-13",2.47
"127","2009-08-14",2.37
"128","2009-08-17",2.25
"129","2009-08-18",2.22
"130","2009-08-19",2.29
"131","2009-08-20",2.29
"132","2009-08-21",2.34
"133","2009-08-24",2.31
"134","2009-08-25",2.31
"135","2009-08-26",2.28
"136","2009-08-27",2.27
"137","2009-08-28",2.26
"138","2009-08-31",2.15
"139","2009-09-01",2.12
"140","2009-09-02",2.07
"141","2009-09-03",2.14
"142","2009-09-04",2.11
"143","2009-09-08",2.19
"144","2009-09-09",2.2
"145","2009-09-10",2.06
"146","2009-09-11",2.13
"147","2009-09-14",2.12
"148","2009-09-15",2.23
"149","2009-09-16",2.38
"150","2009-09-17",2.29
"151","2009-09-18",2.23
"152","2009-09-21",2.28
"153","2009-09-22",2.52
"154","2009-09-23",2.43
"155","2009-09-24",2.32
"156","2009-09-25",2.29
"157","2009-09-28",2.36
"158","2009-09-29",2.35
"159","2009-09-30",2.43
"160","2009-10-01",2.4
"161","2009-10-02",2.39
"162","2009-10-05",2.56
