"","date","BYND"
"1","2019-05-02",65.75
"2","2019-05-03",66.790001
"3","2019-05-06",74.790001
"4","2019-05-07",79.169998
"5","2019-05-08",72.25
"6","2019-05-09",68.269997
"7","2019-05-10",66.220001
"8","2019-05-13",69.5
"9","2019-05-14",79.68
"10","2019-05-15",86.919998
"11","2019-05-16",92.919998
"12","2019-05-17",89.349998
"13","2019-05-20",86.089996
"14","2019-05-21",77.5
"15","2019-05-22",77.629997
"16","2019-05-23",82.099998
"17","2019-05-24",79.669998
"18","2019-05-28",86
"19","2019-05-29",97.5
"20","2019-05-30",98.589996
"21","2019-05-31",104.120003
"22","2019-06-03",96.160004
"23","2019-06-04",103.410004
"24","2019-06-05",102.599998
"25","2019-06-06",99.5
"26","2019-06-07",138.649994
"27","2019-06-10",168.100006
"28","2019-06-11",126.040001
"29","2019-06-12",141.970001
"30","2019-06-13",141.389999
"31","2019-06-14",151.479996
"32","2019-06-17",169.960007
"33","2019-06-18",169.889999
"34","2019-06-19",169.279999
"35","2019-06-20",165.169998
"36","2019-06-21",154.130005
"37","2019-06-24",140.990005
"38","2019-06-25",150.600006
"39","2019-06-26",160.479996
"40","2019-06-27",162.910004
"41","2019-06-28",160.679993
"42","2019-07-01",152.580002
"43","2019-07-02",149.710007
"44","2019-07-03",151.5
"45","2019-07-05",152.630005
"46","2019-07-08",156.669998
"47","2019-07-09",157.820007
"48","2019-07-10",163.509995
"49","2019-07-11",174.199997
"50","2019-07-12",166.809998
"51","2019-07-15",166.529999
"52","2019-07-16",172.589996
"53","2019-07-17",169.639999
"54","2019-07-18",170.339996
"55","2019-07-19",176.789993
"56","2019-07-22",194.199997
"57","2019-07-23",195.479996
"58","2019-07-24",202.919998
"59","2019-07-25",222.860001
"60","2019-07-26",234.899994
"61","2019-07-29",222.130005
"62","2019-07-30",194.759995
"63","2019-07-31",196.509995
"64","2019-08-01",176.039993
"65","2019-08-02",177.110001
"66","2019-08-05",175.940002
"67","2019-08-06",161.240005
"68","2019-08-07",167
"69","2019-08-08",162.699997
