"","date","BLCT"
"1","2020-07-08",23.43
"2","2020-07-09",25.99
"3","2020-07-10",24.5
"4","2020-07-13",19.82
"5","2020-07-14",17.530001
"6","2020-07-15",19
"7","2020-07-16",17.959999
"8","2020-07-17",17.799999
"9","2020-07-20",17.639999
"10","2020-07-21",17.469999
"11","2020-07-22",16.02
"12","2020-07-23",15.36
"13","2020-07-24",13.56
"14","2020-07-27",14.07
"15","2020-07-28",13.69
"16","2020-07-29",18.08
"17","2020-07-30",15.65
"18","2020-07-31",15.88
"19","2020-08-03",14.74
"20","2020-08-04",15.03
"21","2020-08-05",15.43
"22","2020-08-06",15.16
"23","2020-08-07",15.04
"24","2020-08-10",14.98
"25","2020-08-11",14.5
"26","2020-08-12",14.84
"27","2020-08-13",14.72
"28","2020-08-14",14.6
"29","2020-08-17",14.6
"30","2020-08-18",15.18
"31","2020-08-19",14.94
"32","2020-08-20",15.18
"33","2020-08-21",14.93
"34","2020-08-24",14.88
"35","2020-08-25",15.1
"36","2020-08-26",15.05
"37","2020-08-27",13.4
"38","2020-08-28",13.83
"39","2020-08-31",13.71
"40","2020-09-01",13.05
"41","2020-09-02",11.96
"42","2020-09-03",11.53
"43","2020-09-04",11.85
"44","2020-09-08",12.04
"45","2020-09-09",11.45
"46","2020-09-10",11.07
"47","2020-09-11",11.05
"48","2020-09-14",11.26
"49","2020-09-15",11
"50","2020-09-16",10.9
"51","2020-09-17",10.74
"52","2020-09-18",10.79
"53","2020-09-21",10.27
"54","2020-09-22",10.45
"55","2020-09-23",10
"56","2020-09-24",9.67
"57","2020-09-25",9.76
"58","2020-09-28",9.45
"59","2020-09-29",8.97
"60","2020-09-30",8.68
"61","2020-10-01",8.56
"62","2020-10-02",8.28
"63","2020-10-05",8.7
"64","2020-10-06",8.63
"65","2020-10-07",8.75
"66","2020-10-08",9.79
"67","2020-10-09",10.19
"68","2020-10-12",9.62
"69","2020-10-13",9.49
"70","2020-10-14",9.42
"71","2020-10-15",9.19
"72","2020-10-16",9.35
"73","2020-10-19",9.71
"74","2020-10-20",10.58
"75","2020-10-21",10.89
"76","2020-10-22",11.19
"77","2020-10-23",10.84
"78","2020-10-26",10.02
"79","2020-10-27",10.15
"80","2020-10-28",10.27
"81","2020-10-29",10.57
"82","2020-10-30",9.96
"83","2020-11-02",10.17
"84","2020-11-03",10.18
"85","2020-11-04",10.06
"86","2020-11-05",9.71
"87","2020-11-06",10.14
"88","2020-11-09",10
"89","2020-11-10",9.76
"90","2020-11-11",9.85
"91","2020-11-12",9.4
"92","2020-11-13",9.36
"93","2020-11-16",9.5
"94","2020-11-17",9.07
"95","2020-11-18",9.2
"96","2020-11-19",9.29
"97","2020-11-20",9.39
"98","2020-11-23",10.93
"99","2020-11-24",13.5
"100","2020-11-25",12.26
"101","2020-11-27",13.41
