"","date","FMCI"
"1","2018-09-12",9.57
"2","2018-09-13",9.58
"3","2018-09-14",9.58
"4","2018-09-17",9.57
"5","2018-09-18",9.57
"6","2018-09-19",9.57
"7","2018-09-20",9.57
"8","2018-09-21",9.57
"9","2018-09-24",9.55
"10","2018-09-25",9.55
"11","2018-09-26",9.55
"12","2018-09-27",9.54
"13","2018-09-28",9.55
"14","2018-10-01",9.54
"15","2018-10-02",9.54
"16","2018-10-03",9.52
"17","2018-10-04",9.56
"18","2018-10-05",9.56
"19","2018-10-08",9.55
"20","2018-10-09",9.55
"21","2018-10-10",9.55
"22","2018-10-11",9.55
"23","2018-10-12",9.55
"24","2018-10-15",9.55
"25","2018-10-16",9.55
"26","2018-10-17",9.53
"27","2018-10-18",9.55
"28","2018-10-19",9.55
"29","2018-10-22",9.55
"30","2018-10-23",9.6
"31","2018-10-24",9.65
"32","2018-10-25",9.63
"33","2018-10-26",9.73
"34","2018-10-29",9.63
"35","2018-10-30",9.63
"36","2018-10-31",9.63
"37","2018-11-01",9.63
"38","2018-11-02",9.63
"39","2018-11-05",9.63
"40","2018-11-06",9.63
"41","2018-11-07",9.61
"42","2018-11-08",9.63
"43","2018-11-09",9.63
"44","2018-11-12",9.63
"45","2018-11-13",9.63
"46","2018-11-14",9.63
"47","2018-11-15",9.63
"48","2018-11-16",9.64
"49","2018-11-19",9.65
"50","2018-11-20",9.62
"51","2018-11-21",9.62
"52","2018-11-23",9.62
"53","2018-11-26",9.63
"54","2018-11-27",9.65
"55","2018-11-28",9.65
"56","2018-11-29",9.65
"57","2018-11-30",9.66
"58","2018-12-03",9.67
"59","2018-12-04",9.67
"60","2018-12-06",9.7
"61","2018-12-07",9.69
"62","2018-12-10",9.69
"63","2018-12-11",9.69
"64","2018-12-12",9.69
"65","2018-12-13",9.66
"66","2018-12-14",9.65
"67","2018-12-17",9.67
"68","2018-12-18",9.7
"69","2018-12-19",9.7
"70","2018-12-20",9.68
"71","2018-12-21",9.65
"72","2018-12-24",9.67
"73","2018-12-26",9.67
"74","2018-12-27",9.67
"75","2018-12-28",9.65
"76","2018-12-31",9.65
"77","2019-01-02",9.65
"78","2019-01-03",9.65
"79","2019-01-04",9.68
"80","2019-01-07",9.7
"81","2019-01-08",9.74
"82","2019-01-09",9.75
"83","2019-01-10",9.75
"84","2019-01-11",9.74
"85","2019-01-14",9.74
"86","2019-01-15",9.71
"87","2019-01-16",9.78
"88","2019-01-17",9.78
"89","2019-01-18",9.79
"90","2019-01-22",9.8
"91","2019-01-23",9.8
"92","2019-01-24",9.78
"93","2019-01-25",9.78
"94","2019-01-28",9.83
"95","2019-01-29",9.83
"96","2019-01-30",9.83
"97","2019-01-31",9.83
"98","2019-02-01",9.87
"99","2019-02-04",9.85
"100","2019-02-05",9.85
"101","2019-02-06",9.85
"102","2019-02-07",9.85
"103","2019-02-08",9.86
"104","2019-02-11",9.86
"105","2019-02-12",9.86
"106","2019-02-13",9.85
"107","2019-02-14",9.85
"108","2019-02-15",9.85
"109","2019-02-19",9.85
"110","2019-02-20",9.85
"111","2019-02-21",9.87
"112","2019-02-22",9.87
"113","2019-02-25",9.87
"114","2019-02-26",9.88
"115","2019-02-27",9.87
"116","2019-02-28",9.85
"117","2019-03-01",9.87
"118","2019-03-04",9.86
"119","2019-03-05",9.86
"120","2019-03-06",9.86
"121","2019-03-07",9.86
"122","2019-03-08",9.86
"123","2019-03-11",9.88
"124","2019-03-12",9.88
"125","2019-03-13",9.89
"126","2019-03-14",9.89
"127","2019-03-15",9.89
"128","2019-03-18",9.9
"129","2019-03-19",9.9
"130","2019-03-20",9.9
"131","2019-03-21",9.91
"132","2019-03-22",9.91
"133","2019-03-25",9.91
"134","2019-03-26",9.84
"135","2019-03-27",9.92
"136","2019-03-28",9.92
"137","2019-03-29",9.91
"138","2019-04-01",9.92
"139","2019-04-02",9.92
"140","2019-04-03",9.93
"141","2019-04-04",9.93
"142","2019-04-05",9.95
"143","2019-04-08",9.94
"144","2019-04-09",9.94
"145","2019-04-10",9.93
"146","2019-04-11",9.93
"147","2019-04-12",9.93
"148","2019-04-15",9.97
"149","2019-04-16",9.97
"150","2019-04-17",9.95
"151","2019-04-18",9.95
"152","2019-04-22",9.96
"153","2019-04-23",9.95
"154","2019-04-24",9.95
"155","2019-04-25",9.95
"156","2019-04-26",9.95
"157","2019-04-29",9.95
"158","2019-04-30",9.98
"159","2019-05-01",9.98
"160","2019-05-02",9.98
"161","2019-05-03",9.97
"162","2019-05-06",9.97
"163","2019-05-07",9.97
"164","2019-05-08",9.98
"165","2019-05-09",9.98
"166","2019-05-10",9.98
"167","2019-05-13",9.98
"168","2019-05-14",9.99
"169","2019-05-15",9.99
"170","2019-05-16",9.99
"171","2019-05-17",9.97
"172","2019-05-20",9.97
"173","2019-05-21",9.97
"174","2019-05-22",10
"175","2019-05-23",10
"176","2019-05-24",10
"177","2019-05-28",10.01
"178","2019-05-29",10
"179","2019-05-30",10
"180","2019-05-31",10
"181","2019-06-03",10
"182","2019-06-04",10
"183","2019-06-05",10.03
"184","2019-06-06",10.03
"185","2019-06-07",10.01
"186","2019-06-10",10.01
"187","2019-06-11",10.02
"188","2019-06-12",10.05
"189","2019-06-13",10.05
"190","2019-06-14",10.02
"191","2019-06-17",10.02
"192","2019-06-18",10.01
"193","2019-06-19",10.01
"194","2019-06-20",10.02
"195","2019-06-21",10.02
"196","2019-06-24",10.06
"197","2019-06-25",10.07
"198","2019-06-26",10.07
"199","2019-06-27",10.06
"200","2019-06-28",10.06
"201","2019-07-01",10.06
"202","2019-07-02",10.06
"203","2019-07-03",10.06
"204","2019-07-05",10.06
"205","2019-07-08",10.06
"206","2019-07-09",10.04
"207","2019-07-10",10.04
"208","2019-07-11",10.04
"209","2019-07-12",10.05
"210","2019-07-15",10.07
"211","2019-07-16",10.08
"212","2019-07-17",10.07
"213","2019-07-18",10.06
"214","2019-07-19",10.06
"215","2019-07-22",10.1
"216","2019-07-23",10.09
"217","2019-07-24",10.09
"218","2019-07-25",10.12
"219","2019-07-26",10.13
"220","2019-07-29",10.1
"221","2019-07-30",10.1
"222","2019-07-31",10.1
"223","2019-08-01",10.1
"224","2019-08-02",10.1
"225","2019-08-05",10.1
"226","2019-08-06",10.1
"227","2019-08-07",10.1
"228","2019-08-08",10.1
"229","2019-08-09",10.1
"230","2019-08-12",10.09
"231","2019-08-13",10.11
"232","2019-08-14",10.09
"233","2019-08-15",10.09
"234","2019-08-16",10.08
"235","2019-08-19",10.11
"236","2019-08-20",10.09
"237","2019-08-21",10.09
"238","2019-08-22",10.09
"239","2019-08-23",10.09
"240","2019-08-26",10.13
"241","2019-08-27",10.12
"242","2019-08-28",10.09
"243","2019-08-29",10.12
"244","2019-08-30",10.1
"245","2019-09-03",10.1
"246","2019-09-04",10.1
"247","2019-09-05",10.11
"248","2019-09-06",10.11
"249","2019-09-09",10.12
"250","2019-09-10",10.12
"251","2019-09-11",10.12
"252","2019-09-12",10.12
"253","2019-09-13",10.12
