"","date","AMEH"
"238","2010-02-18",1.1
"239","2010-02-19",1.1
"240","2010-02-22",0.9
"241","2010-02-23",0.9
"242","2010-02-24",1
"243","2010-02-25",1
"244","2010-02-26",1
"245","2010-03-01",1
"246","2010-03-02",0.7
"247","2010-03-03",0.7
"248","2010-03-04",0.7
"249","2010-03-05",0.7
"250","2010-03-08",0.7
"251","2010-03-09",0.7
"252","2010-03-10",0.7
"253","2010-03-11",0.7
"254","2010-03-12",0.8
"255","2010-03-15",0.8
"256","2010-03-16",0.8
"257","2010-03-17",0.8
"258","2010-03-18",0.8
"259","2010-03-19",0.8
"260","2010-03-22",0.9
"261","2010-03-23",0.9
"262","2010-03-24",0.9
"263","2010-03-25",0.9
"264","2010-03-26",0.9
"265","2010-03-29",0.9
"266","2010-03-30",0.9
"267","2010-03-31",1
"268","2010-04-01",1
"269","2010-04-05",1.1
"270","2010-04-06",1.1
"271","2010-04-07",1.2
"272","2010-04-08",1.3
"273","2010-04-09",1.5
"274","2010-04-12",1.5
"275","2010-04-13",1.5
"276","2010-04-14",1.4
"277","2010-04-15",1.3
"278","2010-04-16",1.3
"279","2010-04-19",1.3
"280","2010-04-20",1.2
"281","2010-04-21",1.2
"282","2010-04-22",1.2
"283","2010-04-23",1.1
"284","2010-04-26",1.1
"285","2010-04-27",1.4
"286","2010-04-28",1.1
"287","2010-04-29",1.1
"288","2010-04-30",1.1
"289","2010-05-03",1.1
"290","2010-05-04",1.1
"291","2010-05-05",1.1
"292","2010-05-06",1
"293","2010-05-07",1
"294","2010-05-10",1
"295","2010-05-11",0.8
"296","2010-05-12",0.8
"297","2010-05-13",0.8
"298","2010-05-14",0.8
"299","2010-05-17",0.8
"300","2010-05-18",0.9
"301","2010-05-19",0.8
"302","2010-05-20",0.8
"303","2010-05-21",0.8
"304","2010-05-24",0.8
"305","2010-05-25",1
"306","2010-05-26",1
"307","2010-05-27",0.8
"308","2010-05-28",0.8
"309","2010-06-01",0.8
"310","2010-06-02",0.8
"311","2010-06-03",0.8
"312","2010-06-04",0.8
"313","2010-06-07",0.9
"314","2010-06-08",0.9
"315","2010-06-09",0.9
"316","2010-06-10",0.8
"317","2010-06-11",0.8
"318","2010-06-14",0.8
"319","2010-06-15",0.8
"320","2010-06-16",0.9
"321","2010-06-17",0.9
"322","2010-06-18",0.9
"323","2010-06-21",0.9
"324","2010-06-22",0.9
"325","2010-06-23",0.9
"326","2010-06-24",1
"327","2010-06-25",1
"328","2010-06-28",1
"329","2010-06-29",1
"330","2010-06-30",1
"331","2010-07-01",1
"332","2010-07-02",1
"333","2010-07-06",1
"334","2010-07-07",1
"335","2010-07-08",1
"336","2010-07-09",0.9
"337","2010-07-12",0.8
"338","2010-07-13",0.8
"339","2010-07-14",0.9
"340","2010-07-15",0.8
"341","2010-07-16",0.8
"342","2010-07-19",0.8
"343","2010-07-20",0.8
"344","2010-07-21",0.9
"345","2010-07-22",0.9
"346","2010-07-23",0.9
"347","2010-07-26",0.9
"348","2010-07-27",0.9
"349","2010-07-28",0.9
"350","2010-07-29",1
"351","2010-07-30",0.9
"352","2010-08-02",0.8
"353","2010-08-03",0.8
"354","2010-08-04",0.7
"355","2010-08-05",0.7
"356","2010-08-06",0.7
"357","2010-08-09",0.7
"358","2010-08-10",0.9
"359","2010-08-11",0.9
"360","2010-08-12",0.9
"361","2010-08-13",0.8
"362","2010-08-16",0.9
"363","2010-08-17",1
"364","2010-08-18",0.9
"365","2010-08-19",0.9
"366","2010-08-20",0.8
"367","2010-08-23",0.8
"368","2010-08-24",0.8
"369","2010-08-25",0.8
"370","2010-08-26",0.8
"371","2010-08-27",0.8
"372","2010-08-30",0.8
"373","2010-08-31",0.8
"374","2010-09-01",0.8
"375","2010-09-02",0.9
"376","2010-09-03",0.9
"377","2010-09-07",0.9
"378","2010-09-08",0.9
"379","2010-09-09",1
"380","2010-09-10",1
"381","2010-09-13",1
"382","2010-09-14",1
"383","2010-09-15",1
"384","2010-09-16",1
"385","2010-09-17",1
"386","2010-09-20",1
"387","2010-09-21",1
"388","2010-09-22",1
"389","2010-09-23",1
"390","2010-09-24",1
"391","2010-09-27",1
"392","2010-09-28",1.1
"393","2010-09-29",1.4
"394","2010-09-30",1
"395","2010-10-01",1
"396","2010-10-04",1
"397","2010-10-05",1
"398","2010-10-06",1
"399","2010-10-07",1
"400","2010-10-08",1
"401","2010-10-11",1.1
"402","2010-10-12",1
"403","2010-10-13",1
"404","2010-10-14",1
"405","2010-10-15",1
"406","2010-10-18",1.1
"407","2010-10-19",1
"408","2010-10-20",1
"409","2010-10-21",1
"410","2010-10-22",1.1
