"","date","MGIC"
"1","2007-01-03",2.38
"2","2007-01-04",2.43
"3","2007-01-05",2.53
"4","2007-01-08",2.37
"5","2007-01-09",2.5
"6","2007-01-10",2.54
"7","2007-01-11",2.54
"8","2007-01-12",2.61
"9","2007-01-16",2.55
"10","2007-01-17",2.51
"11","2007-01-18",2.5
"12","2007-01-19",2.49
"13","2007-01-22",2.53
"14","2007-01-23",2.47
"15","2007-01-24",2.49
"16","2007-01-25",2.6
"17","2007-01-26",2.57
"18","2007-01-29",2.63
"19","2007-01-30",2.8
"20","2007-01-31",2.86
"21","2007-02-01",2.9
"22","2007-02-02",2.85
"23","2007-02-05",2.8
"24","2007-02-06",2.79
"25","2007-02-07",2.86
"26","2007-02-08",2.74
"27","2007-02-09",2.84
"28","2007-02-12",2.85
"29","2007-02-13",2.77
"30","2007-02-14",2.85
"31","2007-02-15",2.7
"32","2007-02-16",2.7
"33","2007-02-20",2.45
"34","2007-02-21",2.35
"35","2007-02-22",2.62
"36","2007-02-23",2.59
"37","2007-02-26",2.61
"38","2007-02-27",2.43
"39","2007-02-28",2.43
"40","2007-03-01",2.52
"41","2007-03-02",2.42
"42","2007-03-05",2.41
"43","2007-03-06",2.49
"44","2007-03-07",2.49
"45","2007-03-08",2.49
"46","2007-03-09",2.5
"47","2007-03-12",2.54
"48","2007-03-13",2.5
"49","2007-03-14",2.41
"50","2007-03-15",2.41
"51","2007-03-16",2.44
"52","2007-03-19",2.4
"53","2007-03-20",2.42
"54","2007-03-21",2.39
"55","2007-03-22",2.36
"56","2007-03-23",2.36
"57","2007-03-26",2.36
"58","2007-03-27",2.41
"59","2007-03-28",2.33
"60","2007-03-29",2.35
"61","2007-03-30",2.31
"62","2007-04-02",2.2
"63","2007-04-03",2.14
"64","2007-04-04",2.21
"65","2007-04-05",2.25
"66","2007-04-09",2.3
"67","2007-04-10",2.34
"68","2007-04-11",2.24
"69","2007-04-12",2.3
"70","2007-04-13",2.31
"71","2007-04-16",2.33
"72","2007-04-17",2.32
"73","2007-04-18",2.49
"74","2007-04-19",2.37
"75","2007-04-20",2.37
"76","2007-04-23",2.52
"77","2007-04-24",2.48
"78","2007-04-25",2.5
"79","2007-04-26",2.48
"80","2007-04-27",2.45
"81","2007-04-30",2.43
"82","2007-05-01",2.45
"83","2007-05-02",2.38
"84","2007-05-03",2.38
"85","2007-05-04",2.43
"86","2007-05-07",2.38
"87","2007-05-08",2.32
"88","2007-05-09",2.4
"89","2007-05-10",2.47
"90","2007-05-11",2.5
"91","2007-05-14",2.6
"92","2007-05-15",2.54
"93","2007-05-16",2.53
"94","2007-05-17",2.53
"95","2007-05-18",2.56
"96","2007-05-21",2.34
"97","2007-05-22",2.38
"98","2007-05-23",2.4
"99","2007-05-24",2.41
"100","2007-05-25",2.43
"101","2007-05-29",2.48
"102","2007-05-30",2.47
"103","2007-05-31",2.42
"104","2007-06-01",2.47
"105","2007-06-04",2.59
"106","2007-06-05",2.46
"107","2007-06-06",2.49
"108","2007-06-07",2.47
"109","2007-06-08",2.49
"110","2007-06-11",2.39
"111","2007-06-12",2.39
"112","2007-06-13",2.4
"113","2007-06-14",2.4
"114","2007-06-15",2.35
"115","2007-06-18",2.33
"116","2007-06-19",2.38
"117","2007-06-20",2.38
"118","2007-06-21",2.37
"119","2007-06-22",2.33
"120","2007-06-25",2.27
"121","2007-06-26",2.3
"122","2007-06-27",2.28
"123","2007-06-28",2.31
"124","2007-06-29",2.3
"125","2007-07-02",2.3
"126","2007-07-03",2.35
"127","2007-07-05",2.4
"128","2007-07-06",2.4
"129","2007-07-09",2.37
"130","2007-07-10",2.35
"131","2007-07-11",2.22
"132","2007-07-12",2.34
"133","2007-07-13",2.35
"134","2007-07-16",2.3
"135","2007-07-17",2.36
"136","2007-07-18",2.36
"137","2007-07-19",2.39
"138","2007-07-20",2.4
"139","2007-07-23",2.36
"140","2007-07-24",2.4
"141","2007-07-25",2.44
"142","2007-07-26",2.36
"143","2007-07-27",2.36
"144","2007-07-30",2.38
"145","2007-07-31",2.43
"146","2007-08-01",2.4
"147","2007-08-02",2.34
"148","2007-08-03",2.29
"149","2007-08-06",2.23
"150","2007-08-07",2.32
"151","2007-08-08",2.25
"152","2007-08-09",2.25
"153","2007-08-10",2.17
"154","2007-08-13",2.17
"155","2007-08-14",2.08
"156","2007-08-15",2.1
"157","2007-08-16",2.1
"158","2007-08-17",2.13
"159","2007-08-20",2.01
"160","2007-08-21",2
"161","2007-08-22",2.05
"162","2007-08-23",2.11
"163","2007-08-24",2.08
"164","2007-08-27",2.13
"165","2007-08-28",2.11
"166","2007-08-29",2.15
"167","2007-08-30",2.17
"168","2007-08-31",2.22
"169","2007-09-04",2.1
"170","2007-09-05",2.09
"171","2007-09-06",2.01
"172","2007-09-07",2.06
"173","2007-09-10",2.02
"174","2007-09-11",2.02
"175","2007-09-12",1.96
"176","2007-09-13",2.03
"177","2007-09-14",1.98
"178","2007-09-17",1.95
"179","2007-09-18",1.92
"180","2007-09-19",1.92
"181","2007-09-20",1.91
"182","2007-09-21",1.82
"183","2007-09-24",1.9
"184","2007-09-25",1.92
"185","2007-09-26",1.87
"186","2007-09-27",1.88
"187","2007-09-28",1.84
"188","2007-10-01",1.93
"189","2007-10-02",1.95
"190","2007-10-03",1.89
"191","2007-10-04",1.94
"192","2007-10-05",1.93
"193","2007-10-08",2.11
"194","2007-10-09",2.13
"195","2007-10-10",2.01
"196","2007-10-11",1.95
"197","2007-10-12",2.01
"198","2007-10-15",2.03
"199","2007-10-16",2.01
"200","2007-10-17",2.01
"201","2007-10-18",2.07
"202","2007-10-19",2.04
"203","2007-10-22",1.99
"204","2007-10-23",2.09
"205","2007-10-24",2.03
"206","2007-10-25",2.04
"207","2007-10-26",1.98
"208","2007-10-29",2.08
"209","2007-10-30",1.98
"210","2007-10-31",2
"211","2007-11-01",2.02
"212","2007-11-02",2.1
"213","2007-11-05",2.04
"214","2007-11-06",2
"215","2007-11-07",1.97
"216","2007-11-08",1.97
"217","2007-11-09",1.94
"218","2007-11-12",1.85
"219","2007-11-13",1.81
"220","2007-11-14",1.85
"221","2007-11-15",1.82
"222","2007-11-16",1.9
"223","2007-11-19",2
"224","2007-11-20",1.9
"225","2007-11-21",1.99
"226","2007-11-23",1.99
"227","2007-11-26",2
"228","2007-11-27",1.99
"229","2007-11-28",1.96
"230","2007-11-29",1.97
"231","2007-11-30",1.98
"232","2007-12-03",2.01
"233","2007-12-04",1.99
"234","2007-12-05",1.99
"235","2007-12-06",1.89
"236","2007-12-07",1.97
"237","2007-12-10",1.88
"238","2007-12-11",1.95
"239","2007-12-12",2
"240","2007-12-13",2
"241","2007-12-14",1.99
"242","2007-12-17",1.83
"243","2007-12-18",1.84
"244","2007-12-19",1.83
"245","2007-12-20",1.82
"246","2007-12-21",1.85
"247","2007-12-24",1.83
"248","2007-12-26",1.83
"249","2007-12-27",1.86
"250","2007-12-28",1.98
"251","2007-12-31",1.89
"252","2008-01-02",1.93
"253","2008-01-03",1.97
"254","2008-01-04",1.94
"255","2008-01-07",1.94
"256","2008-01-08",1.85
"257","2008-01-09",1.81
"258","2008-01-10",1.87
"259","2008-01-11",1.83
"260","2008-01-14",1.84
"261","2008-01-15",1.82
"262","2008-01-16",1.81
