"","date","RAVE"
"1","2007-01-03",1.9
"2","2007-01-04",1.9
"3","2007-01-05",1.94
"4","2007-01-08",2
"5","2007-01-09",1.92
"6","2007-01-10",1.97
"7","2007-01-11",1.98
"8","2007-01-12",1.94
"9","2007-01-16",1.86
"10","2007-01-17",1.9
"11","2007-01-18",1.95
"12","2007-01-19",1.99
"13","2007-01-22",1.94
"14","2007-01-23",1.94
"15","2007-01-24",1.85
"16","2007-01-25",1.85
"17","2007-01-26",1.86
"18","2007-01-29",1.89
"19","2007-01-30",1.93
"20","2007-01-31",1.87
"21","2007-02-01",1.89
"22","2007-02-02",1.88
"23","2007-02-05",2
"24","2007-02-06",2
"25","2007-02-07",1.94
"26","2007-02-08",2.1
"27","2007-02-09",2.14
"28","2007-02-12",2.2
"29","2007-02-13",2.02
"30","2007-02-14",2.18
"31","2007-02-15",2.07
"32","2007-02-16",2.11
"33","2007-02-20",1.99
"34","2007-02-21",1.99
"35","2007-02-22",1.99
"36","2007-02-23",2.01
"37","2007-02-26",1.99
"38","2007-02-27",1.99
"39","2007-02-28",2.05
"40","2007-03-01",1.98
"41","2007-03-02",2.04
"42","2007-03-05",2.05
"43","2007-03-06",2.13
"44","2007-03-07",2.13
"45","2007-03-08",2.23
"46","2007-03-09",2.2
"47","2007-03-12",2.02
"48","2007-03-13",2.23
"49","2007-03-14",2
"50","2007-03-15",2.09
"51","2007-03-16",2.32
"52","2007-03-19",2.45
"53","2007-03-20",2.52
"54","2007-03-21",2.53
"55","2007-03-22",2.5
"56","2007-03-23",2.5
"57","2007-03-26",2.38
"58","2007-03-27",2.38
"59","2007-03-28",2.38
"60","2007-03-29",2.41
"61","2007-03-30",2.47
"62","2007-04-02",2.4
"63","2007-04-03",2.3
"64","2007-04-04",2.36
"65","2007-04-05",2.3
"66","2007-04-09",2.3
"67","2007-04-10",2.26
"68","2007-04-11",2.33
"69","2007-04-12",2.25
"70","2007-04-13",2.27
"71","2007-04-16",2.34
"72","2007-04-17",2.25
"73","2007-04-18",2.24
"74","2007-04-19",2.26
"75","2007-04-20",2.35
"76","2007-04-23",2.35
"77","2007-04-24",2.35
"78","2007-04-25",2.35
"79","2007-04-26",2.3
"80","2007-04-27",2.29
"81","2007-04-30",2.3
"82","2007-05-01",2.4
"83","2007-05-02",2.33
"84","2007-05-03",2.4
"85","2007-05-04",2.42
"86","2007-05-07",2.42
"87","2007-05-08",2.51
"88","2007-05-09",2.33
"89","2007-05-10",2.48
"90","2007-05-11",2.49
"91","2007-05-14",2.4
"92","2007-05-15",2.41
"93","2007-05-16",2.35
"94","2007-05-17",2.35
"95","2007-05-18",2.4
"96","2007-05-21",2.4
"97","2007-05-22",2.44
"98","2007-05-23",2.44
"99","2007-05-24",2.67
"100","2007-05-25",2.62
"101","2007-05-29",2.67
"102","2007-05-30",2.61
"103","2007-05-31",2.6
"104","2007-06-01",2.56
"105","2007-06-04",2.7
"106","2007-06-05",2.66
"107","2007-06-06",2.65
"108","2007-06-07",2.69
"109","2007-06-08",2.67
"110","2007-06-11",2.7
"111","2007-06-12",2.89
"112","2007-06-13",2.9
"113","2007-06-14",3.08
"114","2007-06-15",2.98
"115","2007-06-18",3.2
"116","2007-06-19",3.22
"117","2007-06-20",3.2
"118","2007-06-21",3.18
"119","2007-06-22",3.18
"120","2007-06-25",3.17
"121","2007-06-26",3.09
"122","2007-06-27",3.11
"123","2007-06-28",3.1
"124","2007-06-29",3.05
"125","2007-07-02",3.05
"126","2007-07-03",2.99
"127","2007-07-05",3.05
"128","2007-07-06",2.98
"129","2007-07-09",3
"130","2007-07-10",3.09
"131","2007-07-11",3.1
"132","2007-07-12",3.09
"133","2007-07-13",3.06
"134","2007-07-16",3.06
"135","2007-07-17",3
"136","2007-07-18",3.08
"137","2007-07-19",3.02
"138","2007-07-20",3.13
"139","2007-07-23",3.02
"140","2007-07-24",3.05
"141","2007-07-25",3.05
"142","2007-07-26",3.07
"143","2007-07-27",3.03
"144","2007-07-30",3
"145","2007-07-31",3
"146","2007-08-01",3.03
"147","2007-08-02",2.96
"148","2007-08-03",2.96
"149","2007-08-06",2.95
"150","2007-08-07",2.95
"151","2007-08-08",2.85
"152","2007-08-09",2.87
"153","2007-08-10",2.87
"154","2007-08-13",2.87
"155","2007-08-14",2.8
"156","2007-08-15",2.75
"157","2007-08-16",2.5
"158","2007-08-17",2.57
"159","2007-08-20",2.55
