"","date","SXC"
"1","2011-07-21",17
"2","2011-07-22",17.450001
"3","2011-07-25",17.65
"4","2011-07-26",17.51
"5","2011-07-27",17.07
"6","2011-07-28",17
"7","2011-07-29",17.129999
"8","2011-08-01",17.299999
"9","2011-08-02",16.799999
"10","2011-08-03",16.9
"11","2011-08-04",15.4
"12","2011-08-05",14.87
"13","2011-08-08",12.63
"14","2011-08-09",12.46
"15","2011-08-10",11.7
"16","2011-08-11",12.52
"17","2011-08-12",13.99
"18","2011-08-15",15.07
"19","2011-08-16",14.89
"20","2011-08-17",14.81
"21","2011-08-18",14.29
"22","2011-08-19",13.94
"23","2011-08-22",13.97
"24","2011-08-23",13.98
"25","2011-08-24",13.84
"26","2011-08-25",13.81
"27","2011-08-26",13.9
"28","2011-08-29",14.28
"29","2011-08-30",13.99
"30","2011-08-31",14.16
"31","2011-09-01",13.98
"32","2011-09-02",13.57
"33","2011-09-06",14.18
"34","2011-09-07",14
"35","2011-09-08",13.82
"36","2011-09-09",13.96
"37","2011-09-12",13.75
"38","2011-09-13",13.83
"39","2011-09-14",13.72
"40","2011-09-15",13.84
"41","2011-09-16",13.91
"42","2011-09-19",14.02
"43","2011-09-20",13.76
"44","2011-09-21",13.01
"45","2011-09-22",12.37
"46","2011-09-23",11.76
"47","2011-09-26",11.47
"48","2011-09-27",11.93
"49","2011-09-28",11.93
"50","2011-09-29",11.56
"51","2011-09-30",11
"52","2011-10-03",9.9
"53","2011-10-04",10.13
"54","2011-10-05",10.64
"55","2011-10-06",10.49
"56","2011-10-07",9.76
"57","2011-10-10",10.02
"58","2011-10-11",10.26
"59","2011-10-12",10.5
"60","2011-10-13",11.39
"61","2011-10-14",11.62
"62","2011-10-17",11.41
"63","2011-10-18",11.47
"64","2011-10-19",11.15
"65","2011-10-20",10.96
"66","2011-10-21",11.7
"67","2011-10-24",11.75
"68","2011-10-25",11.42
"69","2011-10-26",11.65
"70","2011-10-27",12.76
"71","2011-10-28",12.96
"72","2011-10-31",12.62
"73","2011-11-01",11.79
"74","2011-11-02",12.08
"75","2011-11-03",12
"76","2011-11-04",12.03
"77","2011-11-07",11.79
"78","2011-11-08",12.18
"79","2011-11-09",11.08
"80","2011-11-10",11.12
"81","2011-11-11",11.63
"82","2011-11-14",11
"83","2011-11-15",10.92
"84","2011-11-16",10.45
"85","2011-11-17",10.58
"86","2011-11-18",10.52
"87","2011-11-21",10.56
"88","2011-11-22",11.18
"89","2011-11-23",10.99
"90","2011-11-25",10.57
"91","2011-11-28",11.54
"92","2011-11-29",11.42
"93","2011-11-30",11.54
"94","2011-12-01",10.95
"95","2011-12-02",10.72
"96","2011-12-05",10.69
"97","2011-12-06",10.59
"98","2011-12-07",10.95
"99","2011-12-08",10.99
"100","2011-12-09",10.8
"101","2011-12-12",10.84
"102","2011-12-13",10.61
"103","2011-12-14",11.02
"104","2011-12-15",11.18
"105","2011-12-16",11.49
"106","2011-12-19",11.23
"107","2011-12-20",11.67
"108","2011-12-21",11.45
"109","2011-12-22",11.59
"110","2011-12-23",11.51
"111","2011-12-27",11.52
"112","2011-12-28",11.31
"113","2011-12-29",11.18
"114","2011-12-30",11.2
"115","2012-01-03",11.47
"116","2012-01-04",11.62
"117","2012-01-05",11.72
"118","2012-01-06",11.7
"119","2012-01-09",11.73
"120","2012-01-10",11.51
"121","2012-01-11",11.25
"122","2012-01-12",12.09
"123","2012-01-13",12.63
"124","2012-01-17",13.4
"125","2012-01-18",12.86
"126","2012-01-19",12.79
"127","2012-01-20",13.3
"128","2012-01-23",13.84
"129","2012-01-24",13.58
"130","2012-01-25",13.77
"131","2012-01-26",13.51
"132","2012-01-27",13.81
"133","2012-01-30",13.42
"134","2012-01-31",13.43
"135","2012-02-01",14.19
"136","2012-02-02",14.35
"137","2012-02-03",15.03
"138","2012-02-06",15.14
"139","2012-02-07",15.59
