"","date","MTZ"
"1","2007-01-03",11.46
"2","2007-01-04",11.39
"3","2007-01-05",11.21
"4","2007-01-08",11.27
"5","2007-01-09",11.11
"6","2007-01-10",11.04
"7","2007-01-11",11.24
"8","2007-01-12",11.16
"9","2007-01-16",11.26
"10","2007-01-17",11.12
"11","2007-01-18",10.86
"12","2007-01-19",10.92
"13","2007-01-22",10.7
"14","2007-01-23",11.68
"15","2007-01-24",11.7
"16","2007-01-25",11.33
"17","2007-01-26",11.29
"18","2007-01-29",11.27
"19","2007-01-30",11.32
"20","2007-01-31",11.25
"21","2007-02-01",11.42
"22","2007-02-02",11.54
"23","2007-02-05",11.53
"24","2007-02-06",11.7
"25","2007-02-07",11.73
"26","2007-02-08",11.7
"27","2007-02-09",11.4
"28","2007-02-12",11.66
"29","2007-02-13",11.64
"30","2007-02-14",11.69
"31","2007-02-15",12.18
"32","2007-02-16",12
"33","2007-02-20",12.27
"34","2007-02-21",12.33
"35","2007-02-22",12.12
"36","2007-02-23",12.08
"37","2007-02-26",12.03
"38","2007-02-27",11.33
"39","2007-02-28",11.46
"40","2007-03-01",11.39
"41","2007-03-02",11.11
"42","2007-03-05",10.82
"43","2007-03-06",11.32
"44","2007-03-07",11.32
"45","2007-03-08",11.1
"46","2007-03-09",11.06
"47","2007-03-12",11.11
"48","2007-03-13",10.78
"49","2007-03-14",11.02
"50","2007-03-15",10.72
"51","2007-03-16",10.75
"52","2007-03-19",11.01
"53","2007-03-20",11.05
"54","2007-03-21",11.09
"55","2007-03-22",11.26
"56","2007-03-23",11.25
"57","2007-03-26",11.2
"58","2007-03-27",11.03
"59","2007-03-28",10.99
"60","2007-03-29",10.99
"61","2007-03-30",11.01
"62","2007-04-02",10.95
"63","2007-04-03",11
"64","2007-04-04",10.99
"65","2007-04-05",11
"66","2007-04-09",10.95
"67","2007-04-10",11.05
"68","2007-04-11",11.08
"69","2007-04-12",11.81
"70","2007-04-13",11.92
"71","2007-04-16",12.01
"72","2007-04-17",12
"73","2007-04-18",11.92
"74","2007-04-19",11.72
"75","2007-04-20",11.9
"76","2007-04-23",11.93
"77","2007-04-24",11.97
