"","date","FPRX"
"1","2013-09-18",13.08
"2","2013-09-19",13.11
"3","2013-09-20",13.74
"4","2013-09-23",13.32
"5","2013-09-24",13.65
"6","2013-09-25",13.95
"7","2013-09-26",13.97
"8","2013-09-27",13.8
"9","2013-09-30",13.1
"10","2013-10-01",12.97
"11","2013-10-02",13.8
"12","2013-10-03",13.05
"13","2013-10-04",13.06
"14","2013-10-07",13.17
"15","2013-10-08",13
"16","2013-10-09",13.02
"17","2013-10-10",13.21
"18","2013-10-11",13.19
"19","2013-10-14",13.25
"20","2013-10-15",13.39
"21","2013-10-16",13.46
"22","2013-10-17",13.57
"23","2013-10-18",13.82
"24","2013-10-21",13.82
"25","2013-10-22",13.7
"26","2013-10-23",13.96
"27","2013-10-24",13.8
"28","2013-10-25",13.88
"29","2013-10-28",13.68
"30","2013-10-29",13.5
"31","2013-10-30",13.33
"32","2013-10-31",12.21
"33","2013-11-01",10.48
"34","2013-11-04",10.68
"35","2013-11-05",10.77
"36","2013-11-06",10.6
"37","2013-11-07",10.07
"38","2013-11-08",9.05
"39","2013-11-11",8.72
"40","2013-11-12",8.49
"41","2013-11-13",9.28
"42","2013-11-14",9.31
"43","2013-11-15",9.75
"44","2013-11-18",8.93
"45","2013-11-19",8.58
"46","2013-11-20",8.67
"47","2013-11-21",8.85
"48","2013-11-22",8.91
"49","2013-11-25",9
"50","2013-11-26",9.05
"51","2013-11-27",9.82
"52","2013-11-29",10.1
"53","2013-12-02",10.57
"54","2013-12-03",11
"55","2013-12-04",10.52
"56","2013-12-05",11.01
"57","2013-12-06",11.2
"58","2013-12-09",12.24
"59","2013-12-10",12.97
"60","2013-12-11",14.15
"61","2013-12-12",16.610001
"62","2013-12-13",16.059999
"63","2013-12-16",15.64
"64","2013-12-17",16.700001
"65","2013-12-18",15.86
"66","2013-12-19",14.9
"67","2013-12-20",14.27
"68","2013-12-23",15.22
"69","2013-12-24",14.7
"70","2013-12-26",15.54
"71","2013-12-27",15.99
"72","2013-12-30",16.379999
"73","2013-12-31",16.790001
"74","2014-01-02",15.96
"75","2014-01-03",15.86
"76","2014-01-06",15.97
"77","2014-01-07",15.95
"78","2014-01-08",16.5
"79","2014-01-09",17.969999
"80","2014-01-10",18.690001
"81","2014-01-13",17.91
"82","2014-01-14",18.950001
"83","2014-01-15",19.24
"84","2014-01-16",19.74
"85","2014-01-17",19.040001
"86","2014-01-21",19.389999
"87","2014-01-22",19.26
"88","2014-01-23",18.24
"89","2014-01-24",18.459999
"90","2014-01-27",16.559999
"91","2014-01-28",16.35
"92","2014-01-29",15.11
"93","2014-01-30",14.94
"94","2014-01-31",14.66
"95","2014-02-03",13.64
"96","2014-02-04",12.83
"97","2014-02-05",12.34
"98","2014-02-06",12.61
"99","2014-02-07",13.99
"100","2014-02-10",14.96
"101","2014-02-11",17
"102","2014-02-12",16.65
"103","2014-02-13",16.99
"104","2014-02-14",17.43
"105","2014-02-18",17.59
"106","2014-02-19",17.120001
"107","2014-02-20",17.75
"108","2014-02-21",16.879999
"109","2014-02-24",15.17
"110","2014-02-25",15.39
"111","2014-02-26",14.76
"112","2014-02-27",15
"113","2014-02-28",13.96
"114","2014-03-03",13.78
"115","2014-03-04",13.99
"116","2014-03-05",15.16
"117","2014-03-06",15.28
"118","2014-03-07",15.64
"119","2014-03-10",16.4
"120","2014-03-11",16.42
"121","2014-03-12",17.9
"122","2014-03-13",18.08
"123","2014-03-14",18.75
"124","2014-03-17",22.99
"125","2014-03-18",22.76
"126","2014-03-19",21.360001
"127","2014-03-20",20.690001
"128","2014-03-21",19.709999
"129","2014-03-24",18.02
"130","2014-03-25",18.110001
"131","2014-03-26",17.73
"132","2014-03-27",18.49
"133","2014-03-28",18.09
"134","2014-03-31",19.66
"135","2014-04-01",19.32
"136","2014-04-02",18.540001
"137","2014-04-03",17.879999
"138","2014-04-04",16.219999
"139","2014-04-07",16.290001
"140","2014-04-08",16.139999
"141","2014-04-09",16.5
"142","2014-04-10",15.21
"143","2014-04-11",14.34
"144","2014-04-14",14.22
"145","2014-04-15",13.99
"146","2014-04-16",14.64
"147","2014-04-17",14.92
"148","2014-04-21",14.84
"149","2014-04-22",15.78
"150","2014-04-23",14.61
"151","2014-04-24",14.58
"152","2014-04-25",14.53
"153","2014-04-28",13.8
"154","2014-04-29",14.33
"155","2014-04-30",13.97
"156","2014-05-01",13.77
"157","2014-05-02",13.69
"158","2014-05-05",14.03
"159","2014-05-06",14.23
"160","2014-05-07",14.1
"161","2014-05-08",13.3
"162","2014-05-09",13.64
"163","2014-05-12",13.67
"164","2014-05-13",13.47
"165","2014-05-14",13.5
"166","2014-05-15",12.89
"167","2014-05-16",12.7
"168","2014-05-19",13.22
"169","2014-05-20",12.59
"170","2014-05-21",11.99
"171","2014-05-22",13.4
"172","2014-05-23",13.46
"173","2014-05-27",13.78
"174","2014-05-28",13.5
"175","2014-05-29",13.9
"176","2014-05-30",12.99
"177","2014-06-02",12.67
"178","2014-06-03",12.86
"179","2014-06-04",13.01
"180","2014-06-05",13.34
"181","2014-06-06",13.8
"182","2014-06-09",13.92
"183","2014-06-10",13.99
"184","2014-06-11",13.83
