"","date","MFGP"
"1","2017-08-17",28.243999
"2","2017-08-18",27.882999
"3","2017-08-21",28.674
"4","2017-08-22",29.233999
"5","2017-08-23",28.914
"6","2017-08-24",29.194
"7","2017-08-25",29.714001
"8","2017-08-28",29.704
"9","2017-08-29",29.364
"10","2017-08-30",29.464001
"11","2017-08-31",29.514
"12","2017-09-01",29.15
"13","2017-09-05",29.200001
"14","2017-09-06",31.73
"15","2017-09-07",31.709999
"16","2017-09-08",30.99
"17","2017-09-11",31.48
"18","2017-09-12",32.150002
"19","2017-09-13",31.969999
"20","2017-09-14",32.189999
"21","2017-09-15",32.470001
"22","2017-09-18",32.43
"23","2017-09-19",33.099998
"24","2017-09-20",32.82
"25","2017-09-21",32.549999
"26","2017-09-22",32.849998
"27","2017-09-25",32.939999
"28","2017-09-26",32.57
"29","2017-09-27",32.32
"30","2017-09-28",31.65
"31","2017-09-29",31.9
"32","2017-10-02",31.870001
"33","2017-10-03",31.58
"34","2017-10-04",31.67
"35","2017-10-05",31.790001
"36","2017-10-06",31.58
"37","2017-10-09",31.73
"38","2017-10-10",31.799999
"39","2017-10-11",31.790001
"40","2017-10-12",31.92
"41","2017-10-13",31.969999
"42","2017-10-16",32.470001
"43","2017-10-17",32.169998
"44","2017-10-18",32.450001
"45","2017-10-19",32.43
"46","2017-10-20",32.450001
"47","2017-10-23",33.049999
"48","2017-10-24",32.91
"49","2017-10-25",33.57
"50","2017-10-26",33.669998
"51","2017-10-27",33.98
"52","2017-10-30",34.279999
"53","2017-10-31",34.93
"54","2017-11-01",35.380001
"55","2017-11-02",34.860001
"56","2017-11-03",34.84
"57","2017-11-06",34.720001
"58","2017-11-07",34.580002
"59","2017-11-08",34.970001
"60","2017-11-09",34.52
"61","2017-11-10",34.529999
"62","2017-11-13",34.27
"63","2017-11-14",34.529999
"64","2017-11-15",34.630001
"65","2017-11-16",35.529999
"66","2017-11-17",35.439999
"67","2017-11-20",35.73
"68","2017-11-21",35.810001
"69","2017-11-22",35.880001
"70","2017-11-24",35.459999
"71","2017-11-27",34.110001
"72","2017-11-28",34.34
"73","2017-11-29",33.330002
"74","2017-11-30",33.5
"75","2017-12-01",33.009998
"76","2017-12-04",32.68
"77","2017-12-05",32.93
"78","2017-12-06",32.290001
"79","2017-12-07",32.57
"80","2017-12-08",32.360001
"81","2017-12-11",32.490002
"82","2017-12-12",32.919998
"83","2017-12-13",33.150002
"84","2017-12-14",33.299999
"85","2017-12-15",33.41
"86","2017-12-18",33.709999
"87","2017-12-19",33.119999
"88","2017-12-20",33.099998
"89","2017-12-21",33.139999
"90","2017-12-22",33.07
"91","2017-12-26",33.099998
"92","2017-12-27",32.919998
